dist_chg,form,gap,horse,jck,jck_last,last,n.start,name,no,pattern,race_no,rides,runners,trn,w_ir
0,3/1/0,,belgrano,chad lever,ellen hennessy(5/9/Cls1) hawkesbury/Tue/-1.18/1.46/Madn,goulburn/Sat/-1.36 (26/8),22,6.belgrano(10),6,-1.2/11.5 (1.10) -0.9/12.0,1,1/1,1/1,darryll kell,4
200,2/0/1,,irulan,rachel king,rachel king(2/3/Madn) hawkesbury/Thu/-0.58/1.35/Madn,hawkesbury/Tue/1.27 (23/5),4,9.irulan(8),9,3.1/7.8 (-0.55) -0.3/4.4,1,1/4,1/1,jason attard,4.4
250,3/1/0,,gemtiki,mollie fitzgerald,keagan latham(9/-2/Madn) beaumont/Sat/0.50/-1.51/Madn,gosford/Sun/-0.65 (130/1),3,4.gemtiki(3),4,-5.9/24.4 (-0.60) 2.3/5.2,3,3/4,2/3,m s minervini,5.8
100,,,rach,jason collett,tommy berry(4/4/Bn64) rosehill/Mon/1.03/0.33/Bn64,canterbury/Wed/0.30 (15/8),15,4.rach(5),4,-0.6/6.8 (0.34) -0.1/3.5,4,3/4,3/5,c j waller,3
150,1/0/0,1.3,steely girl,jeff penza,luke rolls(4/2/Bn58) port macquarie/Tue/-0.64/-0.08/Bn58,port macquarie/Sun/0.38 (11/13),23,11.steely girl(4),11,-0.1/1.8 (0.09) -1.9/2.3,4,1/2,1/1,r n godbolt,4.3
150,,0.7,maquisa,siena grima,tommy berry(3/-2/Bn72) wyong/Wed/0.33/0.08/Bn72,warwick farm/Wed/0.24 (22/5),16,2.maquisa(3),2,-0.1/0.6 (-0.39) -2.5/0.1,4,2/5,2/5,c j waller,4.9
-150,2/0/1,,sunday punch,winona costin,andrew gibbons(8/2/Bn58) muswellbrook/Fri/-1.33/0.51/Bn58,muswellbrook/Mon/-0.23 (17/8),7,8.sunday punch(9),8,-3.0/11.3 (0.89) -1.0/7.2,4,2/3,1/1,cheryl roberts,6.1
-250,3/0/0,,waku waku,olivia dalton,tom sherry(5/6/Bn72) randwick/Sat/0.59/-1.06/Bn78,randwick/Sat/0.92 (124/1),8,1.waku waku(7),1,0.0/4.0 (-0.81) -4.5/2.9,4,1/1,1/2,annabel & rob archibald,6.1
150,1/0/0,1.3,maggie sparkles,kacie adams,jenny duggan(7/-1/Bn58) armidale/Fri/0.38/NA/Cls1,port macquarie/Sun/0.38 (11/9),18,9.maggie sparkles(2),9,-3.1/1.8 (0.09) -5.8/-0.3,4,1/1,1/1,p j kelly,9.1
-200,3/1/1,0.5,botanist,siena grima,kerrin mc evoy(1/-2/Bn64) warwick farm/Wed/-0.40/-0.15/Madn,canterbury/Thu/-0.55 (126/1),4,2.botanist(6),2,2.6/2.3 (-1.31) 2.5/-0.7,5,3/5,4/5,c j waller,1.2
-250,3/0/2,1.3,skycatcher,william a stanley,ben allen(3/-6/Bn66) pakenham/Fri/1.26/-0.89/Bn62,werribee/Sun/2.54 (151/1),2,1.skycatcher(2),1,2.3/1.0 (-2.06) 1.1/-0.1,5,2/3,1/1,m price & m kent jnr,2.7
-50,4/1/2,,written gold,tom sherry,dylan gibbons(6/1/Cls1) goulburn/Sun/0.66/-1.70/Cls1,orange/Fri/-0.86 (391/1),4,4.written gold(8),4,-2.8/7.0 (NA) 1.8/2.2,5,2/2,2/2,g ryan & s alexiou,3.3
50,,,he’s godspeed,teighan worsnop,matthew bennett(3/1/Bn82) taree/Thu/-0.34/-0.95/Bn66,coffs harbour/Fri/0.48 (13/11),26,10.he’s godspeed(7),10,1.4/4.8 (-2.63) -2.2/3.5,5,1/1,2/2,b m lazzarini,6
150,,,dreymon,leeshelle small,william a stanley(8/7/Bn58) muswellbrook/Mon/-0.43/-0.44/Bn66,quirindi/Tue/-0.63 (9/3),24,11.dreymon(9),11,-4.6/3.2 (-1.34) 1.7/8.1,5,2/2,1/1,a d smith,7.1
0,,1.5,bonus tempus,jess taylor,teighan worsnop(7/1/Bn68) grafton/Sun/-1.22/-0.06/Bn66,wyong/Thu/-0.19 (7/11),69,9.bonus tempus(5),9,-3.8/1.1 (0.12) -5.1/4.3,5,1/2,1/2,b m lazzarini,7.4
-50,,,a pound of salt,rory hutchings,grant buckley(9/-8/Open) tamworth/Fri/0.25/-0.10/Bn82,tamworth/Fri/-1.44 (13/4),27,3.a pound of salt(3),3,-4.9/9.7 (-0.16) -6.2/7.3,5,2/3,1/1,t s howlett,8.3
0,3/1/0,,desi emperor,jeff penza,emma ly(5/-2/Bn64) newcastle/Thu/-0.23/0.85/Bn68,kembla grange/Tue/0.39 (184/1),36,1.desi emperor(6),1,0.0/8.6 (3.02) 3.2/1.2,6,2/2,1/1,t wong,2.6
0,3/1/0,1.1,cool blaze,anna roper,amy mc lucas(4/0/Cls1) canberra/Fri/0.05/-0.76/Madn,wyong/Sat/-1.95 (138/1),7,9.cool blaze(2),9,-1.5/2.4 (0.25) 3.3/-1.7,6,3/4,2/2,g portelli,3.5
-100,,,welcome gypsy,chad schofield,chad schofield(8/-3/Bn72) warwick farm/Wed/-0.45/-0.04/Bn78,randwick-kensington/Mon/-0.26 (10/4),32,4.welcome gypsy(5),4,-4.3/4.7 (0.38) -1.0/3.1,6,3/3,1/2,john thompson,4.4
-100,3/1/0,0.2,sunday tycoon,deanne panya,siena grima(6/3/Bn64) gosford/Thu/-0.49/-0.76/Bn64,wyong/Wed/-0.15 (148/1),18,7.sunday tycoon(9),7,-2.4/1.1 (-0.68) -1.5/2.6,6,1/1,1/1,c e conners,4.7
0,2/0/1,0.9,spartus,siena grima,siena grima(5/3/Bn68) hawkesbury/Thu/-1.32/1.44/Bn64,wyong/Thu/-0.95 (21/7),14,3.spartus(8),3,-2.2/0.4 (-0.55) -3.3/2.8,6,4/5,1/1,fabio martino,4.9
100,4/0/0,,altercation,tim clark,keagan latham(5/3/Bn64) port macquarie/Fri/0.17/0.22/Cls2,newcastle/Sat/-0.25 (187/1),12,10.altercation(11),10,-1.9/4.5 (0.19) -1.2/1.5,6,2/2,1/1,j c deamer,5.4
-250,4/0/2,,smiling prophet,mollie fitzgerald,christian reith(4/2/Bn68) warwick farm/Wed/-0.63/-0.50/Bn72,newcastle/Sat/0.91 (103/1),36,6.smiling prophet(4),6,0.6/7.8 (-2.35) -4.7/7.1,6,4/4,3/3,m s minervini,6.1
0,2/0/1,2.1,bode akuna,jess taylor,jess taylor(7/-4/Bn60) warwick farm/Wed/-0.45/-0.04/Bn78,canberra/Fri/0.61 (20/3),14,2.bode akuna(1),2,-2.2/-0.7 (-0.65) -6.0/4.5,6,2/2,1/1,j c coyle,7
0,,2.1,grandini,reece jones,reece jones(9/-7/Open) wyong/Thu/0.34/0.40/Bn64,tamworth/Fri/-0.16 (13/8),23,3.grandini(3),3,-4.9/1.3 (0.07) -5.2/-0.2,7,2/2,1/1,r p northam,7.5
-300,3/0/0,2.8,will to excel,winona costin,jake pracey-holmes(5/-5/Bn66) gosford/Thu/0.05/-0.66/Bn64,wellington/Fri/NA (27/13),71,8.will to excel(4),8,-1.0/0.4 (NA) -0.6/2.8,7,3/3,3/3,james ponsonby,7.8
486,4/1/0,,prince is game,anna roper,anna roper(8/-5/Bn66) taree/Thu/-0.76/0.61/Bn58,taree/Tue/1.77 (16/4),23,11.prince is game(2),11,-5.6/1.2 (-1.37) -3.2/2.1,7,4/4,2/2,m j robinson,8.9
