no,name,barrier,w_ir,jockey,trainer,last10,weight,career,rtg,odds,pattern,form,etc
1,Siccius,7,7,Kris Lees William Stanley (a-2),Kris Lees William Stanley (a-2),72,59kg,2:0-1-0,0,$15,,,
2,Aurora Effect,5,5,Edward Cummings Jason Collett,Edward Cummings Jason Collett,4x526,57.5kg,4:0-1-0,0,$1.4,,,
3,Going By Train o(HT),3,3,Denim Wynen Mollie Fitzgerald (a-1.5),Denim Wynen Mollie Fitzgerald (a-1.5),90,57.5kg,2:0-0-0,0,$61,,,
4,Pressiaire (HT),2,2,Allan Kehoe Jenny Duggan,Allan Kehoe Jenny Duggan,352,57kg,3:0-1-1,0,$41,,,
5,Senza Rivali (HT),6,6,Kristen Buchanan Siena Grima (a-2),Kristen Buchanan Siena Grima (a-2),895,56kg,3:0-0-0,0,$23,,,
6,Belgrano o,10,10,Darryll Kell Chad Lever (a0.5),Darryll Kell Chad Lever (a0.5),23x2532507,55.5kg,22:0-3-6,0,$26,,,
7,Burning Ambition o,4,4,James Ponsonby Mikayla Weir,James Ponsonby Mikayla Weir,86527x8228,55.5kg,12:0-3-0,0,$29,,,
8,Highland Lad,1,1,James Ponsonby Winona Costin,James Ponsonby Winona Costin,263989x069,55.5kg,12:0-2-1,0,$201,,,
9,Irulan o,8,8,Jason Attard Rachel King,Jason Attard Rachel King,5060,55.5kg,4:0-0-0,0,$41,,,
10,Powerful Annie,9,9,Kris Lees Tim Clark,Kris Lees Tim Clark,484,55.5kg,3:0-0-0,0,$6.5,,,
11,Propane (HT),12,12,Kim Waugh Jay Ford,Kim Waugh Jay Ford,034947,55.5kg,6:0-0-1,0,SCR,,,
12,Zippy Lion (D/A),9,9,Joseph Ible Jeff Penza,Joseph Ible Jeff Penza,75x635,55.5kg,5:0-0-1,0,SCR,,,
2,Apparently o,1,1,Nikki Pollock Leeshelle Small (a-3),Nikki Pollock Leeshelle Small (a-3),463x4x22x0,57kg,7:0-2-1,0,$201,,,
3,Ask Di,8,8,Gerald Ryan & Sterling Alexiou Chad Schofield,Gerald Ryan & Sterling Alexiou Chad Schofield,8x,57kg,1:0-0-0,0,$23,,,
4,Gamp,5,5,"Michael, John & Wayne Hawkes Jay Ford","Michael, John & Wayne Hawkes Jay Ford",4x22234x23,57kg,16:0-5-2,0,$7.5,,,
5,Hidden Star,7,7,Mark Minervini Mollie Fitzgerald (a-1.5),Mark Minervini Mollie Fitzgerald (a-1.5),38x,57kg,2:0-0-1,0,$19,,,
6,Merini,6,6,Kris Lees Jason Collett,Kris Lees Jason Collett,4x2x,57kg,2:0-1-0,50,$5.5,,,
7,Nicolosi,4,4,Gai Waterhouse & Adrian Bott Tim Clark,Gai Waterhouse & Adrian Bott Tim Clark,,57kg,0:0-0-0,0,$1.8,,,
8,Sorentina,10,10,Richard Litt Tom Sherry,Richard Litt Tom Sherry,4,57kg,1:0-0-0,0,$26,,,
9,Tidal Breeze,2,2,Nikki Pollock Billy Cray,Nikki Pollock Billy Cray,,57kg,0:0-0-0,0,$201,,,
10,Weekend Market,9,9,Gary Portelli Rachel King,Gary Portelli Rachel King,6539x2,57kg,5:0-1-1,0,$14,,,
11,Zsa Zsa (HT),3,3,Sara Ryan Ashley Morgan,Sara Ryan Ashley Morgan,0x38x50x5,57kg,6:0-0-1,0,$19,,,
1,Mega Pixel b,11,11,Kris Lees Kerrin McEvoy,Kris Lees Kerrin McEvoy,233x,59kg,3:0-1-2,0,SCR,,,
1,Farset,2,2,Gai Waterhouse & Adrian Bott Regan Bayliss,Gai Waterhouse & Adrian Bott Regan Bayliss,0x22x2,60.5kg,4:0-3-0,0,$2.1,,,
3,Nonno's Power,7,7,Joseph Pride Rory Hutchings,Joseph Pride Rory Hutchings,8x57,58.5kg,3:0-0-0,0,$8,,,
4,Gemtiki o,4,4,Mark Minervini Mollie Fitzgerald (a-1.5),Mark Minervini Mollie Fitzgerald (a-1.5),349x,56kg,3:0-0-1,0,$51,,,
5,Satono Jasmine,5,5,Brad Widdup Chad Schofield,Brad Widdup Chad Schofield,9x,56kg,1:0-0-0,0,$16,,,
6,Apiarist,6,6,Ciaron Maher Tim Clark,Ciaron Maher Tim Clark,5,55.5kg,1:0-0-0,0,$12,,,
