race_no,race_name,distance,no,horse,barrier,trainer,jockey,weight,odds,scratched
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,1,Siccius,7,Kris Lees,William Stanley (a-2),59kg,$15,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,2,Aurora Effect,5,Edward Cummings,Jason Collett,57.5kg,$1.4,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,3,Going By Train o(HT),3,Denim Wynen,Mollie Fitzgerald (a-1.5),57.5kg,$61,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,4,Pressiaire (HT),2,Allan Kehoe,Jenny Duggan,57kg,$41,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,5,Senza Rivali (HT),6,Kristen Buchanan,Siena Grima (a-2),56kg,$23,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,6,Belgrano o,10,Darryll Kell,Chad Lever (a0.5),55.5kg,$26,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,7,Burning Ambition o,4,James Ponsonby,Mikayla Weir,55.5kg,$29,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,8,Highland Lad,1,James Ponsonby,Winona Costin,55.5kg,$201,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,9,Irulan o,8,Jason Attard,Rachel King,55.5kg,$41,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,10,Powerful Annie,9,Kris Lees,Tim Clark,55.5kg,$6.5,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,11,Propane (HT),12,Kim Waugh,Jay Ford,55.5kg,SCR,true
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,12,Zippy Lion (D/A),9,Joseph Ible,Jeff Penza,55.5kg,SCR,true
2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,2,Apparently o,1,Nikki Pollock,Leeshelle Small (a-3),57kg,$201,false
2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,3,Ask Di,8,Gerald Ryan & Sterling Alexiou,Chad Schofield,57kg,$23,false
2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,4,Gamp,5,"Michael, John & Wayne Hawkes",Jay Ford,57kg,$7.5,false
2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,5,Hidden Star,7,Mark Minervini,Mollie Fitzgerald (a-1.5),57kg,$19,false
