race_no,racenet_horse,racenet_horse_normalized,reason
1,Valentino Prince ts(HT) 3 Paul Perry William Stanley A1.,valentino prince ts 3 paul perry william stanley a1,no_speedproxy_match
1,Difensivo,difensivo,no_speedproxy_match
3,Titan Of Fury (HT) 12 Paul Perry William Stanley A1.,titan of fury 12 paul perry william stanley a1,no_speedproxy_match
3,Second Deb,second deb,no_speedproxy_match
4,Special,special,no_speedproxy_match
4,Seven Wonders (HT) 5 Paul Perry William Stanley A1.,seven wonders 5 paul perry william stanley a1,no_speedproxy_match
4,Zsa Zsa,zsa zsa,no_speedproxy_match
5,Dreymon d 14 Alan D Smith William Stanley A1.,dreymon d 14 alan d smith william stanley a1,no_speedproxy_match
5,I Am Adonis,i am adonis,no_speedproxy_match
5,Sunday Punch,sunday punch,no_speedproxy_match
6,General Soho tcdsh(HT) 5 Paul Perry William Stanley A1.,general soho tcdsh 5 paul perry william stanley a1,no_speedproxy_match
6,Ocean Chill,ocean chill,no_speedproxy_match
6,Empress Of Japan,empress of japan,no_speedproxy_match
6,Binkou,binkou,no_speedproxy_match
7,Gemologist ho(HT) 10 Mark Minervini William Stanley A1.,gemologist ho 10 mark minervini william stanley a1,no_speedproxy_match
7,President,president,no_speedproxy_match
7,Sister Daae,sister daae,no_speedproxy_match
7,Lady Pankhurst,lady pankhurst,no_speedproxy_match
7,Peschiera,peschiera,no_speedproxy_match
7,Chica Del Mar,chica del mar,no_speedproxy_match
7,Hello Captain,hello captain,no_speedproxy_match
