race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,12:35 pm,900m,Newcastle,Class 1,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",1,Close To Midnight,Close To Midnight,Close To Midnight,6,James Harding,Zac Lloyd,59.5kg,$1.95,false
1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,12:35 pm,900m,Newcastle,Class 1,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",3,Silk Lace,Silk Lace,Silk Lace,5,Blake Ryan,Emma Ly (a-3),56kg,$3.7,false
1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,12:35 pm,900m,Newcastle,Class 1,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",4,Bent As Hell,Bent As Hell,Bent As Hell,4,Rodney Ollerton,Christian Reith,55.5kg,$5.5,false
1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,12:35 pm,900m,Newcastle,Class 1,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",6,Barsandbi,Barsandbi,Barsandbi,8,Gregory McFarlane,Jessica Taylor,55kg,$14,false
1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,12:35 pm,900m,Newcastle,Class 1,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",7,Go Russian,Go Russian,Go Russian,2,Rodney Ollerton Siena,Grima A2 (a-2),55kg,$11,false
1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,12:35 pm,900m,Newcastle,Class 1,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",8,Valentino Prince ts(HT) 3 Paul Perry William Stanley A1.,Valentino Prince ts(HT) 3 Paul Perry William Stanley A1.,Valentino Prince ts(HT) 3 Paul Perry William Stanley A1.,5,,(a-1.5),55kg,$12,false
1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,12:35 pm,900m,Newcastle,Class 1,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",9,Maramoti,Maramoti,Maramoti,7,Tanya Randell,Shannen Llewellyn (a-2),55kg,$35,false
1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,12:35 pm,900m,Newcastle,Class 1,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",2,Difensivo,Difensivo,Difensivo,1,Nacim Dilmi,Reece Jones,57kg,SCR,true
1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,12:35 pm,900m,Newcastle,Class 1,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",5,Farnciful,Farnciful,Farnciful,9,,Jason Deamer,55kg,SCR,true
2,1:10 pm Davali Thoroughbreds Maiden Plate,1:10 pm,1850m,Newcastle,Maiden,Heavy 8 Weather: moderate rain Penetrometer: 0,"+3m 800m - 400m, True Remainder",1,Marco Polo,Marco Polo,Marco Polo,10,Chris Waller,Rory Hutchings,59kg,$51,false
