race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,12:40 pm,1600m,Wyong,Maiden,Good 4,True,1,Siccius,Siccius,Siccius,7,Kris Lees,William Stanley (a-2),59kg,$15,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,12:40 pm,1600m,Wyong,Maiden,Good 4,True,2,Aurora Effect,Aurora Effect,Aurora Effect,5,Edward Cummings,Jason Collett,57.5kg,$1.4,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,12:40 pm,1600m,Wyong,Maiden,Good 4,True,3,Going By Train,Going By Train,Going By Train,3,Denim Wynen,Mollie Fitzgerald (a-1.5),57.5kg,$61,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,12:40 pm,1600m,Wyong,Maiden,Good 4,True,4,Pressiaire,Pressiaire,Pressiaire,2,Allan Kehoe,Jenny Duggan,57kg,$41,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,12:40 pm,1600m,Wyong,Maiden,Good 4,True,5,Senza Rivali,Senza Rivali,Senza Rivali,6,Kristen Buchanan,Siena Grima (a-2),56kg,$23,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,12:40 pm,1600m,Wyong,Maiden,Good 4,True,6,Belgrano,Belgrano,Belgrano,10,Darryll Kell,Chad Lever (a0.5),55.5kg,$26,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,12:40 pm,1600m,Wyong,Maiden,Good 4,True,7,Burning Ambition,Burning Ambition,Burning Ambition,4,James Ponsonby,Mikayla Weir,55.5kg,$29,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,12:40 pm,1600m,Wyong,Maiden,Good 4,True,8,Highland Lad,Highland Lad,Highland Lad,1,James Ponsonby,Winona Costin,55.5kg,$201,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,12:40 pm,1600m,Wyong,Maiden,Good 4,True,9,Irulan,Irulan,Irulan,8,Jason Attard,Rachel King,55.5kg,$41,false
1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,12:40 pm,1600m,Wyong,Maiden,Good 4,True,10,Powerful Annie,Powerful Annie,Powerful Annie,9,Kris Lees,Tim Clark,55.5kg,$6.5,false
