race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Wyong,1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,Maiden,Good 4,True,1,1,Siccius,Siccius,Siccius,7,Kris Lees,William Stanley (a-2),$15,6,racenet
R1,Wyong,1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,Maiden,Good 4,True,2,2,Aurora Effect,Aurora Effect,Aurora Effect,5,Edward Cummings,Jason Collett,$1.4,5.2,racenet
R1,Wyong,1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,Maiden,Good 4,True,3,3,Going By Train,Going By Train,Going By Train,3,Denim Wynen,Mollie Fitzgerald (a-1.5),$61,11,racenet
R1,Wyong,1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,Maiden,Good 4,True,4,4,Pressiaire,Pressiaire,Pressiaire,2,Allan Kehoe,Jenny Duggan,$41,2.5,racenet
R1,Wyong,1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,Maiden,Good 4,True,5,5,Senza Rivali,Senza Rivali,Senza Rivali,6,Kristen Buchanan,Siena Grima (a-2),$23,9,racenet
R1,Wyong,1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,Maiden,Good 4,True,6,6,Belgrano,Belgrano,Belgrano,10,Darryll Kell,Chad Lever (a0.5),$26,4,racenet
R1,Wyong,1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,Maiden,Good 4,True,7,7,Burning Ambition,Burning Ambition,Burning Ambition,4,James Ponsonby,Mikayla Weir,$29,5,racenet
R1,Wyong,1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,Maiden,Good 4,True,8,8,Highland Lad,Highland Lad,Highland Lad,1,James Ponsonby,Winona Costin,$201,5.5,racenet
R1,Wyong,1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,Maiden,Good 4,True,9,9,Irulan,Irulan,Irulan,8,Jason Attard,Rachel King,$41,4.4,racenet
R1,Wyong,1,12:40 pm Pre Training At Domeland Provincial Maiden Handicap,1600m,Maiden,Good 4,True,10,10,Powerful Annie,Powerful Annie,Powerful Annie,9,Kris Lees,Tim Clark,$6.5,8.2,racenet
R2,Wyong,2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,Maiden,Good 4,True,2,2,Apparently,Apparently,Apparently,1,Nikki Pollock,Leeshelle Small (a-3),$201,4.8,racenet
R2,Wyong,2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,Maiden,Good 4,True,3,3,Ask Di,Ask Di,Ask Di,8,Gerald Ryan & Sterling Alexiou,Chad Schofield,$23,3,racenet
R2,Wyong,2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,Maiden,Good 4,True,4,4,Gamp,Gamp,Gamp,5,"Michael, John & Wayne Hawkes",Jay Ford,$7.5,1.5,racenet
R2,Wyong,2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,Maiden,Good 4,True,5,5,Hidden Star,Hidden Star,Hidden Star,7,Mark Minervini,Mollie Fitzgerald (a-1.5),$19,7,racenet
R2,Wyong,2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,Maiden,Good 4,True,6,6,Merini,Merini,Merini,6,Kris Lees,Jason Collett,$5.5,NA,racenet
R2,Wyong,2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,Maiden,Good 4,True,7,7,Nicolosi,Nicolosi,Nicolosi,4,Gai Waterhouse & Adrian Bott,Tim Clark,$1.8,NA,racenet
R2,Wyong,2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,Maiden,Good 4,True,8,8,Sorentina,Sorentina,Sorentina,10,Richard Litt,Tom Sherry,$26,7,racenet
R2,Wyong,2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,Maiden,Good 4,True,9,9,Tidal Breeze,Tidal Breeze,Tidal Breeze,2,Nikki Pollock,Billy Cray,$201,NA,racenet
R2,Wyong,2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,Maiden,Good 4,True,10,10,Weekend Market,Weekend Market,Weekend Market,9,Gary Portelli,Rachel King,$14,3.9,racenet
R2,Wyong,2,1:20 pm Hilton & Marilyn Cope Appreciation Race Super Maiden Plate,1100m,Maiden,Good 4,True,11,11,Zsa Zsa,Zsa Zsa,Zsa Zsa,3,Sara Ryan,Ashley Morgan,$19,3.1,racenet
R3,Wyong,3,2:00 pm The Frenchsforest Probus Club Inc. Maiden Handicap,1350m,Maiden,Good 4,True,1,1,Farset,Farset,Farset,2,Gai Waterhouse & Adrian Bott,Regan Bayliss,$2.1,1.9,racenet
R3,Wyong,3,2:00 pm The Frenchsforest Probus Club Inc. Maiden Handicap,1350m,Maiden,Good 4,True,3,3,Nonno's Power,Nonno's Power,Nonno's Power,7,Joseph Pride,Rory Hutchings,$8,7.8,racenet
R3,Wyong,3,2:00 pm The Frenchsforest Probus Club Inc. Maiden Handicap,1350m,Maiden,Good 4,True,4,4,Gemtiki,Gemtiki,Gemtiki,4,Mark Minervini,Mollie Fitzgerald (a-1.5),$51,5.8,racenet
