race_no,race_name,distance,no,horse,barrier,trainer,jockey,weight,odds,scratched
1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1400m,1,Nations League,11,Chris Waller,Sam Clipperton,58kg,$5.5,false
1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1400m,2,Unhinged,9,Chris Waller,Nash Rawiller (a1),57kg,$3.4,false
1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1400m,3,The Underquoter,3,Mick Price & Michael Kent Jnr,Dylan Gibbons,56.5kg,$19,false
1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1400m,4,Tron Bolt,1,Chris Waller,James McDonald,56.5kg,$5,false
1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1400m,5,Rolling Home,10,Annabel & Rob Archibald,Braith Nock (a-1.5),56kg,$9,false
1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1400m,6,Your Attitude,4,Chris Waller,Tommy Berry (a0.5),55kg,$31,false
1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1400m,7,Jessenya,8,Chris Waller,Siena Grima (a-3),54.5kg,$27,false
1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1400m,8,Princely Edition,6,Gary Colvin,Tyler Schiller,54.5kg,$67,false
1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1400m,9,Rye Manhattan,7,Tom Charlton,Zac Lloyd,54.5kg,$10,false
1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1400m,10,Dynamic Diva (D/A),5,,Tony Ball,54kg,$61,false
1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1400m,11,Krasina,2,David Payne,Ashley Morgan,54kg,$5,false
2,12:50 pm Tab Plate,1400m,1,Adenauer,2,"Michael, John & Wayne Hawkes",Tyler Schiller,59kg,$3.6,false
2,12:50 pm Tab Plate,1400m,2,Cellphone,1,Chris Waller,Siena Grima (a-3),59kg,$7,false
2,12:50 pm Tab Plate,1400m,3,Cool Rupert,8,Matthew Smith,Kerrin McEvoy,59kg,$20,false
2,12:50 pm Tab Plate,1400m,4,Hard Shell,5,Ross McConville,Braith Nock (a-1.5),59kg,$71,false
2,12:50 pm Tab Plate,1400m,5,Mehsun,9,Chris Waller,Nash Rawiller,59kg,$5,false
2,12:50 pm Tab Plate,1400m,6,Nuclear Pete,7,Chris Waller,James McDonald,59kg,$4.6,false
2,12:50 pm Tab Plate,1400m,8,Spiv,4,Joseph Pride,Chad Schofield,59kg,$12,false
2,12:50 pm Tab Plate,1400m,9,Artgirl,6,Chris Waller,Tommy Berry,57kg,$9,false
2,12:50 pm Tab Plate,1400m,10,Peace Bird b,3,Ciaron Maher,Adam Farragher,57kg,$8.5,false
2,12:50 pm Tab Plate,1400m,7,Solid,10,"Michael, John &",Wayne Hawkes,59kg,SCR,true
3,1:25 pm Kia Central Region Dealer Of The Year Handicap,1300m,1,Ernaux,4,Chris Waller,James McDonald,60kg,$4.4,false
3,1:25 pm Kia Central Region Dealer Of The Year Handicap,1300m,2,I Am Carrot ds,1,Nacim Dilmi,Jason Collett,60kg,$7,false
3,1:25 pm Kia Central Region Dealer Of The Year Handicap,1300m,4,Siragusa ds,3,Annabel & Rob Archibald,Tom Sherry,59.5kg,$6.5,false
3,1:25 pm Kia Central Region Dealer Of The Year Handicap,1300m,5,Cheeky Smirk d,11,Gerald Ryan & Sterling Alexiou,Braith Nock (a-1.5),59kg,$34,false
3,1:25 pm Kia Central Region Dealer Of The Year Handicap,1300m,6,Penpel s,16,Marc & Mitchell Conners,Kerrin McEvoy,59kg,$21,false
3,1:25 pm Kia Central Region Dealer Of The Year Handicap,1300m,7,Sapphire Rose sh,12,Bjorn Baker,Ashley Morgan,59kg,$21,false
3,1:25 pm Kia Central Region Dealer Of The Year Handicap,1300m,8,Three Arrows ds,15,Tom Charlton,Zac Lloyd,59kg,$13,false
3,1:25 pm Kia Central Region Dealer Of The Year Handicap,1300m,9,Chatterley ds,9,Chris Waller,Tommy Berry,58kg,$13,false
3,1:25 pm Kia Central Region Dealer Of The Year Handicap,1300m,10,Alphard d,7,Chris Waller,Nash Rawiller,58kg,$7.5,false
3,1:25 pm Kia Central Region Dealer Of The Year Handicap,1300m,11,Events,5,Ciaron Maher,Chad Schofield,57kg,$17,false
3,1:25 pm Kia Central Region Dealer Of The Year Handicap,1300m,12,Lady Pankhurst,8,John Sargent,Dylan Gibbons,57kg,$35,false
