race_id,race_title,race_no,runner_no,no,horse,barrier,trainer,jockey,odds,w_ir
R1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1,1,1,Nations League,11,Chris Waller,Sam Clipperton,$5.5,4.2
R1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1,2,2,Unhinged,9,Chris Waller,Nash Rawiller (a1),$3.4,1
R1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1,3,3,The Underquoter,3,Mick Price & Michael Kent Jnr,Dylan Gibbons,$19,NA
R1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1,4,4,Tron Bolt,1,Chris Waller,James McDonald,$5,3
R1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1,5,5,Rolling Home,10,Annabel & Rob Archibald,Braith Nock (a-1.5),$9,5.5
R1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1,6,6,Your Attitude,4,Chris Waller,Tommy Berry (a0.5),$31,9
R1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1,7,7,Jessenya,8,Chris Waller,Siena Grima (a-3),$27,NA
R1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1,8,8,Princely Edition,6,Gary Colvin,Tyler Schiller,$67,5.3
R1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1,9,9,Rye Manhattan,7,Tom Charlton,Zac Lloyd,$10,NA
R1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1,10,10,Dynamic Diva (D/A),5,,Tony Ball,$61,5.8
R1,12:15 pm Hawaii Five Oh @ Vinery Stud Handicap,1,11,11,Krasina,2,David Payne,Ashley Morgan,$5,8.2
R2,12:50 pm Tab Plate,2,1,1,Adenauer,2,"Michael, John & Wayne Hawkes",Tyler Schiller,$3.6,5.3
R2,12:50 pm Tab Plate,2,2,2,Cellphone,1,Chris Waller,Siena Grima (a-3),$7,2.2
R2,12:50 pm Tab Plate,2,3,3,Cool Rupert,8,Matthew Smith,Kerrin McEvoy,$20,6.4
R2,12:50 pm Tab Plate,2,4,4,Hard Shell,5,Ross McConville,Braith Nock (a-1.5),$71,4.7
R2,12:50 pm Tab Plate,2,5,5,Mehsun,9,Chris Waller,Nash Rawiller,$5,5
R2,12:50 pm Tab Plate,2,6,6,Nuclear Pete,7,Chris Waller,James McDonald,$4.6,8
R2,12:50 pm Tab Plate,2,8,8,Spiv,4,Joseph Pride,Chad Schofield,$12,3.7
