race_no,race_name,distance,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,1,Dashing Splendour,Dashing Splendour,Dashing Splendour,14,Tommy Wong,Louis Beuzelin,57kg,$11,false
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,2,Don't Doubt Frank,Don't Doubt Frank,Don't Doubt Frank,2,Brad Widdup,Tyler Schiller,57kg,$10,false
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,4,Slander,Slander,Slander,9,Nathan Doyle,Ashley Morgan,57kg,$2.5,false
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,5,Zobellan,Zobellan,Zobellan,4,Kim Waugh,Jay Ford,57kg,$17,false
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,6,Asagao,Asagao,Asagao,15,David Payne,Kerrin McEvoy,55kg,$23,false
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,10,Sondera,Sondera,Sondera,3,Chris Waller,Zac Lloyd,55kg,$10,false
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,11,Spalpeen,Spalpeen,Spalpeen,5,John Sargent,Alysha Collett,55kg,$51,false
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,12,Tumorrama,Tumorrama,Tumorrama,1,Ron Quinton,Louise Day,55kg,$4.6,false
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,13,Royal Wootton,Royal Wootton,Royal Wootton,11,Gai Waterhouse & Adrian Bott,Rachel King,57kg,$15,false
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,17,Behindcloseddoors,Behindcloseddoors,Behindcloseddoors,7,Ciaron Maher,Adam Farragher,55kg,$31,false
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,18,Gridlock,Gridlock,Gridlock,6,Michael Freedman,Andrew Adkins,57kg,$6.5,false
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,3,,,,18,John Thompson,Chad Schofield,57kg,SCR,true
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,7,Cosmo Girl,Cosmo Girl,Cosmo Girl,13,Chris Waller,Sam Clipperton,55kg,SCR,true
1,12:55 pm Arg Building Services 2yo Maiden Plate,1100m,8,Chic,Chic,Chic,17,Chris Waller,Sam Clipperton,55kg,SCR,true
