race_no,race_name,distance,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,1,Copperline,Copperline,Copperline,9,Scott Singleton,Mikayla Weir,59kg,$11,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,2,Funky Cold Medina,Funky Cold Medina,Funky Cold Medina,13,Gary Nielsen,Siena Grima,59kg,$67,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,3,Head Kahuna,Head Kahuna,Head Kahuna,4,Brett & Georgie Cavanough,Mitchell Bell,59kg,$8.5,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,5,Nulkaba Star,Nulkaba Star,Nulkaba Star,6,Jeremy Sylvester,Liberty Smyth (a-2),59kg,$126,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,6,Splash Of Steel,Splash Of Steel,Splash Of Steel,1,Rodney Northam,Tyler Schiller,59kg,$3.8,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,7,Fannoir,Fannoir,Fannoir,11,Rodney Northam,Reece Jones,57kg,$8,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,8,Flirtation,Flirtation,Flirtation,5,Paul Messara & Leah Gavranich,Aaron Bullock (a0.5),57kg,$2.5,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,9,Kostanuffin,Kostanuffin,Kostanuffin,8,Cameron Crockett,Ashley Morgan,57kg,$35,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,10,Krystina Kerima,Krystina Kerima,Krystina Kerima,2,Les Roberts,Daniel Northey,57kg,$151,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,11,Lady Burlesque,Lady Burlesque,Lady Burlesque,7,Todd Howlett,Rory Hutchings,57kg,$201,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,12,Yasena,Yasena,Yasena,10,John Ramsey,Jake Pracey-holmes,57kg,$81,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,13,Tennessee River,Tennessee River,Tennessee River,3,Todd Howlett,Alysha Collett,55kg,$5,false
1,12:20 pm Kia Ora Country Boosted Maiden Plate,1000m,4,Markwell Topsort,Markwell Topsort,Markwell Topsort,12,,Joseph Burges,59kg,SCR,true
2,12:55 pm Magic Millions Super Maiden Handicap,1300m,1,Rustemo,Rustemo,Rustemo,7,Kris Lees,Jason Collett,60.5kg,$3.6,false
2,12:55 pm Magic Millions Super Maiden Handicap,1300m,2,Agraffe Rocket,Agraffe Rocket,Agraffe Rocket,3,Kris Lees,Aaron Bullock,60kg,$3,false
2,12:55 pm Magic Millions Super Maiden Handicap,1300m,3,Twice Az Cool,Twice Az Cool,Twice Az Cool,12,Rodney Northam,Reece Jones,59kg,$18,false
2,12:55 pm Magic Millions Super Maiden Handicap,1300m,4,Hot Chocks,Hot Chocks,Hot Chocks,13,Rodney Northam,Alysha Collett,58kg,$23,false
2,12:55 pm Magic Millions Super Maiden Handicap,1300m,5,Leovanni,Leovanni,Leovanni,2,Cameron Crockett,Ashley Morgan,58kg,$7,false
2,12:55 pm Magic Millions Super Maiden Handicap,1300m,6,Lyon,Lyon,Lyon,11,Scott Singleton,Mikayla Weir,58kg,$31,false
2,12:55 pm Magic Millions Super Maiden Handicap,1300m,8,I Am Overs,I Am Overs,I Am Overs,8,Annabel & Rob Archibald,Braith Nock,57kg,$11,false
2,12:55 pm Magic Millions Super Maiden Handicap,1300m,10,Royal Botanic,Royal Botanic,Royal Botanic,9,Kris Lees,Kerrin McEvoy,57kg,$6.5,false
2,12:55 pm Magic Millions Super Maiden Handicap,1300m,11,Bridego,Bridego,Bridego,1,Joel Wilkes,Luke Rolls,56.5kg,$71,false
