race_id,race_title,race_no,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,1,1,Copperline,Copperline,Copperline,9,Scott Singleton,Mikayla Weir,$11,1
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,2,2,Funky Cold Medina,Funky Cold Medina,Funky Cold Medina,13,Gary Nielsen,Siena Grima,$67,NA
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,3,3,Head Kahuna,Head Kahuna,Head Kahuna,4,Brett & Georgie Cavanough,Mitchell Bell,$8.5,3.5
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,5,5,Nulkaba Star,Nulkaba Star,Nulkaba Star,6,Jeremy Sylvester,Liberty Smyth (a-2),$126,4.2
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,6,6,Splash Of Steel,Splash Of Steel,Splash Of Steel,1,Rodney Northam,Tyler Schiller,$3.8,9.1
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,7,7,Fannoir,Fannoir,Fannoir,11,Rodney Northam,Reece Jones,$8,5
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,8,8,Flirtation,Flirtation,Flirtation,5,Paul Messara & Leah Gavranich,Aaron Bullock (a0.5),$2.5,NA
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,9,9,Kostanuffin,Kostanuffin,Kostanuffin,8,Cameron Crockett,Ashley Morgan,$35,3
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,10,10,Krystina Kerima,Krystina Kerima,Krystina Kerima,2,Les Roberts,Daniel Northey,$151,8.5
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,11,11,Lady Burlesque,Lady Burlesque,Lady Burlesque,7,Todd Howlett,Rory Hutchings,$201,1
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,12,12,Yasena,Yasena,Yasena,10,John Ramsey,Jake Pracey-holmes,$81,2.1
R1,12:20 pm Kia Ora Country Boosted Maiden Plate,1,13,13,Tennessee River,Tennessee River,Tennessee River,3,Todd Howlett,Alysha Collett,$5,NA
R2,12:55 pm Magic Millions Super Maiden Handicap,2,1,1,Rustemo,Rustemo,Rustemo,7,Kris Lees,Jason Collett,$3.6,4.8
R2,12:55 pm Magic Millions Super Maiden Handicap,2,2,2,Agraffe Rocket,Agraffe Rocket,Agraffe Rocket,3,Kris Lees,Aaron Bullock,$3,7
R2,12:55 pm Magic Millions Super Maiden Handicap,2,3,3,Twice Az Cool,Twice Az Cool,Twice Az Cool,12,Rodney Northam,Reece Jones,$18,3.8
R2,12:55 pm Magic Millions Super Maiden Handicap,2,4,4,Hot Chocks,Hot Chocks,Hot Chocks,13,Rodney Northam,Alysha Collett,$23,5
R2,12:55 pm Magic Millions Super Maiden Handicap,2,5,5,Leovanni,Leovanni,Leovanni,2,Cameron Crockett,Ashley Morgan,$7,7.2
R2,12:55 pm Magic Millions Super Maiden Handicap,2,6,6,Lyon,Lyon,Lyon,11,Scott Singleton,Mikayla Weir,$31,7
R2,12:55 pm Magic Millions Super Maiden Handicap,2,8,8,I Am Overs,I Am Overs,I Am Overs,8,Annabel & Rob Archibald,Braith Nock,$11,4.4
R2,12:55 pm Magic Millions Super Maiden Handicap,2,10,10,Royal Botanic,Royal Botanic,Royal Botanic,9,Kris Lees,Kerrin McEvoy,$6.5,2.7
R2,12:55 pm Magic Millions Super Maiden Handicap,2,11,11,Bridego,Bridego,Bridego,1,Joel Wilkes,Luke Rolls,$71,5.1
R2,12:55 pm Magic Millions Super Maiden Handicap,2,12,12,Moonlight Odyssey,Moonlight Odyssey,Moonlight Odyssey,4,Wayne Wilkes,Dylan Gibbons,$101,5.2
R2,12:55 pm Magic Millions Super Maiden Handicap,2,13,13,Dellucy,Dellucy,Dellucy,5,Gary Nielsen,Siena Grima,$81,4.9
