race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",1,1,Aix En Provence,Aix En Provence,Aix En Provence,7,Nacim Dilmi,Mollie Fitzgerald (a-3),$9,4.5
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",2,2,Oakfield Saturn,Oakfield Saturn,Oakfield Saturn,12,Damien Lane,Aaron Bullock,$11,5.6
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",3,3,Pleasure Artist,Pleasure Artist,Pleasure Artist,13,Richard & Will Freedman,William Stanley (a-3),$13,5.6
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",4,4,Claim The Crown,Claim The Crown,Claim The Crown,8,John Sargent,Rachel King,$21,6
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",5,5,The Mona Lisa,The Mona Lisa,The Mona Lisa,9,Paul & Martha Cave,Andrew Calder,$10,5.5
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",6,6,Viewpoint,Viewpoint,Viewpoint,10,Nacim Dilmi,Kerrin McEvoy,$4.4,2.9
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",7,7,Strawberry Impact,Strawberry Impact,Strawberry Impact,4,Blake Ryan,Regan Bayliss,$8.5,7.6
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",8,8,Allegro Miss,Allegro Miss,Allegro Miss,14,Con Karakatsanis,Jay Ford,$20,7.9
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",9,9,Monkhana,Monkhana,Monkhana,5,Denim Wynen,Anna Roper (a-2),$20,4.1
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",10,10,Change My Address,Change My Address,Change My Address,11,John Sargent,Jason Collett,$7.5,7
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",12,12,Serpico,Serpico,Serpico,6,David Payne,Ashley Morgan,$11,7.3
R1,Scone,1,11:05 am Scone Rsl Midway Benchmark 72 Handicap,1700m,BM72,Good 4,"+3m 1000m - 400m, True Remainder",13,13,Philipsburg,Philipsburg,Philipsburg,2,James Ponsonby,Winona Costin,$71,8.5
