race_id,race_title,race_no,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,1,1,1,Close To Midnight,Close To Midnight,Close To Midnight,6,James Harding,Zac Lloyd,$1.95,2.9
R1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,1,3,3,Silk Lace,Silk Lace,Silk Lace,5,Blake Ryan,Emma Ly (a-3),$3.7,3.3
R1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,1,4,4,Bent As Hell,Bent As Hell,Bent As Hell,4,Rodney Ollerton,Christian Reith,$5.5,5.3
R1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,1,6,6,Barsandbi,Barsandbi,Barsandbi,8,Gregory McFarlane,Jessica Taylor,$14,4
R1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,1,7,7,Go Russian,Go Russian,Go Russian,2,Rodney Ollerton Siena,Grima A2 (a-2),$11,3
R1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,1,8,8,Valentino Prince ts(HT) 3 Paul Perry William Stanley A1.,Valentino Prince ts(HT) 3 Paul Perry William Stanley A1.,Valentino Prince ts(HT) 3 Paul Perry William Stanley A1.,5,,(a-1.5),$12,6.4
R1,12:35 pm Dailey Family Funerals Midway Class 1 Handicap,1,9,9,Maramoti,Maramoti,Maramoti,7,Tanya Randell,Shannen Llewellyn (a-2),$35,4.9
R2,1:10 pm Davali Thoroughbreds Maiden Plate,2,1,1,Marco Polo,Marco Polo,Marco Polo,10,Chris Waller,Rory Hutchings,$51,4.3
R2,1:10 pm Davali Thoroughbreds Maiden Plate,2,2,2,Memphis Blue,Memphis Blue,Memphis Blue,12,Peter Mills,Adrian Layt,$91,9.4
R2,1:10 pm Davali Thoroughbreds Maiden Plate,2,3,3,Decalogue,Decalogue,Decalogue,1,Ciaron Maher,Zac Lloyd,$1.65,3.5
R2,1:10 pm Davali Thoroughbreds Maiden Plate,2,4,4,Scoop The Pool,Scoop The Pool,Scoop The Pool,4,Tom Charlton,Andrew Adkins,$5.5,5.1
R2,1:10 pm Davali Thoroughbreds Maiden Plate,2,6,6,The Victorious,The Victorious,The Victorious,11,Chris Waller Siena,Grima A2 (a-2),$81,6.6
R2,1:10 pm Davali Thoroughbreds Maiden Plate,2,7,7,Think I Will,Think I Will,Think I Will,6,Gai Waterhouse & Adrian Bott,Regan Bayliss,$10,4
R2,1:10 pm Davali Thoroughbreds Maiden Plate,2,8,8,Aladdin's Girl,Aladdin's Girl,Aladdin's Girl,8,Chris Waller,Lee Magorrian,$8.5,7.3
R2,1:10 pm Davali Thoroughbreds Maiden Plate,2,9,9,Chaithnia,Chaithnia,Chaithnia,3,Matthew Smith,Jay Ford,$19,7.2
R2,1:10 pm Davali Thoroughbreds Maiden Plate,2,11,11,Gold Cup,Gold Cup,Gold Cup,9,Kris Lees,Kerrin McEvoy,$8.5,4.3
R2,1:10 pm Davali Thoroughbreds Maiden Plate,2,12,12,Powerful Annie,Powerful Annie,Powerful Annie,2,Kris Lees,Tom Sherry,$16,8.9
R3,1:50 pm New Fm/2hd Maiden Plate,3,1,1,Clanwilliam,Clanwilliam,Clanwilliam,6,David Payne,Zac Lloyd,$2.75,5.3
