race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:50 pm Ranvet Handicap,12:50 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,1,Azarax,Azarax,Azarax,1,Tom Charlton,Anna Roper (a-2),62kg,$9,false
1,12:50 pm Ranvet Handicap,12:50 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,2,Olympian,Olympian,Olympian,10,Paul Messara & Leah Gavranich,James McDonald,60.5kg,$2.4,false
1,12:50 pm Ranvet Handicap,12:50 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,3,Coulter,Coulter,Coulter,5,Bjorn Baker,Rachel King,60kg,$6,false
1,12:50 pm Ranvet Handicap,12:50 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,4,Eleven X,Eleven X,Eleven X,4,Annabel & Rob Archibald,Braith Nock (a-1.5),59kg,$14,false
1,12:50 pm Ranvet Handicap,12:50 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,5,Tequisoda,Tequisoda,Tequisoda,3,Brad Widdup,Tyler Schiller,59kg,$7,false
1,12:50 pm Ranvet Handicap,12:50 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,6,Spice Prawn,Spice Prawn,Spice Prawn,8,Peter Snowden,Tom Sherry,56.5kg,$5.5,false
1,12:50 pm Ranvet Handicap,12:50 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,8,Inyun,Inyun,Inyun,6,Dean Mirfin,Kerrin McEvoy,54kg,$51,false
1,12:50 pm Ranvet Handicap,12:50 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,9,Mamma Mia,Mamma Mia,Mamma Mia,2,John Thompson,Zac Lloyd,54kg,$29,false
1,12:50 pm Ranvet Handicap,12:50 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,10,Sablonneuse,Sablonneuse,Sablonneuse,7,Theresa Bateup,Brock Ryan,54kg,$23,false
1,12:50 pm Ranvet Handicap,12:50 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,7,Lipstick,Lipstick,Lipstick,9,Chris Waller,Tommy Berry (a0.5),55kg,SCR,true
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,2,Celtic Spy,Celtic Spy,Celtic Spy,9,Gai Waterhouse & Adrian Bott,Regan Bayliss,57.5kg,$10,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,3,Crescent King,Crescent King,Crescent King,15,Peter Snowden,Chad Schofield,57kg,$2.6,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,4,,,,6,John Thompson,Andrew Adkins,57kg,$151,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,5,Clause,Clause,Clause,11,Jason Coyle,Rachel King,57kg,$41,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,8,Just To Say Hi,Just To Say Hi,Just To Say Hi,7,Geoff Allendorf,Tyler Schiller,57kg,$151,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,10,Like An Eagle,Like An Eagle,Like An Eagle,12,Gerald Ryan & Sterling Alexiou,Tom Sherry,57kg,$14,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,11,Our Emperor,Our Emperor,Our Emperor,1,Gai Waterhouse & Adrian Bott,Tim Clark,57kg,$4.8,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,12,Shallow Bay,Shallow Bay,Shallow Bay,3,Chris Waller,Tommy Berry,57kg,$29,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,13,Billapaloola,Billapaloola,Billapaloola,17,Ron Quinton,Alysha Collett,55kg,$201,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,14,Jessenya,Jessenya,Jessenya,2,Chris Waller,Zac Lloyd,55kg,$16,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,15,Iommi,Iommi,Iommi,4,Chris Waller,James McDonald,57kg,$5,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,18,Honour Award,Honour Award,Honour Award,8,Geoff Allendorf,Andrew Calder,57kg,$51,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,19,Shuda Known,Shuda Known,Shuda Known,5,Kris Lees,Kerrin McEvoy,57kg,$10,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,20,The Autumn Choice,The Autumn Choice,The Autumn Choice,20,Geoff Allendorf,Dylan Gibbons,57kg,$151,false
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,1,Portico,Portico,Portico,14,Michael Freedman,Dylan Gibbons,58kg,SCR,true
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,6,Glenorchy,Glenorchy,Glenorchy,18,Chris Waller,Tyler Schiller,57kg,SCR,true
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,7,Iambubb,Iambubb,Iambubb,10,Mitchell & Desiree Kearney,Jeff Penza,57kg,SCR,true
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,9,Klocke,Klocke,Klocke,19,Chris Waller,Siena Grima (a-3),57kg,SCR,true
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,16,Wild Courage,Wild Courage,Wild Courage,16,Ciaron Maher,Braith Nock (a-1.5),55kg,SCR,true
2,1:25 pm Tab Handicap,1:25 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,17,Chic,Chic,Chic,13,,Chris Waller,55kg,SCR,true
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,3,Tartaglia,Tartaglia,Tartaglia,1,Paul Snowden,Tommy Berry,61.5kg,$21,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,5,Bruce I Am,Bruce I Am,Bruce I Am,7,Joseph Pride,Nash Rawiller,60kg,$4.2,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,6,Fairway To Heaven,Fairway To Heaven,Fairway To Heaven,9,Michael Freedman,Tim Clark,60kg,$5,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,7,Hello Captain,Hello Captain,Hello Captain,4,Chris Waller,James McDonald,59kg,$2.5,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,8,Nandina,Nandina,Nandina,2,Chris Waller,Kerrin McEvoy,59kg,$8,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,10,Wootton Way,Wootton Way,Wootton Way,3,Chris Waller,Zac Lloyd,58.5kg,$7,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,11,Lune D'excellence,Lune D'excellence,Lune D'excellence,6,Kris Lees,Dylan Gibbons,56kg,$31,false
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,1,Take The Rap,Take The Rap,Take The Rap,5,Norm Gardner Rebecca,Bronett Prag (a-3),63kg,SCR,true
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,2,President,President,President,8,,Jason Coyle,62.5kg,SCR,true
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,4,Margin Call,Margin Call,Margin Call,11,Ciaron Maher,Adam Farragher,61kg,SCR,true
3,2:00 pm All Too Hard @ Vinery Stud Handicap,2:00 pm,1100m,Warwick Farm,Handicap,Heavy 8,True,9,Attractiveness,Attractiveness,Attractiveness,10,Richard & Will Freedman,Chad Schofield,58.5kg,SCR,true
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,1,The Creator,The Creator,The Creator,10,Mick Price & Michael Kent Jnr,Anna Roper (a-2),62.5kg,$9,false
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,3,Hovland,Hovland,Hovland,11,Tom Charlton,Zac Lloyd,59.5kg,$6,false
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,5,Scalextrics,Scalextrics,Scalextrics,4,Matthew Smith,Kerrin McEvoy,59kg,$10,false
4,2:35 pm Precise Air Handicap,2:35 pm,1600m,Warwick Farm,Handicap,Heavy 8,True,6,Mojave River,Mojave River,Mojave River,6,Chris Waller,James McDonald,58.5kg,$4.5,false
