assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,notes,total_positive,total_negative,net,updated_at
R1-1,R1,12:50 pm Ranvet Handicap,1,Azarax,1,Tom Charlton,Anna Roper (a-2),$9,{},"{""Aggressive-"":-1}",{},,0,1,-1,2026-05-20T03:33:18.259Z
R1-2,R1,12:50 pm Ranvet Handicap,2,Olympian,10,Paul Messara & Leah Gavranich,James McDonald,$2.40,,,,,0,0,0,
R1-3,R1,12:50 pm Ranvet Handicap,3,Coulter,5,Bjorn Baker,Rachel King,$6,"{""BH+"":1}",{},{},fast walk,1,0,1,2026-05-20T03:33:43.402Z
R1-4,R1,12:50 pm Ranvet Handicap,4,Eleven X,4,Annabel & Rob Archibald,Braith Nock (a-1.5),$14,,,,,0,0,0,
R1-5,R1,12:50 pm Ranvet Handicap,5,Tequisoda,3,Brad Widdup,Tyler Schiller,$7,,,,,0,0,0,
R1-6,R1,12:50 pm Ranvet Handicap,6,Spice Prawn,8,Peter Snowden,Tom Sherry,$5.50,,,,,0,0,0,
R1-8,R1,12:50 pm Ranvet Handicap,8,Inyun,6,Dean Mirfin,Kerrin McEvoy,$51,,,,,0,0,0,
R1-9,R1,12:50 pm Ranvet Handicap,9,Mamma Mia,2,John Thompson,Zac Lloyd,$29,,,,,0,0,0,
R1-10,R1,12:50 pm Ranvet Handicap,10,Sablonneuse,7,Theresa Bateup,Brock Ryan,$23,"{""BH+"":1}",{},{},,1,0,1,2026-05-20T03:34:04.647Z
R2-2,R2,1:25 pm Tab Handicap,2,Celtic Spy,9,Gai Waterhouse & Adrian Bott,Regan Bayliss,$10,,,,,0,0,0,
R2-3,R2,1:25 pm Tab Handicap,3,Crescent King,15,Peter Snowden,Chad Schofield,$2.60,"{""BH+"":1}",{},{},,1,0,1,2026-05-20T03:34:16.376Z
R2-4,R2,1:25 pm Tab Handicap,4,Exhilaration,6,John Thompson,Andrew Adkins,$151,,,,,0,0,0,
R2-5,R2,1:25 pm Tab Handicap,5,Clause,11,Jason Coyle,Rachel King,$41,,,,,0,0,0,
