race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Warwick Farm,1,12:50 pm Ranvet Handicap,1600m,Handicap,Heavy 8,True,1,1,Azarax,Azarax,Azarax,1,Tom Charlton,Anna Roper (a-2),$9,3.4
R1,Warwick Farm,1,12:50 pm Ranvet Handicap,1600m,Handicap,Heavy 8,True,2,2,Olympian,Olympian,Olympian,10,Paul Messara & Leah Gavranich,James McDonald,$2.4,8.4
R1,Warwick Farm,1,12:50 pm Ranvet Handicap,1600m,Handicap,Heavy 8,True,3,3,Coulter,Coulter,Coulter,5,Bjorn Baker,Rachel King,$6,6
R1,Warwick Farm,1,12:50 pm Ranvet Handicap,1600m,Handicap,Heavy 8,True,4,4,Eleven X,Eleven X,Eleven X,4,Annabel & Rob Archibald,Braith Nock (a-1.5),$14,5.7
R1,Warwick Farm,1,12:50 pm Ranvet Handicap,1600m,Handicap,Heavy 8,True,5,5,Tequisoda,Tequisoda,Tequisoda,3,Brad Widdup,Tyler Schiller,$7,5.6
R1,Warwick Farm,1,12:50 pm Ranvet Handicap,1600m,Handicap,Heavy 8,True,6,6,Spice Prawn,Spice Prawn,Spice Prawn,8,Peter Snowden,Tom Sherry,$5.5,7.1
R1,Warwick Farm,1,12:50 pm Ranvet Handicap,1600m,Handicap,Heavy 8,True,8,8,Inyun,Inyun,Inyun,6,Dean Mirfin,Kerrin McEvoy,$51,6.4
R1,Warwick Farm,1,12:50 pm Ranvet Handicap,1600m,Handicap,Heavy 8,True,9,9,Mamma Mia,Mamma Mia,Mamma Mia,2,John Thompson,Zac Lloyd,$29,5
R1,Warwick Farm,1,12:50 pm Ranvet Handicap,1600m,Handicap,Heavy 8,True,10,10,Sablonneuse,Sablonneuse,Sablonneuse,7,Theresa Bateup,Brock Ryan,$23,4.6
R2,Warwick Farm,2,1:25 pm Tab Handicap,1100m,Handicap,Heavy 8,True,2,2,Celtic Spy,Celtic Spy,Celtic Spy,9,Gai Waterhouse & Adrian Bott,Regan Bayliss,$10,2.3
R2,Warwick Farm,2,1:25 pm Tab Handicap,1100m,Handicap,Heavy 8,True,3,3,Crescent King,Crescent King,Crescent King,15,Peter Snowden,Chad Schofield,$2.6,NA
R2,Warwick Farm,2,1:25 pm Tab Handicap,1100m,Handicap,Heavy 8,True,4,4,,,,6,John Thompson,Andrew Adkins,$151,NA
R2,Warwick Farm,2,1:25 pm Tab Handicap,1100m,Handicap,Heavy 8,True,5,5,Clause,Clause,Clause,11,Jason Coyle,Rachel King,$41,NA
R2,Warwick Farm,2,1:25 pm Tab Handicap,1100m,Handicap,Heavy 8,True,8,8,Just To Say Hi,Just To Say Hi,Just To Say Hi,7,Geoff Allendorf,Tyler Schiller,$151,NA
R2,Warwick Farm,2,1:25 pm Tab Handicap,1100m,Handicap,Heavy 8,True,10,10,Like An Eagle,Like An Eagle,Like An Eagle,12,Gerald Ryan & Sterling Alexiou,Tom Sherry,$14,NA
