race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:15 pm Turfmate International 3yo Maiden Handicap,12:15 pm,1300m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",1,Farset,Farset,Farset,8,Gai Waterhouse & Adrian Bott,Rachel King,60.5kg,$3.4,false
1,12:15 pm Turfmate International 3yo Maiden Handicap,12:15 pm,1300m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",2,Malietoa,Malietoa,Malietoa,1,Marc & Mitchell Conners,Tyler Schiller,59kg,$17,false
1,12:15 pm Turfmate International 3yo Maiden Handicap,12:15 pm,1300m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",3,Fitzclarence,Fitzclarence,Fitzclarence,2,Jason Attard,Rory Hutchings,58.5kg,$13,false
1,12:15 pm Turfmate International 3yo Maiden Handicap,12:15 pm,1300m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",4,Monotone,Monotone,Monotone,5,Bjorn Baker,Tommy Berry,58.5kg,$2.7,false
1,12:15 pm Turfmate International 3yo Maiden Handicap,12:15 pm,1300m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",5,Incremental,Incremental,Incremental,6,Annabel & Rob Archibald,Braith Nock,58kg,$7,false
1,12:15 pm Turfmate International 3yo Maiden Handicap,12:15 pm,1300m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",6,Simply Unique,Simply Unique,Simply Unique,3,Gerald Ryan & Sterling Alexiou,Dylan Gibbons,57kg,$6.5,false
1,12:15 pm Turfmate International 3yo Maiden Handicap,12:15 pm,1300m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",7,Glamour Magic,Glamour Magic,Glamour Magic,4,Joseph Pride,Sam Clipperton,56kg,$15,false
1,12:15 pm Turfmate International 3yo Maiden Handicap,12:15 pm,1300m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",8,Wee Winn,Wee Winn,Wee Winn,7,Peter Snowden,Andrew Adkins,56kg,$12,false
2,12:50 pm Titan Ag F&m Maiden Plate,12:50 pm,1400m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",1,Alnair,Alnair,Alnair,4,Gerald Ryan & Sterling Alexiou,Tyler Schiller,58kg,$1.65,false
2,12:50 pm Titan Ag F&m Maiden Plate,12:50 pm,1400m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",2,Circus Girl,Circus Girl,Circus Girl,2,Karen Outtrim,Jay Ford,58kg,$31,false
2,12:50 pm Titan Ag F&m Maiden Plate,12:50 pm,1400m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",3,Obsidian Dream,Obsidian Dream,Obsidian Dream,8,Joseph Pride,Sam Clipperton,58kg,$3.3,false
2,12:50 pm Titan Ag F&m Maiden Plate,12:50 pm,1400m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",4,Olivia Mia,Olivia Mia,Olivia Mia,7,Fabio Martino,Chad Lever,58kg,$14,false
2,12:50 pm Titan Ag F&m Maiden Plate,12:50 pm,1400m,Hawkesbury,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",6,Successful Impact,Successful Impact,Successful Impact,5,Ciaron Maher,Adam Farragher,58kg,$5.5,false
