race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Hawkesbury,1,12:15 pm Turfmate International 3yo Maiden Handicap,1300m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",1,1,Farset,Farset,Farset,8,Gai Waterhouse & Adrian Bott,Rachel King,$3.4,1.6
R1,Hawkesbury,1,12:15 pm Turfmate International 3yo Maiden Handicap,1300m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",2,2,Malietoa,Malietoa,Malietoa,1,Marc & Mitchell Conners,Tyler Schiller,$17,NA
R1,Hawkesbury,1,12:15 pm Turfmate International 3yo Maiden Handicap,1300m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",3,3,Fitzclarence,Fitzclarence,Fitzclarence,2,Jason Attard,Rory Hutchings,$13,4.7
R1,Hawkesbury,1,12:15 pm Turfmate International 3yo Maiden Handicap,1300m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",4,4,Monotone,Monotone,Monotone,5,Bjorn Baker,Tommy Berry,$2.7,7.3
R1,Hawkesbury,1,12:15 pm Turfmate International 3yo Maiden Handicap,1300m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",5,5,Incremental,Incremental,Incremental,6,Annabel & Rob Archibald,Braith Nock,$7,3.7
R1,Hawkesbury,1,12:15 pm Turfmate International 3yo Maiden Handicap,1300m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",6,6,Simply Unique,Simply Unique,Simply Unique,3,Gerald Ryan & Sterling Alexiou,Dylan Gibbons,$6.5,5
R1,Hawkesbury,1,12:15 pm Turfmate International 3yo Maiden Handicap,1300m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",7,7,Glamour Magic,Glamour Magic,Glamour Magic,4,Joseph Pride,Sam Clipperton,$15,3
R1,Hawkesbury,1,12:15 pm Turfmate International 3yo Maiden Handicap,1300m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",8,8,Wee Winn,Wee Winn,Wee Winn,7,Peter Snowden,Andrew Adkins,$12,5.3
R2,Hawkesbury,2,12:50 pm Titan Ag F&m Maiden Plate,1400m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",1,1,Alnair,Alnair,Alnair,4,Gerald Ryan & Sterling Alexiou,Tyler Schiller,$1.65,5
R2,Hawkesbury,2,12:50 pm Titan Ag F&m Maiden Plate,1400m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",2,2,Circus Girl,Circus Girl,Circus Girl,2,Karen Outtrim,Jay Ford,$31,7.6
R2,Hawkesbury,2,12:50 pm Titan Ag F&m Maiden Plate,1400m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",3,3,Obsidian Dream,Obsidian Dream,Obsidian Dream,8,Joseph Pride,Sam Clipperton,$3.3,3.6
R2,Hawkesbury,2,12:50 pm Titan Ag F&m Maiden Plate,1400m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",4,4,Olivia Mia,Olivia Mia,Olivia Mia,7,Fabio Martino,Chad Lever,$14,9
R2,Hawkesbury,2,12:50 pm Titan Ag F&m Maiden Plate,1400m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",6,6,Successful Impact,Successful Impact,Successful Impact,5,Ciaron Maher,Adam Farragher,$5.5,NA
R2,Hawkesbury,2,12:50 pm Titan Ag F&m Maiden Plate,1400m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",7,7,Vondel,Vondel,Vondel,3,Brad Widdup,Alysha Collett,$31,3
R2,Hawkesbury,2,12:50 pm Titan Ag F&m Maiden Plate,1400m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",8,8,Coolazcanbe,Coolazcanbe,Coolazcanbe,6,Gary Portelli,Andrew Calder,$81,8.3
R3,Hawkesbury,3,1:25 pm Advanced Seed Blackstone Super Maiden Plate,1100m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",1,1,Reign Of Honor,Reign Of Honor,Reign Of Honor,5,Gai Waterhouse & Adrian Bott,Rachel King,$5,1.5
R3,Hawkesbury,3,1:25 pm Advanced Seed Blackstone Super Maiden Plate,1100m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",2,2,Rogue Nation,Rogue Nation,Rogue Nation,2,Danny Williams,Pierre Boudvillain,$5.5,3
R3,Hawkesbury,3,1:25 pm Advanced Seed Blackstone Super Maiden Plate,1100m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",4,4,Sand Dancer,Sand Dancer,Sand Dancer,3,"Michael, John & Wayne Hawkes",Tyler Schiller,$7,NA
R3,Hawkesbury,3,1:25 pm Advanced Seed Blackstone Super Maiden Plate,1100m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",6,6,Tszinsi,Tszinsi,Tszinsi,9,Lee & Cherie Curtis,Jeff Penza,$34,2
R3,Hawkesbury,3,1:25 pm Advanced Seed Blackstone Super Maiden Plate,1100m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",7,7,Weekend Market,Weekend Market,Weekend Market,4,Gary Portelli,Alysha Collett,$11,5.3
R3,Hawkesbury,3,1:25 pm Advanced Seed Blackstone Super Maiden Plate,1100m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",9,9,Pearl Of Dubai,Pearl Of Dubai,Pearl Of Dubai,1,Peter Snowden,Andrew Adkins,$2.3,4.7
R3,Hawkesbury,3,1:25 pm Advanced Seed Blackstone Super Maiden Plate,1100m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",10,10,Wild Courage,Wild Courage,Wild Courage,10,Ciaron Maher,Kerrin McEvoy,$7.5,7
R4,Hawkesbury,4,2:05 pm Syngenta Trefinti Provincial Maiden Handicap,1600m,Maiden,Heavy 8,"+5m 1100-450, +3m 450 -WP, True remainder",1,1,Classic Two,Classic Two,Classic Two,7,Rodney Bailey,Jessica Taylor,$7.5,2.7
