race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,11:00 am Asahi Super Dry Handicap,11:00 am,1200m,Randwick,Handicap,Soft 7,True,1,Keen To Exceed,Keen To Exceed,Keen To Exceed,2,"Michael, John & Wayne Hawkes",Tyler Schiller,58kg,$3.9,false
1,11:00 am Asahi Super Dry Handicap,11:00 am,1200m,Randwick,Handicap,Soft 7,True,2,Friendly Fire,Friendly Fire,Friendly Fire,1,Gary Portelli,Alysha Collett,57.5kg,$16,false
1,11:00 am Asahi Super Dry Handicap,11:00 am,1200m,Randwick,Handicap,Soft 7,True,3,Lady Catalina,Lady Catalina,Lady Catalina,6,Ciaron Maher,Adam Farragher,57kg,$7.5,false
1,11:00 am Asahi Super Dry Handicap,11:00 am,1200m,Randwick,Handicap,Soft 7,True,4,All Over Harry,All Over Harry,All Over Harry,8,Anthony & Sam Freedman,Joshua Parr,57kg,$15,false
1,11:00 am Asahi Super Dry Handicap,11:00 am,1200m,Randwick,Handicap,Soft 7,True,5,Glenorchy,Glenorchy,Glenorchy,7,Chris Waller,Sam Clipperton,57kg,$9,false
1,11:00 am Asahi Super Dry Handicap,11:00 am,1200m,Randwick,Handicap,Soft 7,True,6,Zousika,Zousika,Zousika,9,Annabel & Rob Archibald,Dylan Gibbons,57kg,$21,false
1,11:00 am Asahi Super Dry Handicap,11:00 am,1200m,Randwick,Handicap,Soft 7,True,7,Uncertain Glory,Uncertain Glory,Uncertain Glory,4,Michael Freedman,Andrew Adkins,56.5kg,$4.2,false
1,11:00 am Asahi Super Dry Handicap,11:00 am,1200m,Randwick,Handicap,Soft 7,True,8,First Act,First Act,First Act,5,Chris Waller,Adam Hyeronimus (a0.5),56.5kg,$46,false
1,11:00 am Asahi Super Dry Handicap,11:00 am,1200m,Randwick,Handicap,Soft 7,True,9,Thyme To Go,Thyme To Go,Thyme To Go,3,Annabel & Rob Archibald,Braith Nock (a-1.5),55.5kg,$4.2,false
1,11:00 am Asahi Super Dry Handicap,11:00 am,1200m,Randwick,Handicap,Soft 7,True,10,Influential Jewel,Influential Jewel,Influential Jewel,10,Chris Waller,Kerrin McEvoy,54kg,$35,false
