race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Randwick,1,11:00 am Asahi Super Dry Handicap,1200m,Handicap,Soft 7,True,1,1,Keen To Exceed,Keen To Exceed,Keen To Exceed,2,"Michael, John & Wayne Hawkes",Tyler Schiller,$3.9,8
R1,Randwick,1,11:00 am Asahi Super Dry Handicap,1200m,Handicap,Soft 7,True,2,2,Friendly Fire,Friendly Fire,Friendly Fire,1,Gary Portelli,Alysha Collett,$16,9
R1,Randwick,1,11:00 am Asahi Super Dry Handicap,1200m,Handicap,Soft 7,True,3,3,Lady Catalina,Lady Catalina,Lady Catalina,6,Ciaron Maher,Adam Farragher,$7.5,1.8
R1,Randwick,1,11:00 am Asahi Super Dry Handicap,1200m,Handicap,Soft 7,True,4,4,All Over Harry,All Over Harry,All Over Harry,8,Anthony & Sam Freedman,Joshua Parr,$15,NA
R1,Randwick,1,11:00 am Asahi Super Dry Handicap,1200m,Handicap,Soft 7,True,5,5,Glenorchy,Glenorchy,Glenorchy,7,Chris Waller,Sam Clipperton,$9,NA
R1,Randwick,1,11:00 am Asahi Super Dry Handicap,1200m,Handicap,Soft 7,True,6,6,Zousika,Zousika,Zousika,9,Annabel & Rob Archibald,Dylan Gibbons,$21,1.7
R1,Randwick,1,11:00 am Asahi Super Dry Handicap,1200m,Handicap,Soft 7,True,7,7,Uncertain Glory,Uncertain Glory,Uncertain Glory,4,Michael Freedman,Andrew Adkins,$4.2,7
R1,Randwick,1,11:00 am Asahi Super Dry Handicap,1200m,Handicap,Soft 7,True,8,8,First Act,First Act,First Act,5,Chris Waller,Adam Hyeronimus (a0.5),$46,6
R1,Randwick,1,11:00 am Asahi Super Dry Handicap,1200m,Handicap,Soft 7,True,9,9,Thyme To Go,Thyme To Go,Thyme To Go,3,Annabel & Rob Archibald,Braith Nock (a-1.5),$4.2,4
R1,Randwick,1,11:00 am Asahi Super Dry Handicap,1200m,Handicap,Soft 7,True,10,10,Influential Jewel,Influential Jewel,Influential Jewel,10,Chris Waller,Kerrin McEvoy,$35,8
R2,Randwick,2,11:35 am Midway Handicap,1400m,Handicap,Soft 7,True,1,1,Flying Embers,Flying Embers,Flying Embers,7,John Thompson,Nash Rawiller,$4.2,5.8
R2,Randwick,2,11:35 am Midway Handicap,1400m,Handicap,Soft 7,True,2,2,Audrey's Lane,Audrey's Lane,Audrey's Lane,3,Brad Widdup,Alysha Collett,$7.5,3
R2,Randwick,2,11:35 am Midway Handicap,1400m,Handicap,Soft 7,True,3,3,Audenzia,Audenzia,Audenzia,14,Diane Poidevin Laine,Pierre Boudvillain,$46,5
R2,Randwick,2,11:35 am Midway Handicap,1400m,Handicap,Soft 7,True,4,4,Magical Moments,Magical Moments,Magical Moments,9,Mitchell Beer & George Carpenter,Dylan Gibbons,$11,5.1
R2,Randwick,2,11:35 am Midway Handicap,1400m,Handicap,Soft 7,True,5,5,Forecaster,Forecaster,Forecaster,1,Paul Perry,Anna Roper (a-2),$41,2.4
