race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",1,Barbecue Sauce,Barbecue Sauce,Barbecue Sauce,3,Shaun Nolen,Brodie Loy,59kg,$2.9,false
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",2,Dunnenkate Bro,Dunnenkate Bro,Dunnenkate Bro,1,Craig Weeding,Jake Duffy,59kg,$19,false
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",3,Prince Of Love,Prince Of Love,Prince Of Love,7,Shane Bloomfield,Brendan Ward,59kg,$13,false
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",5,Bella Katelyn,Bella Katelyn,Bella Katelyn,9,Craig Weeding Justin,W Stanley,57kg,$29,false
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",6,Carnival Girl,Carnival Girl,Carnival Girl,5,Gary Colvin,Jeff Penza,57kg,$18,false
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",7,Elasand,Elasand,Elasand,8,Danny Williams,Pierre Boudvillain,57kg,$15,false
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",8,Iroquai,Iroquai,Iroquai,4,Michael Travers,Blaike McDougall,57kg,$4.8,false
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",11,Andres Girl,Andres Girl,Andres Girl,6,Kym Davison,Brittany Button (a-1.5),55kg,$3.9,false
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",12,Forjori,Forjori,Forjori,2,Neil Osborne,Coriah Keatings,55kg,$23,false
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",4,Unicorn Dreaming,Unicorn Dreaming,Unicorn Dreaming,11,Gino D'Altorio,Damon Budler,59kg,SCR,true
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",9,Tennessee Spirit,Tennessee Spirit,Tennessee Spirit,4,,Toby Lake,57kg,SCR,true
1,12:45 pm Albury Plumbing Service Maiden Plate,12:45 pm,900m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",10,Touch In The Night,Touch In The Night,Touch In The Night,10,Nadine Cameron,Sairyn Fawke,57kg,SCR,true
2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1:20 pm,1000m,Albury,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",1,I Show Speed,I Show Speed,I Show Speed,9,Todd Smart,Jack Martin,59kg,$5.5,false
2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1:20 pm,1000m,Albury,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",2,Dee Dee Express,Dee Dee Express,Dee Dee Express,2,Matthew Dale,Blaike McDougall,58kg,$3.5,false
2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1:20 pm,1000m,Albury,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",3,Dita Von,Dita Von,Dita Von,11,Shilleagh Meyervale,Bradley Vale,58kg,$26,false
2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1:20 pm,1000m,Albury,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",4,Sneaky Pee Cee,Sneaky Pee Cee,Sneaky Pee Cee,7,Danny Williams,Brodie Loy,58kg,$3.8,false
2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1:20 pm,1000m,Albury,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",5,Bargino,Bargino,Bargino,6,Nadine Cameron,Damon Budler,57kg,$5.5,false
2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1:20 pm,1000m,Albury,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",6,Trigoso,Trigoso,Trigoso,5,Tim Donnelly,Carly Frater,56kg,$17,false
2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1:20 pm,1000m,Albury,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",8,Jenni Divine,Jenni Divine,Jenni Divine,1,Michael Travers,Cory Parish,55kg,$10,false
2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1:20 pm,1000m,Albury,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",9,Baby Daisy,Baby Daisy,Baby Daisy,3,Nell Foley,Pierre Boudvillain (a1),55kg,$15,false
2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1:20 pm,1000m,Albury,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",10,Discotheque,Discotheque,Discotheque,4,Brett Mallyon,Jason Lyon,55kg,$71,false
2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1:20 pm,1000m,Albury,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",11,Aqualina's Star,Aqualina's Star,Aqualina's Star,8,Gary Colvin,Jeff Penza,55kg,$81,false
2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1:20 pm,1000m,Albury,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",7,Shuttering,Shuttering,Shuttering,10,,Luke Pepper,55.5kg,SCR,true
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",1,Chef's Kiss,Chef's Kiss,Chef's Kiss,2,Matthew Dale,Pierre Boudvillain,59kg,$6,false
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",2,Clinch The Deal,Clinch The Deal,Clinch The Deal,7,Ron Stubbs,Jason Lyon,59kg,$26,false
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",3,Commanding Shadow,Commanding Shadow,Commanding Shadow,1,Paul McVicar,Jeff Penza,59kg,$151,false
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",4,Distant Stripes,Distant Stripes,Distant Stripes,12,Shilleagh Meyervale,Bradley Vale,59kg,$81,false
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",5,Haz Styles,Haz Styles,Haz Styles,5,Nadine Cameron,Damon Budler,59kg,$151,false
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",6,Hot Toddy,Hot Toddy,Hot Toddy,10,Doug Gorrel,Cory Parish,59kg,$26,false
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",7,Prince Sevres,Prince Sevres,Prince Sevres,11,Shilleagh Meyervale,Sairyn Fawke,59kg,$201,false
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",9,Four Esses,Four Esses,Four Esses,6,Paul McVicar,Cassidy Hill (a-3),57kg,$201,false
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",10,Impenetrable,Impenetrable,Impenetrable,3,Gino D'Altorio,Carly Frater,57kg,$201,false
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",11,Smokin'anniversary,Smokin'anniversary,Smokin'anniversary,4,Kym Davison,Brittany Button (a-1.5),57kg,$4.4,false
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",12,Voynichese,Voynichese,Voynichese,9,Nick Olive,Coriah Keatings,55kg,$1.4,false
3,1:55 pm Redi2hire Country Boosted Maiden Plate,1:55 pm,1175m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",8,Tough As Stone,Tough As Stone,Tough As Stone,8,,Matthew Dale,59kg,SCR,true
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",2,Chief Of War,Chief Of War,Chief Of War,13,Heath Maclean,Damon Budler,58.5kg,$5.25,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",4,Ashen Knight,Ashen Knight,Ashen Knight,19,Craig Weeding,Jake Duffy,58kg,$29,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",5,Cooranga,Cooranga,Cooranga,7,Shaun Nolen,Brodie Loy,58kg,$5.5,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",6,Mr Magnificence,Mr Magnificence,Mr Magnificence,8,Todd Smart,Coriah Keatings,58kg,$4.4,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",7,Shallow River,Shallow River,Shallow River,14,Ron Stubbs,Jason Lyon,58kg,$51,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",8,Pierata Star,Pierata Star,Pierata Star,3,Gary Colvin,Jeff Penza,57kg,$9,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",11,Etched In Blue,Etched In Blue,Etched In Blue,4,Toby Lake,Holly Durnan,56kg,$20,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",14,Sweet Smile,Sweet Smile,Sweet Smile,6,Shane Bloomfield,Bradley Vale,55kg,$81,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",15,Meka Vibe,Meka Vibe,Meka Vibe,5,Scott McIntosh,Cory Parish,55kg,$5,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",17,Dalsicon,Dalsicon,Dalsicon,12,David O'Prey,Milos Bunjevac,55kg,$41,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",18,Burning Issues,Burning Issues,Burning Issues,2,Craig Widdison,Chelsea Taylor,55kg,$9,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",19,Sir Basil,Sir Basil,Sir Basil,1,John & Chris Ledger,Brittany Button (a-1.5),55kg,$67,false
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",1,Western Edge,Western Edge,Western Edge,15,,Craig Weeding,59kg,SCR,true
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",3,Roy Kelton,Roy Kelton,Roy Kelton,16,Keith Dryden & Libby Snowden,Blaike McDougall,58.5kg,SCR,true
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",9,Cumulate,Cumulate,Cumulate,10,,Ben Brisbourne,56.5kg,SCR,true
4,2:35 pm Bur Real Estate Maiden Handicap,2:35 pm,1400m,Albury,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",10,Step Quick,Step Quick,Step Quick,17,,Matthew Kelley,56.5kg,SCR,true
