race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Albury,1,12:45 pm Albury Plumbing Service Maiden Plate,900m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",1,1,Barbecue Sauce,Barbecue Sauce,Barbecue Sauce,3,Shaun Nolen,Brodie Loy,$2.9,5
R1,Albury,1,12:45 pm Albury Plumbing Service Maiden Plate,900m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",2,2,Dunnenkate Bro,Dunnenkate Bro,Dunnenkate Bro,1,Craig Weeding,Jake Duffy,$19,3.5
R1,Albury,1,12:45 pm Albury Plumbing Service Maiden Plate,900m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",3,3,Prince Of Love,Prince Of Love,Prince Of Love,7,Shane Bloomfield,Brendan Ward,$13,4
R1,Albury,1,12:45 pm Albury Plumbing Service Maiden Plate,900m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",5,5,Bella Katelyn,Bella Katelyn,Bella Katelyn,9,Craig Weeding Justin,W Stanley,$29,4
R1,Albury,1,12:45 pm Albury Plumbing Service Maiden Plate,900m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",6,6,Carnival Girl,Carnival Girl,Carnival Girl,5,Gary Colvin,Jeff Penza,$18,4
R1,Albury,1,12:45 pm Albury Plumbing Service Maiden Plate,900m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",7,7,Elasand,Elasand,Elasand,8,Danny Williams,Pierre Boudvillain,$15,3.2
R1,Albury,1,12:45 pm Albury Plumbing Service Maiden Plate,900m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",8,8,Iroquai,Iroquai,Iroquai,4,Michael Travers,Blaike McDougall,$4.8,6.5
R1,Albury,1,12:45 pm Albury Plumbing Service Maiden Plate,900m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",11,11,Andres Girl,Andres Girl,Andres Girl,6,Kym Davison,Brittany Button (a-1.5),$3.9,NA
R1,Albury,1,12:45 pm Albury Plumbing Service Maiden Plate,900m,Maiden,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",12,12,Forjori,Forjori,Forjori,2,Neil Osborne,Coriah Keatings,$23,NA
R2,Albury,2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1000m,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",1,1,I Show Speed,I Show Speed,I Show Speed,9,Todd Smart,Jack Martin,$5.5,4
R2,Albury,2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1000m,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",2,2,Dee Dee Express,Dee Dee Express,Dee Dee Express,2,Matthew Dale,Blaike McDougall,$3.5,3.7
R2,Albury,2,1:20 pm Gazebo & Shade Centre Country Boosted Class 1 Handicap,1000m,Class 1,Soft 6,"+3m 1200m - 350m, Cutaway Applies, True Remainder",3,3,Dita Von,Dita Von,Dita Von,11,Shilleagh Meyervale,Bradley Vale,$26,4.5
