race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Canterbury,1,1:25 pm Exceedance @ Vinery Stud Handicap,1100m,Handicap,Heavy 9,+4m Entire,1,1,Celestial Charm,Celestial Charm,Celestial Charm,7,Michael Freedman,Tommy Berry,$5,NA
R1,Canterbury,1,1:25 pm Exceedance @ Vinery Stud Handicap,1100m,Handicap,Heavy 9,+4m Entire,3,3,Chic,Chic,Chic,2,Chris Waller,Nash Rawiller,$10,NA
R1,Canterbury,1,1:25 pm Exceedance @ Vinery Stud Handicap,1100m,Handicap,Heavy 9,+4m Entire,4,4,Grey Star,Grey Star,Grey Star,6,Tom Charlton,Andrew Adkins,$61,NA
R1,Canterbury,1,1:25 pm Exceedance @ Vinery Stud Handicap,1100m,Handicap,Heavy 9,+4m Entire,6,6,Miss Scandal,Miss Scandal,Miss Scandal,1,Chris Waller,James McDonald,$2.05,2
R1,Canterbury,1,1:25 pm Exceedance @ Vinery Stud Handicap,1100m,Handicap,Heavy 9,+4m Entire,7,7,Pin Up Sheila,Pin Up Sheila,Pin Up Sheila,3,Tom Charlton,Dylan Gibbons,$11,NA
R1,Canterbury,1,1:25 pm Exceedance @ Vinery Stud Handicap,1100m,Handicap,Heavy 9,+4m Entire,8,8,Bollente Bella,Bollente Bella,Bollente Bella,5,Kris Lees,Kerrin McEvoy,$20,2.3
R1,Canterbury,1,1:25 pm Exceedance @ Vinery Stud Handicap,1100m,Handicap,Heavy 9,+4m Entire,9,9,Girl About Town,Girl About Town,Girl About Town,4,Tom Charlton,Jason Collett,$6,7
R1,Canterbury,1,1:25 pm Exceedance @ Vinery Stud Handicap,1100m,Handicap,Heavy 9,+4m Entire,10,10,Single Ladies,Single Ladies,Single Ladies,8,Gai Waterhouse & Adrian Bott,Adam Hyeronimus,$11,6
R1,Canterbury,1,1:25 pm Exceedance @ Vinery Stud Handicap,1100m,Handicap,Heavy 9,+4m Entire,11,11,Piratess,Piratess,Piratess,10,Allan McRae,Robyn Freeman,$151,3.3
R2,Canterbury,2,2:00 pm Toyota Forklifts Handicap,1250m,Handicap,Heavy 9,+4m Entire,1,1,Snitzel Miss,Snitzel Miss,Snitzel Miss,8,Chris Waller,Nash Rawiller,$3.8,6.9
R2,Canterbury,2,2:00 pm Toyota Forklifts Handicap,1250m,Handicap,Heavy 9,+4m Entire,2,2,Front Rank,Front Rank,Front Rank,11,Gai Waterhouse & Adrian Bott,Tim Clark,$4.6,NA
R2,Canterbury,2,2:00 pm Toyota Forklifts Handicap,1250m,Handicap,Heavy 9,+4m Entire,3,3,Incremental,Incremental,Incremental,6,Annabel & Rob Archibald,Braith Nock (a-1.5),$15,3.7
R2,Canterbury,2,2:00 pm Toyota Forklifts Handicap,1250m,Handicap,Heavy 9,+4m Entire,5,5,Artgirl,Artgirl,Artgirl,3,Chris Waller,James McDonald,$2.3,4.9
R2,Canterbury,2,2:00 pm Toyota Forklifts Handicap,1250m,Handicap,Heavy 9,+4m Entire,6,6,Escalera Al Cielo,Escalera Al Cielo,Escalera Al Cielo,1,Paul & Martha Cave,Andrew Calder,$46,NA
R2,Canterbury,2,2:00 pm Toyota Forklifts Handicap,1250m,Handicap,Heavy 9,+4m Entire,7,7,Imperial Code,Imperial Code,Imperial Code,10,Gai Waterhouse & Adrian Bott,Rachel King,$10,NA
R2,Canterbury,2,2:00 pm Toyota Forklifts Handicap,1250m,Handicap,Heavy 9,+4m Entire,8,8,Royal Chic,Royal Chic,Royal Chic,4,Annabel & Rob Archibald Mollie,Fitzgerald A3 (a-3),$20,6.9
R2,Canterbury,2,2:00 pm Toyota Forklifts Handicap,1250m,Handicap,Heavy 9,+4m Entire,9,9,Sorentina,Sorentina,Sorentina,5,Richard Litt,Tom Sherry,$13,6.3
R3,Canterbury,3,2:35 pm Asahi Super Dry Handicap,1900m,Handicap,Heavy 9,+4m Entire,1,1,Allegro Miss,Allegro Miss,Allegro Miss,5,Con Karakatsanis,William Stanley (a-3),$5.5,8.4
R3,Canterbury,3,2:35 pm Asahi Super Dry Handicap,1900m,Handicap,Heavy 9,+4m Entire,2,2,Midnight Luna,Midnight Luna,Midnight Luna,7,Rob Potter,Siena Grima (a-2),$11,5.6
R3,Canterbury,3,2:35 pm Asahi Super Dry Handicap,1900m,Handicap,Heavy 9,+4m Entire,3,3,Velaris,Velaris,Velaris,2,Chris Waller,Nash Rawiller,$11,6.4
R3,Canterbury,3,2:35 pm Asahi Super Dry Handicap,1900m,Handicap,Heavy 9,+4m Entire,4,4,The Iron Star,The Iron Star,The Iron Star,8,Marc Chevalier,Tyler Schiller,$8,5.7
R3,Canterbury,3,2:35 pm Asahi Super Dry Handicap,1900m,Handicap,Heavy 9,+4m Entire,6,6,Ziggy Rose,Ziggy Rose,Ziggy Rose,10,Danielle Seib,Shaun Guymer,$18,6.5
R3,Canterbury,3,2:35 pm Asahi Super Dry Handicap,1900m,Handicap,Heavy 9,+4m Entire,7,7,Ivy Legend,Ivy Legend,Ivy Legend,6,Chris Waller,James McDonald (a0.5),$4,5.4
R3,Canterbury,3,2:35 pm Asahi Super Dry Handicap,1900m,Handicap,Heavy 9,+4m Entire,8,8,Wounder,Wounder,Wounder,3,Chris Waller,Tommy Berry,$4,5.4
R3,Canterbury,3,2:35 pm Asahi Super Dry Handicap,1900m,Handicap,Heavy 9,+4m Entire,9,9,So D'oro,So D'oro,So D'oro,9,Tom Charlton,Andrew Adkins,$8,3.3
R3,Canterbury,3,2:35 pm Asahi Super Dry Handicap,1900m,Handicap,Heavy 9,+4m Entire,10,10,Farraige,Farraige,Farraige,1,Dale Wagstaff,Adam Farragher,$81,7.9
R4,Canterbury,4,3:10 pm Tab Handicap,1250m,Handicap,Heavy 9,+4m Entire,1,1,Airworthy,Airworthy,Airworthy,4,Gai Waterhouse & Adrian Bott,Tim Clark,$4.6,1.8
R4,Canterbury,4,3:10 pm Tab Handicap,1250m,Handicap,Heavy 9,+4m Entire,2,2,Cheeky Smirk,Cheeky Smirk,Cheeky Smirk,3,Gerald Ryan & Sterling Alexiou,Nash Rawiller,$11,4.5
