race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Rosehill Gardens,1,11:00 am Bookmakers Recognition Day Handicap,1300m,Handicap,Heavy 9,True,1,1,Tron Bolt,Tron Bolt,Tron Bolt,8,Chris Waller,Siena Grima (a-2),$2.6,3
R1,Rosehill Gardens,1,11:00 am Bookmakers Recognition Day Handicap,1300m,Handicap,Heavy 9,True,2,2,Nations League,Nations League,Nations League,1,Chris Waller,Sam Clipperton,$4.5,4.2
R1,Rosehill Gardens,1,11:00 am Bookmakers Recognition Day Handicap,1300m,Handicap,Heavy 9,True,3,3,Cormier,Cormier,Cormier,10,Paul Messara & Leah Gavranich,Aaron Bullock (a0.5),$2.9,5
R1,Rosehill Gardens,1,11:00 am Bookmakers Recognition Day Handicap,1300m,Handicap,Heavy 9,True,5,5,Heatstroke,Heatstroke,Heatstroke,7,Richard & Will Freedman,Braith Nock (a-1.5),$51,10
R1,Rosehill Gardens,1,11:00 am Bookmakers Recognition Day Handicap,1300m,Handicap,Heavy 9,True,6,6,Iommi,Iommi,Iommi,2,Chris Waller,Regan Bayliss,$8.5,2
R1,Rosehill Gardens,1,11:00 am Bookmakers Recognition Day Handicap,1300m,Handicap,Heavy 9,True,11,11,Malua Bay,Malua Bay,Malua Bay,3,Bjorn Baker,Dylan Gibbons,$21,5
R1,Rosehill Gardens,1,11:00 am Bookmakers Recognition Day Handicap,1300m,Handicap,Heavy 9,True,12,12,Not Inevitable,Not Inevitable,Not Inevitable,6,John Sargent,Anna Roper (a-2),$101,NA
R1,Rosehill Gardens,1,11:00 am Bookmakers Recognition Day Handicap,1300m,Handicap,Heavy 9,True,13,13,Parisest Magic,Parisest Magic,Parisest Magic,4,Alexandre Lemarie,Tyler Schiller,$21,7
R1,Rosehill Gardens,1,11:00 am Bookmakers Recognition Day Handicap,1300m,Handicap,Heavy 9,True,14,14,Iminastate,Iminastate,Iminastate,14,Richard & Will Freedman,Ashley Morgan,$51,7
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,2,2,Solitario,Solitario,Solitario,13,Paul Messara & Leah Gavranich,Aaron Bullock,$10,8.3
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,4,4,Jasper's Way,Jasper's Way,Jasper's Way,16,Michael Mulholland,Chad Lever,$51,6.5
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,5,5,Bombelleistic,Bombelleistic,Bombelleistic,5,"Barbara Joseph, Paul & Matt Jones",Alysha Collett,$61,5.7
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,6,6,Hammoon Sensation,Hammoon Sensation,Hammoon Sensation,1,Rodney Northam,Reece Jones,$13,3.1
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,7,7,Moon Sweeper,Moon Sweeper,Moon Sweeper,2,Matthew Dunn,Sam Clipperton,$2.8,6.6
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,8,8,Brilliant Knight,Brilliant Knight,Brilliant Knight,11,Cassandra Schmidt,Luke Rolls,$27,3.6
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,10,10,Oakfield Utah,Oakfield Utah,Oakfield Utah,7,Scott Singleton,Jay Ford,$19,5.8
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,11,11,Delago Serg,Delago Serg,Delago Serg,10,Paul Facoory,Adam Farragher,$126,1.9
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,12,12,Red Rags To Bulls,Red Rags To Bulls,Red Rags To Bulls,14,Jeremy Gask,Siena Grima (a-2),$5.5,9.9
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,13,13,Buenos,Buenos,Buenos,6,Keith Dryden & Libby Snowden,Andrew Adkins,$23,7.4
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,15,15,Brutal Belle,Brutal Belle,Brutal Belle,17,Luke Pepper,Mollie Fitzgerald (a-3),$10,5.8
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,16,16,Airliner,Airliner,Airliner,9,Terry Robinson,Dylan Gibbons,$101,7.9
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,17,17,Ocean Tsunami,Ocean Tsunami,Ocean Tsunami,19,Scott Singleton,Mikayla Weir,$6.5,6.7
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,18,18,Shezain,Shezain,Shezain,4,Keith Dryden & Libby Snowden,Tyler Schiller,$26,7.4
R2,Rosehill Gardens,2,11:35 am Tab Highway Plate,1500m,Class 3,Heavy 9,True,20,20,Ulysses Blue ho,Ulysses Blue ho,Ulysses Blue ho,12,Terry Robinson,Jeff Penza,$126,8.8
R3,Rosehill Gardens,3,12:10 pm Midway Handicap,1100m,Handicap,Heavy 9,True,1,1,Cold Brew,Cold Brew,Cold Brew,2,Richard & Will Freedman,Siena Grima (a-2),$7.5,2.3
R3,Rosehill Gardens,3,12:10 pm Midway Handicap,1100m,Handicap,Heavy 9,True,3,3,Shaggy,Shaggy,Shaggy,7,Allan Kehoe,Mollie Fitzgerald (a-3),$17,2.6
R3,Rosehill Gardens,3,12:10 pm Midway Handicap,1100m,Handicap,Heavy 9,True,4,4,Norton Road,Norton Road,Norton Road,3,Rodney Bailey,Shannen Llewellyn (a-3),$34,4.5
R3,Rosehill Gardens,3,12:10 pm Midway Handicap,1100m,Handicap,Heavy 9,True,7,7,Sir Les,Sir Les,Sir Les,9,Craig Carmody,Chad Lever,$2.8,1.7
R3,Rosehill Gardens,3,12:10 pm Midway Handicap,1100m,Handicap,Heavy 9,True,11,11,Gorgeous,Gorgeous,Gorgeous,6,David Pfieffer,Braith Nock (a-1.5),$2.35,7
R3,Rosehill Gardens,3,12:10 pm Midway Handicap,1100m,Handicap,Heavy 9,True,13,13,She Swings,She Swings,She Swings,4,David Pfieffer,Alysha Collett,$19,7.1
R3,Rosehill Gardens,3,12:10 pm Midway Handicap,1100m,Handicap,Heavy 9,True,14,14,All The Way Mae,All The Way Mae,All The Way Mae,1,Kerry Parker,Andrew Adkins,$8,2.7
R4,Rosehill Gardens,4,12:45 pm Greg Millett Handicap,1800m,Handicap,Heavy 9,True,1,1,Sir Dinadan,Sir Dinadan,Sir Dinadan,1,Chris Waller,Jay Ford,$5.5,7
R4,Rosehill Gardens,4,12:45 pm Greg Millett Handicap,1800m,Handicap,Heavy 9,True,2,2,Mister Rizz,Mister Rizz,Mister Rizz,2,Tom Charlton,Sam Clipperton,$7,3
R4,Rosehill Gardens,4,12:45 pm Greg Millett Handicap,1800m,Handicap,Heavy 9,True,3,3,Stylebender,Stylebender,Stylebender,14,Kristen Buchanan,Shannen Llewellyn (a-3),$31,4.8
R4,Rosehill Gardens,4,12:45 pm Greg Millett Handicap,1800m,Handicap,Heavy 9,True,5,5,Perfect Play,Perfect Play,Perfect Play,8,Annabel & Rob Archibald,Braith Nock (a-1.5),$19,5.2
R4,Rosehill Gardens,4,12:45 pm Greg Millett Handicap,1800m,Handicap,Heavy 9,True,7,7,Sounds Unusual,Sounds Unusual,Sounds Unusual,4,Chris Waller,Reece Jones,$7,7.3
R4,Rosehill Gardens,4,12:45 pm Greg Millett Handicap,1800m,Handicap,Heavy 9,True,8,8,Oceanfront,Oceanfront,Oceanfront,6,Nacim Dilmi,Regan Bayliss,$14,5.8
R4,Rosehill Gardens,4,12:45 pm Greg Millett Handicap,1800m,Handicap,Heavy 9,True,9,9,Sacrify,Sacrify,Sacrify,11,Annabel & Rob Archibald,Mollie Fitzgerald (a-3),$11,4.1
R4,Rosehill Gardens,4,12:45 pm Greg Millett Handicap,1800m,Handicap,Heavy 9,True,12,12,Belle Detelle,Belle Detelle,Belle Detelle,12,Chris Waller,Andrew Adkins,$10,7.4
R4,Rosehill Gardens,4,12:45 pm Greg Millett Handicap,1800m,Handicap,Heavy 9,True,14,14,Shangri La Impact,Shangri La Impact,Shangri La Impact,9,Tom Charlton,Dylan Gibbons,$3.1,2.3
R4,Rosehill Gardens,4,12:45 pm Greg Millett Handicap,1800m,Handicap,Heavy 9,True,16,16,Spenzalot,Spenzalot,Spenzalot,3,Scott Singleton,Mikayla Weir,$23,8.5
R5,Rosehill Gardens,5,1:20 pm Nsw Bookmakers Co-op Handicap,1500m,Handicap,Heavy 9,True,1,1,Duvana,Duvana,Duvana,11,Nathan Doyle,Shannen Llewellyn (a-3),$6.5,7.3
R5,Rosehill Gardens,5,1:20 pm Nsw Bookmakers Co-op Handicap,1500m,Handicap,Heavy 9,True,4,4,Island Dream,Island Dream,Island Dream,5,Chris Waller,Sam Clipperton,$14,6
R5,Rosehill Gardens,5,1:20 pm Nsw Bookmakers Co-op Handicap,1500m,Handicap,Heavy 9,True,6,6,Full Hao,Full Hao,Full Hao,16,Chris Waller,Siena Grima (a-2),$12,7.2
R5,Rosehill Gardens,5,1:20 pm Nsw Bookmakers Co-op Handicap,1500m,Handicap,Heavy 9,True,7,7,Covert Thinking,Covert Thinking,Covert Thinking,3,Ciaron Maher,William Stanley (a-3),$11,4.3
R5,Rosehill Gardens,5,1:20 pm Nsw Bookmakers Co-op Handicap,1500m,Handicap,Heavy 9,True,9,9,John Dory,John Dory,John Dory,14,Chris Waller,Regan Bayliss,$9.5,5.1
R5,Rosehill Gardens,5,1:20 pm Nsw Bookmakers Co-op Handicap,1500m,Handicap,Heavy 9,True,13,13,Change My Address,Change My Address,Change My Address,9,John Sargent,Anna Roper (a-2),$8.5,7.8
R5,Rosehill Gardens,5,1:20 pm Nsw Bookmakers Co-op Handicap,1500m,Handicap,Heavy 9,True,14,14,Hush Hush,Hush Hush,Hush Hush,8,Ciaron Maher,Adam Farragher,$14,7.4
R5,Rosehill Gardens,5,1:20 pm Nsw Bookmakers Co-op Handicap,1500m,Handicap,Heavy 9,True,15,15,Ertijaaj,Ertijaaj,Ertijaaj,4,Chris Waller,Tyler Schiller,$3.4,5
R5,Rosehill Gardens,5,1:20 pm Nsw Bookmakers Co-op Handicap,1500m,Handicap,Heavy 9,True,17,17,Costabit,Costabit,Costabit,12,Gerald Ryan & Sterling Alexiou,Braith Nock (a-1.5),$11,7.6
R5,Rosehill Gardens,5,1:20 pm Nsw Bookmakers Co-op Handicap,1500m,Handicap,Heavy 9,True,19,19,Blue Willow,Blue Willow,Blue Willow,20,Ciaron Maher,Reece Jones,$13,8.3
R5,Rosehill Gardens,5,1:20 pm Nsw Bookmakers Co-op Handicap,1500m,Handicap,Heavy 9,True,20,20,Unreal Expectation,Unreal Expectation,Unreal Expectation,6,Tara & Philippe Vigouroux,Winona Costin,$41,4.7
R6,Rosehill Gardens,6,1:55 pm Ranvet Handicap,1500m,Handicap,Heavy 9,True,1,1,Cellarmaster,Cellarmaster,Cellarmaster,10,Tom Charlton,Anna Roper (a-2),$6,6.2
R6,Rosehill Gardens,6,1:55 pm Ranvet Handicap,1500m,Handicap,Heavy 9,True,2,2,Man Of Worth,Man Of Worth,Man Of Worth,6,Chris Waller,Siena Grima (a-2),$4,3.9
R6,Rosehill Gardens,6,1:55 pm Ranvet Handicap,1500m,Handicap,Heavy 9,True,3,3,Fiddlers Green,Fiddlers Green,Fiddlers Green,4,Annabel & Rob Archibald,Braith Nock (a-1.5),$6.5,5.7
R6,Rosehill Gardens,6,1:55 pm Ranvet Handicap,1500m,Handicap,Heavy 9,True,4,4,Mawjood,Mawjood,Mawjood,7,Bjorn Baker,Aaron Bullock,$3.2,3.6
R6,Rosehill Gardens,6,1:55 pm Ranvet Handicap,1500m,Handicap,Heavy 9,True,5,5,Anythink Goes,Anythink Goes,Anythink Goes,12,Matthew Smith,Ashley Morgan,$18,6.2
R6,Rosehill Gardens,6,1:55 pm Ranvet Handicap,1500m,Handicap,Heavy 9,True,6,6,Amplify,Amplify,Amplify,1,Ciaron Maher,Regan Bayliss,$10,8.2
R6,Rosehill Gardens,6,1:55 pm Ranvet Handicap,1500m,Handicap,Heavy 9,True,7,7,I've Bean Tryin',I've Bean Tryin',I've Bean Tryin',9,Matthew Kelley,Alysha Collett,$21,7.8
R6,Rosehill Gardens,6,1:55 pm Ranvet Handicap,1500m,Handicap,Heavy 9,True,10,10,Let's Fly,Let's Fly,Let's Fly,2,Richard & Will Freedman,Tyler Schiller,$11,6
R6,Rosehill Gardens,6,1:55 pm Ranvet Handicap,1500m,Handicap,Heavy 9,True,14,14,Marsabit,Marsabit,Marsabit,3,Danny Williams,Winona Costin,$71,8
R7,Rosehill Gardens,7,2:30 pm Vale Peter Taylor Handicap,1100m,Handicap,Heavy 9,True,1,1,Shall Be,Shall Be,Shall Be,7,Mark Minervini,William Stanley (a-3),$31,2.2
R7,Rosehill Gardens,7,2:30 pm Vale Peter Taylor Handicap,1100m,Handicap,Heavy 9,True,2,2,Madrina,Madrina,Madrina,6,Nick Olive,Anna Roper (a-2),$7,3.4
R7,Rosehill Gardens,7,2:30 pm Vale Peter Taylor Handicap,1100m,Handicap,Heavy 9,True,3,3,Shropshire Lad,Shropshire Lad,Shropshire Lad,14,Rodney Northam,Reece Jones,$9.5,7.7
