assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,wet_body_type,wet_feet,notes,total_positive,total_negative,net,updated_at
R1-1,R1,11:00 am Bookmakers Recognition Day Handicap,1,Tron Bolt,8,Chris Waller,Siena Grima (a-2),$2.6,,,,,,,0,0,0,
R1-2,R1,11:00 am Bookmakers Recognition Day Handicap,2,Nations League,1,Chris Waller,Sam Clipperton,$4.5,,,,,,,0,0,0,
R1-3,R1,11:00 am Bookmakers Recognition Day Handicap,3,Cormier,10,Paul Messara & Leah Gavranich,Aaron Bullock (a0.5),$2.9,{},"{""BH-"":-2}",{},,,,0,2,-2,2026-05-30T02:00:38.939Z
R1-5,R1,11:00 am Bookmakers Recognition Day Handicap,5,Heatstroke,7,Richard & Will Freedman,Braith Nock (a-1.5),$51,,,,,,,0,0,0,
R1-6,R1,11:00 am Bookmakers Recognition Day Handicap,6,Iommi,2,Chris Waller,Regan Bayliss,$8.5,{},"{""BH-"":-1}",{},,,,0,1,-1,2026-05-30T02:00:45.151Z
R1-11,R1,11:00 am Bookmakers Recognition Day Handicap,11,Malua Bay,3,Bjorn Baker,Dylan Gibbons,$21,{},{},{},,Big / Splayed,,0,0,0,2026-05-30T02:00:53.311Z
R1-12,R1,11:00 am Bookmakers Recognition Day Handicap,12,Not Inevitable,6,John Sargent,Anna Roper (a-2),$101,{},{},{},,Big / Splayed,,0,0,0,2026-05-30T02:01:43.649Z
R1-13,R1,11:00 am Bookmakers Recognition Day Handicap,13,Parisest Magic,4,Alexandre Lemarie,Tyler Schiller,$21,,,,,,,0,0,0,
R1-14,R1,11:00 am Bookmakers Recognition Day Handicap,14,Iminastate,14,Richard & Will Freedman,Ashley Morgan,$51,,,,,,,0,0,0,
R2-2,R2,11:35 am Tab Highway Plate,2,Solitario,13,Paul Messara & Leah Gavranich,Aaron Bullock,$10,,,,,,,0,0,0,
R2-4,R2,11:35 am Tab Highway Plate,4,Jasper's Way,16,Michael Mulholland,Chad Lever,$51,,,,,,,0,0,0,
