meeting,race_no,finisher_position,position_code,sp,lane_group
Rosehill Gardens,R1,1,9,2.8,Rail
Rosehill Gardens,R1,2,4,2.8,Running Line
Rosehill Gardens,R1,3,8,26,Running Line
Rosehill Gardens,R1,4,2,13,Running Line
Rosehill Gardens,R2,1,7,2.2,Rail
Rosehill Gardens,R2,2,5,16,Rail
Rosehill Gardens,R2,3,10,16,Running Line
Rosehill Gardens,R2,4,12,6,Running Line
Rosehill Gardens,R3,1,3,11,Rail
Rosehill Gardens,R3,2,9,14,Rail
Rosehill Gardens,R3,3,8,2.2,Running Line
Rosehill Gardens,R3,4,7,9.5,Rail
Rosehill Gardens,R4,1,10,7,Running Line
Rosehill Gardens,R4,2,9,8.5,Rail
Rosehill Gardens,R4,3,3,8,Rail
Rosehill Gardens,R4,4,6,9,Running Line
Rosehill Gardens,R5,1,4,3.9,Running Line
Rosehill Gardens,R5,2,5,11,Rail
Rosehill Gardens,R5,3,6,8,Running Line
Rosehill Gardens,R5,4,8,8.5,Running Line
Rosehill Gardens,R6,1,1,3.5,Rail
Rosehill Gardens,R6,2,3,4.2,Rail
Rosehill Gardens,R6,3,11,26,Rail
Rosehill Gardens,R6,4,2,8.5,Running Line
Rosehill Gardens,R7,1,6,7.5,Running Line
Rosehill Gardens,R7,2,11,6.5,Rail
Rosehill Gardens,R7,3,10,23,Running Line
Rosehill Gardens,R7,4,7,11,Rail
Rosehill Gardens,R8,1,35,34,3 Wide
Rosehill Gardens,R8,2,6,7.5,Running Line
Rosehill Gardens,R8,3,2,21,Running Line
Rosehill Gardens,R8,4,4,5,Running Line
Rosehill Gardens,R9,1,9,14,Rail
Rosehill Gardens,R9,2,5,3.2,Rail
Rosehill Gardens,R9,3,10,26,Running Line
Rosehill Gardens,R9,4,11,11,Rail
Rosehill Gardens,R10,1,8,8,Running Line
Rosehill Gardens,R10,2,3,6.5,Rail
Rosehill Gardens,R10,3,11,13,Rail
Rosehill Gardens,R10,4,1,41,Rail
