race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,12:30 pm,900m,Scone,Maiden,Heavy 8,"+3m 1000m - WP, True Remainder",1,Life's Turns,Life's Turns,Life's Turns,3,Jan Bowen,Grant Buckley,59kg,$81,false
1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,12:30 pm,900m,Scone,Maiden,Heavy 8,"+3m 1000m - WP, True Remainder",3,Nulkaba Star,Nulkaba Star,Nulkaba Star,6,Jeremy Sylvester Liberty,Smyth A2 (a-2),59kg,$26,false
1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,12:30 pm,900m,Scone,Maiden,Heavy 8,"+3m 1000m - WP, True Remainder",4,Scathingly,Scathingly,Scathingly,4,Tim McIntosh,Luke Rolls,59kg,$41,false
1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,12:30 pm,900m,Scone,Maiden,Heavy 8,"+3m 1000m - WP, True Remainder",6,Churpel,Churpel,Churpel,1,Jan Bowen,Chad Lever,57kg,$91,false
1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,12:30 pm,900m,Scone,Maiden,Heavy 8,"+3m 1000m - WP, True Remainder",7,Flirtation,Flirtation,Flirtation,9,Paul Messara & Leah Gavranich,Aaron Bullock (a1),57kg,$1.2,false
1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,12:30 pm,900m,Scone,Maiden,Heavy 8,"+3m 1000m - WP, True Remainder",8,Linda's Princess,Linda's Princess,Linda's Princess,5,Jan Bowen,Daniel Northey,57kg,$81,false
1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,12:30 pm,900m,Scone,Maiden,Heavy 8,"+3m 1000m - WP, True Remainder",9,Little Miss Sass,Little Miss Sass,Little Miss Sass,7,Brett & Georgie Cavanough,Mitchell Bell,57kg,$26,false
1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,12:30 pm,900m,Scone,Maiden,Heavy 8,"+3m 1000m - WP, True Remainder",10,Sparkle Socks,Sparkle Socks,Sparkle Socks,2,Carlos Antonio,Anna Weatherlake (a-4),57kg,$126,false
1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,12:30 pm,900m,Scone,Maiden,Heavy 8,"+3m 1000m - WP, True Remainder",11,Supido Star,Supido Star,Supido Star,8,Todd Howlett,Rory Hutchings,57kg,$23,false
1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,12:30 pm,900m,Scone,Maiden,Heavy 8,"+3m 1000m - WP, True Remainder",2,Markwell Topsort,Markwell Topsort,Markwell Topsort,6,,Joseph Burges,59kg,SCR,true
