assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,wet_body_type,wet_feet,notes,total_positive,total_negative,net,updated_at
R1-1,R1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,1,Life's Turns,3,Jan Bowen,Grant Buckley,$81,,,,,,,0,0,0,
R1-3,R1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,3,Nulkaba Star,6,Jeremy Sylvester Liberty,Smyth A2 (a-2),$26,,,,,,,0,0,0,
R1-4,R1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,4,Scathingly,4,Tim McIntosh,Luke Rolls,$41,,,,,,,0,0,0,
R1-6,R1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,6,Churpel,1,Jan Bowen,Chad Lever,$91,,,,,,,0,0,0,
R1-7,R1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,7,Flirtation,9,Paul Messara & Leah Gavranich,Aaron Bullock (a1),$1.2,,,,,,,0,0,0,
R1-8,R1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,8,Linda's Princess,5,Jan Bowen,Daniel Northey,$81,,,,,,,0,0,0,
R1-9,R1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,9,Little Miss Sass,7,Brett & Georgie Cavanough,Mitchell Bell,$26,,,,,,,0,0,0,
R1-10,R1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,10,Sparkle Socks,2,Carlos Antonio,Anna Weatherlake (a-4),$126,,,,,,,0,0,0,
R1-11,R1,12:30 pm Mach Energy Country Boosted 3yo & Up Maiden Plate,11,Supido Star,8,Todd Howlett,Rory Hutchings,$23,,,,,,,0,0,0,
R2-2,R2,1:10 pm Greg Cribb Memorial Red Crown 2yo Handicap,2,Terrawatt,2,Kris Lees,Aaron Bullock,$26,,,,,,,0,0,0,
R2-3,R2,1:10 pm Greg Cribb Memorial Red Crown 2yo Handicap,3,The Breakers,1,Peter Snowden,Reece Jones,$8.5,,,,,,,0,0,0,
R2-5,R2,1:10 pm Greg Cribb Memorial Red Crown 2yo Handicap,5,Binit,8,Sara Ryan,Grant Buckley,$26,,,,,,,0,0,0,
R2-6,R2,1:10 pm Greg Cribb Memorial Red Crown 2yo Handicap,6,Court Of Law,3,Mark Cross,Anna Roper,$251,,,,,,,0,0,0,
R2-7,R2,1:10 pm Greg Cribb Memorial Red Crown 2yo Handicap,7,Insatiable,9,Brett & Georgie Cavanough,Mitchell Bell,$61,,,,,,,0,0,0,
R2-8,R2,1:10 pm Greg Cribb Memorial Red Crown 2yo Handicap,8,Kursaal,7,Peter Snowden,Mitch Stapleford,$7,,,,,,,0,0,0,
R2-9,R2,1:10 pm Greg Cribb Memorial Red Crown 2yo Handicap,9,Ole Steele,6,Scott Singleton,Mikayla Weir,$2.5,,,,,,,0,0,0,
R2-10,R2,1:10 pm Greg Cribb Memorial Red Crown 2yo Handicap,10,Sambuca Sky,5,Nathan Doyle,Ashley Morgan,$3.3,,,,,,,0,0,0,
R2-12,R2,1:10 pm Greg Cribb Memorial Red Crown 2yo Handicap,12,Tigris Power,4,Kris Lees,William Stanley,$12,,,,,,,0,0,0,
R3-4,R3,1:50 pm The Remington Super Maiden Handicap,4,Mega Pixel,5,Kris Lees,Aaron Bullock,$5.5,,,,,,,0,0,0,
R3-6,R3,1:50 pm The Remington Super Maiden Handicap,6,The Prospect,4,Nacim Dilmi,Reece Jones,$8.5,,,,,,,0,0,0,
R3-9,R3,1:50 pm The Remington Super Maiden Handicap,9,Blazing Statement,2,Nikki Hodgson,William Stanley,$41,,,,,,,0,0,0,
R3-10,R3,1:50 pm The Remington Super Maiden Handicap,10,Hot Chocks,8,Rodney Northam,Ashley Morgan,$9,,,,,,,0,0,0,
