meeting,race_no,finisher_position,position_code,sp,lane_group
Scone,R1,1,32,1.18,3 Wide
Scone,R1,2,35,12,3 Wide
Scone,R1,3,2,21,Running Line
Scone,R1,4,4,13,Running Line
Scone,R2,1,1,3.1,Rail
Scone,R2,2,4,7,Running Line
Scone,R2,3,7,2.4,Rail
Scone,R2,4,5,23,Rail
Scone,R3,1,6,10,Running Line
Scone,R3,2,5,23,Rail
Scone,R3,3,32,3.4,3 Wide
Scone,R3,4,1,34,Rail
Scone,R4,1,10,4.4,Running Line
Scone,R4,2,5,2.2,Rail
Scone,R4,3,7,5,Rail
Scone,R4,4,8,11,Running Line
Scone,R5,1,36,2,3 Wide
Scone,R5,2,2,7.5,Running Line
Scone,R5,3,6,19,Running Line
Scone,R5,4,4,12,Running Line
Scone,R6,1,1,14,Rail
Scone,R6,2,3,17,Rail
Scone,R6,3,35,19,3 Wide
Scone,R6,4,34,15,3 Wide
Scone,R7,1,1,5,Rail
Scone,R7,2,12,4.4,Running Line
Scone,R7,3,4,17,Running Line
Scone,R7,4,6,9.5,Running Line
