assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,wet_body_type,wet_feet,notes,total_positive,total_negative,net,updated_at
R1-1,R1,12:45 pm Pfd Food Services Maiden Plate,1,Banner Banner,10,Tommy Wong,Louis Beuzelin,$26,,,,,,,0,0,0,
R1-2,R1,12:45 pm Pfd Food Services Maiden Plate,2,Bumbling Artie,1,Mitchell Beer & George Carpenter,Dylan Gibbons,$34,{},"{""Aggressive-"":-3}",{},,,,0,3,-3,2026-06-02T03:02:07.225Z
R1-3,R1,12:45 pm Pfd Food Services Maiden Plate,3,Carafe,11,Dale Wagstaff,Donovan Dillon,$101,,,,,,,0,0,0,
R1-4,R1,12:45 pm Pfd Food Services Maiden Plate,4,Copycat,14,Gary Portelli,Alysha Collett,$19,,,,,,,0,0,0,
R1-5,R1,12:45 pm Pfd Food Services Maiden Plate,5,Life Young Ever,12,Gerald Ryan & Sterling Alexiou,Matt Kirk (a-4),$26,{},{},{},,Small / Dainty,,0,0,0,2026-06-02T03:02:26.803Z
R1-7,R1,12:45 pm Pfd Food Services Maiden Plate,7,Terra Lumina,8,Jason Coyle,Jessica Taylor,$23,"{""Clean+"":1}",{},{},,,,1,0,1,2026-06-02T03:02:41.152Z
R1-8,R1,12:45 pm Pfd Food Services Maiden Plate,8,Touching Hans,6,Matthew Smith,Ashley Morgan,$6.5,,,,,,,0,0,0,
R1-10,R1,12:45 pm Pfd Food Services Maiden Plate,10,Ask Di,13,Gerald Ryan & Sterling Alexiou,Tom Sherry,$2.8,{},"{""Dull-"":-1}",{},,,,0,1,-1,2026-06-02T03:02:51.387Z
R1-11,R1,12:45 pm Pfd Food Services Maiden Plate,11,Gunna Reign,4,Dale Wagstaff,Adam Farragher,$81,,,,,,,0,0,0,
R1-12,R1,12:45 pm Pfd Food Services Maiden Plate,12,Kunis,9,Robert & Luke Price Jean,Van Overmeire,$3.9,,,,,,,0,0,0,
R1-13,R1,12:45 pm Pfd Food Services Maiden Plate,13,Our Lady Peace,7,Gary Portelli,Andrew Adkins,$4.2,,,,,,,0,0,0,
R1-15,R1,12:45 pm Pfd Food Services Maiden Plate,15,Wonderstorm,15,Diane Poidevin Laine,Ellen Hennessy,$126,,,,,,,0,0,0,
R1-17,R1,12:45 pm Pfd Food Services Maiden Plate,17,Heart Reset,18,Robert & Luke Price,Claire Ramsbotham (a-3),$21,,,,,,,0,0,0,
R2-1,R2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,1,Century Song,11,Robert & Luke Price,Brock Ryan,$2.9,{},{},{},,Big / Splayed,,0,0,0,2026-06-02T10:05:19.982Z
R2-2,R2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,2,Take The Rap,5,Norm Gardner Rebecca,Bronett Prag (a-3),$7,,,,,,,0,0,0,
R2-3,R2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,3,Desi Emperor,3,Tommy Wong,Jeff Penza,$10,,,,,,,0,0,0,
R2-5,R2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,5,Bode Akuna,8,Jason Coyle,Jessica Taylor,$7.5,,,,,,,0,0,0,
R2-7,R2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,7,Donwon,7,Ross McConville,Mollie Fitzgerald (a-1.5),$6.5,"{""Clean+"":1}",{},{},,,,1,0,1,2026-06-02T10:05:33.517Z
R2-8,R2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,8,Sunday Tycoon,9,Clarry Conners,Keagan Latham,$3.4,,,,,,,0,0,0,
R2-11,R2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,11,La Mer Bleue,1,Allan McRae,Amy McLucas,$10,{},{},{},,Big / Splayed,,0,0,0,2026-06-02T10:05:42.041Z
R3-1,R3,1:55 pm The Race Against Suicide Maiden Handicap,1,Negate,13,Chris Waller,Jason Collett,$41,"{""Clean+"":1}",{},{},,,,1,0,1,2026-06-02T10:05:55.563Z
R3-3,R3,1:55 pm The Race Against Suicide Maiden Handicap,3,Time For Snow,10,Anthony Warren,Keagan Latham,$8.5,,,,,,,0,0,0,
R3-4,R3,1:55 pm The Race Against Suicide Maiden Handicap,4,Dance With Destiny,2,John Sargent,Dylan Gibbons,$2.1,,,,,,,0,0,0,
R3-5,R3,1:55 pm The Race Against Suicide Maiden Handicap,5,Irish Pete,12,Robert & Luke Price Jean,Van Overmeire,$18,"{""Clean+"":1}",{},{},,,,1,0,1,2026-06-02T10:06:01.627Z
R3-6,R3,1:55 pm The Race Against Suicide Maiden Handicap,6,Isosceles,8,Tom Charlton,Tom Sherry,$23,,,,,,,0,0,0,
R3-7,R3,1:55 pm The Race Against Suicide Maiden Handicap,7,Think I Will,6,Gai Waterhouse & Adrian Bott,Rachel King,$2.9,,,,,,,0,0,0,
R3-8,R3,1:55 pm The Race Against Suicide Maiden Handicap,8,Aerostern Bro,5,Jarrod Austin,Louise Day,$15,,,,,,,0,0,0,
R3-10,R3,1:55 pm The Race Against Suicide Maiden Handicap,10,Landmark Lady,7,Theresa Bateup,Jessica Taylor,$41,,,,,,,0,0,0,
R3-11,R3,1:55 pm The Race Against Suicide Maiden Handicap,11,Mr Crowning Moment,3,Maree Hopkins,Dale Cole (a-3),$71,{},{},{},,Small / Dainty,,0,0,0,2026-06-02T10:06:14.392Z
R3-12,R3,1:55 pm The Race Against Suicide Maiden Handicap,12,Senza Rivali,1,Kristen Buchanan,Lee Magorrian,$51,,,,,,,0,0,0,
R3-13,R3,1:55 pm The Race Against Suicide Maiden Handicap,13,Tragedies,4,Gary Portelli,Tyler Schiller,$13,,,,,,,0,0,0,
R4-1,R4,2:35 pm Craig Hamilton Provincial Maiden Handicap,1,Smoke 'N' Darts,4,Blake Ryan,Jay Ford,$2.6,,,,,,,0,0,0,
R4-2,R4,2:35 pm Craig Hamilton Provincial Maiden Handicap,2,Captain Peacock,6,Kerry Parker,Brock Ryan,$10,,,,,,,0,0,0,
R4-4,R4,2:35 pm Craig Hamilton Provincial Maiden Handicap,4,Master Johnny,9,Theresa Bateup,Amy McLucas,$3.6,,,,,,,0,0,0,
R4-10,R4,2:35 pm Craig Hamilton Provincial Maiden Handicap,10,She Can Salsa,16,Edward O'Rourke,Rachel King,$5,"{""Clean+"":1}",{},{},,,,1,0,1,2026-06-02T10:06:28.084Z
R4-12,R4,2:35 pm Craig Hamilton Provincial Maiden Handicap,12,Lion Hunt,10,Brad Widdup,Tyler Schiller,$10,,,,,,,0,0,0,
R4-13,R4,2:35 pm Craig Hamilton Provincial Maiden Handicap,13,Another Mission,17,Peter Green,Grant Buckley,$16,,,,,,,0,0,0,
R4-15,R4,2:35 pm Craig Hamilton Provincial Maiden Handicap,15,Honeyhill,5,,Kristen Buchanan,$26,"{""Dapple+"":1}",{},{},,Big / Splayed,,1,0,1,2026-06-02T10:06:40.972Z
R4-18,R4,2:35 pm Craig Hamilton Provincial Maiden Handicap,18,Galactic Force,1,Sara Ryan,Alysha Collett,$14,,,,,,,0,0,0,
R4-20,R4,2:35 pm Craig Hamilton Provincial Maiden Handicap,20,Grey Belief,13,Terry Croft Siena,Grima A2 (a-2),$27,,,,,,,0,0,0,
R5-1,R5,3:10 pm Wests Illawarra Maiden Handicap,1,Corpulent,11,Clarry Conners,Andrew Calder,$16,,,,,,,0,0,0,
R5-2,R5,3:10 pm Wests Illawarra Maiden Handicap,2,Flying Party,1,Ciaron Maher,Adam Farragher,$5.5,,,,,,,0,0,0,
R5-3,R5,3:10 pm Wests Illawarra Maiden Handicap,3,Angulon,5,Gai Waterhouse & Adrian Bott,Regan Bayliss,$17,{},{},{},,,"massive
",0,0,0,2026-06-02T10:07:22.223Z
R5-4,R5,3:10 pm Wests Illawarra Maiden Handicap,4,Col Du Tourmalet,4,Robert Quinn,Shaun Guymer,$5.5,,,,,,,0,0,0,
R5-7,R5,3:10 pm Wests Illawarra Maiden Handicap,7,Hold My Drink,8,Mitchell Beer & George Carpenter Jean,Van Overmeire,$12,,,,,,,0,0,0,
R5-12,R5,3:10 pm Wests Illawarra Maiden Handicap,12,Five Of A Kind,2,"Michael, John & Wayne Hawkes",Jason Collett,$2.8,,,,,,,0,0,0,
R5-13,R5,3:10 pm Wests Illawarra Maiden Handicap,13,Glamour Magic,3,Joseph Pride,Jay Ford,$9.5,{},{},{},,Big / Splayed,,0,0,0,2026-06-02T10:07:37.289Z
R5-14,R5,3:10 pm Wests Illawarra Maiden Handicap,14,I Am Overs,15,Annabel & Rob Archibald,Braith Nock,$8,,,,,,,0,0,0,
R5-18,R5,3:10 pm Wests Illawarra Maiden Handicap,18,Let's Be Honest,19,John Thompson,Alysha Collett,$11,"{""Dapple+"":1}",{},{},,,,1,0,1,2026-06-02T10:07:47.972Z
R5-19,R5,3:10 pm Wests Illawarra Maiden Handicap,19,G'day Ausbred,20,Blake Ryan,Tyler Schiller,$34,,,,,,,0,0,0,
R6-1,R6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,1,Autumn Blonde,11,Mitchell Beer & George Carpenter,Dylan Gibbons,$3.1,{},"{""BH-"":-1}",{},,,,0,1,-1,2026-06-02T10:08:31.143Z
R6-3,R6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,3,Brannum,5,Theresa Bateup,Tyler Schiller,$7,,,,,,,0,0,0,
R6-4,R6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,4,Thunder Lights,15,,Kristen Buchanan,$8,"{""Dapple+"":1}",{},{},,,,1,0,1,2026-06-02T10:08:35.641Z
R6-5,R6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,5,Dunwithya,16,Mitchell Beer & George Carpenter,Adam Farragher,$10,,,,,,,0,0,0,
R6-6,R6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,6,Felis Chaus,9,Richard Litt,Tom Sherry,$3.6,"{""Clean+"":1}",{},{},,Big / Splayed,,1,0,1,2026-06-02T10:08:46.409Z
R6-8,R6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,8,Tod,10,Mitchell Beer & George Carpenter,Grant Buckley,$27,{},"{""BH-"":-1}","{""INJ"":[3]}",,,,0,1,-1,2026-06-02T10:09:02.764Z
R6-12,R6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,12,Aranese,6,Amanda Turner,Olivia Chambers (a-2),$12,,,,,,,0,0,0,
R6-13,R6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,13,Lantau Island,2,Theresa Bateup,Brock Ryan,$15,{},"{""BH-"":-2}",{},,,,0,2,-2,2026-06-02T10:09:11.391Z
R6-14,R6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,14,Starlight Nation,14,Amanda Turner,Winona Costin,$19,,,,,,,0,0,0,
R6-15,R6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,15,Via Varallo,12,Amanda Turner,Amy McLucas,$23,,,,,,,0,0,0,
R6-16,R6,3:45 pm Ascent Property Maintenance Midway Class 1 Handicap,16,Billy Bowlegg,8,Paul Niceforo,Jeff Penza,$61,,,,,,,0,0,0,
R7-1,R7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,1,Presides,4,Mitchell Beer & George Carpenter,Coriah Keatings (a-3),$4,,,,,,,0,0,0,
R7-2,R7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,2,Matima,10,Gary Portelli,Tyler Schiller,$11,{},"{""BH-"":-2}",{},,,,0,2,-2,2026-06-02T10:03:42.452Z
R7-3,R7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,3,Heuristic,5,Bjorn Baker,Dylan Gibbons,$4.4,"{""Clean+"":2}",{},{},,,,2,0,2,2026-06-02T10:03:37.313Z
R7-8,R7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,8,Easiest Choice,14,David Pfieffer,Jay Ford,$3.7,{},"{""Aggressive-"":-1}",{},,,,0,1,-1,2026-06-02T10:03:50.756Z
R7-14,R7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,14,Otono,1,Matthew Dale,Louise Day,$16,,,,,,,0,0,0,
R7-18,R7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,18,Olington Lane,7,Lauren Davies,Keagan Latham,$6,{},{},"{""FT"":[3,4]}",,,,0,0,0,2026-06-02T10:04:24.801Z
R7-19,R7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,19,Our Vinny,8,Diane Poidevin Laine,Pierre Boudvillain,$18,{},{},{},,Big / Splayed,,0,0,0,2026-06-02T10:04:03.831Z
R7-20,R7,4:20 pm Tristan Triffitt Exclusive Estate Agents Benchmark 64 Handicap,20,Purple Rose,2,John Thompson,Alysha Collett,$11,{},{},{},,Big / Splayed,,0,0,0,2026-06-02T10:04:13.174Z
