meeting,race_no,finisher_position,position_code,sp,lane_group
Kembla Grange,R1,1,32,5.5,3 Wide
Kembla Grange,R1,2,4,5,Running Line
Kembla Grange,R1,3,44,17,4 Wide+
Kembla Grange,R1,4,6,3.7,Running Line
Kembla Grange,R2,1,6,3.2,Running Line
Kembla Grange,R2,2,2,17,Running Line
Kembla Grange,R2,3,4,6.5,Running Line
Kembla Grange,R2,4,1,1,Rail
Kembla Grange,R3,1,1,3.5,Rail
Kembla Grange,R3,2,5,2.3,Rail
Kembla Grange,R3,3,10,7,Running Line
Kembla Grange,R3,4,3,81,Rail
Kembla Grange,R4,1,1,3.5,Rail
Kembla Grange,R4,2,3,18,Rail
Kembla Grange,R4,3,33,3.9,3 Wide
Kembla Grange,R4,4,4,4.6,Running Line
Kembla Grange,R5,1,6,2.8,Running Line
Kembla Grange,R5,2,7,5.5,Rail
Kembla Grange,R5,3,3,12,Rail
Kembla Grange,R5,4,2,34,Running Line
Kembla Grange,R6,1,1,5.5,Rail
Kembla Grange,R6,2,3,9,Rail
Kembla Grange,R6,3,5,26,Rail
Kembla Grange,R6,4,10,13,Running Line
Kembla Grange,R7,1,5,2.8,Rail
Kembla Grange,R7,2,4,8,Running Line
Kembla Grange,R7,3,1,23,Rail
Kembla Grange,R7,4,8,8,Running Line
