race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,1,1,Banner Banner,Banner Banner,Banner Banner,10,Tommy Wong,Louis Beuzelin,$26,5.8
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,2,2,Bumbling Artie,Bumbling Artie,Bumbling Artie,1,Mitchell Beer & George Carpenter,Dylan Gibbons,$34,NA
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,3,3,Carafe,Carafe,Carafe,11,Dale Wagstaff,Donovan Dillon,$101,4.1
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,4,4,Copycat,Copycat,Copycat,14,Gary Portelli,Alysha Collett,$19,4.7
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,5,5,Life Young Ever,Life Young Ever,Life Young Ever,12,Gerald Ryan & Sterling Alexiou,Matt Kirk (a-4),$26,NA
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,7,7,Terra Lumina,Terra Lumina,Terra Lumina,8,Jason Coyle,Jessica Taylor,$23,4.3
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,8,8,Touching Hans,Touching Hans,Touching Hans,6,Matthew Smith,Ashley Morgan,$6.5,NA
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,10,10,Ask Di,Ask Di,Ask Di,13,Gerald Ryan & Sterling Alexiou,Tom Sherry,$2.8,3
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,11,11,Gunna Reign,Gunna Reign,Gunna Reign,4,Dale Wagstaff,Adam Farragher,$81,5.7
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,12,12,Kunis,Kunis,Kunis,9,Robert & Luke Price Jean,Van Overmeire,$3.9,NA
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,13,13,Our Lady Peace,Our Lady Peace,Our Lady Peace,7,Gary Portelli,Andrew Adkins,$4.2,4.3
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,15,15,Wonderstorm,Wonderstorm,Wonderstorm,15,Diane Poidevin Laine,Ellen Hennessy,$126,4.7
R1,Kembla Grange,1,12:45 pm Pfd Food Services Maiden Plate,1000m,Maiden,Heavy 8,True,17,17,Heart Reset,Heart Reset,Heart Reset,18,Robert & Luke Price,Claire Ramsbotham (a-3),$21,7.3
R2,Kembla Grange,2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,1000m,BM68,Heavy 8,True,1,1,Century Song,Century Song,Century Song,11,Robert & Luke Price,Brock Ryan,$2.9,4.6
R2,Kembla Grange,2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,1000m,BM68,Heavy 8,True,2,2,Take The Rap,Take The Rap,Take The Rap,5,Norm Gardner Rebecca,Bronett Prag (a-3),$7,5
R2,Kembla Grange,2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,1000m,BM68,Heavy 8,True,3,3,Desi Emperor,Desi Emperor,Desi Emperor,3,Tommy Wong,Jeff Penza,$10,2.5
R2,Kembla Grange,2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,1000m,BM68,Heavy 8,True,5,5,Bode Akuna,Bode Akuna,Bode Akuna,8,Jason Coyle,Jessica Taylor,$7.5,7.5
R2,Kembla Grange,2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,1000m,BM68,Heavy 8,True,7,7,Donwon,Donwon,Donwon,7,Ross McConville,Mollie Fitzgerald (a-1.5),$6.5,4.2
R2,Kembla Grange,2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,1000m,BM68,Heavy 8,True,8,8,Sunday Tycoon,Sunday Tycoon,Sunday Tycoon,9,Clarry Conners,Keagan Latham,$3.4,4.8
R2,Kembla Grange,2,1:20 pm Snap Print Solutions Wollongong Conditional Benchmark 68 Handicap,1000m,BM68,Heavy 8,True,11,11,La Mer Bleue,La Mer Bleue,La Mer Bleue,1,Allan McRae,Amy McLucas,$10,3.8
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,1,1,Negate,Negate,Negate,13,Chris Waller,Jason Collett,$41,10
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,3,3,Time For Snow,Time For Snow,Time For Snow,10,Anthony Warren,Keagan Latham,$8.5,4.1
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,4,4,Dance With Destiny,Dance With Destiny,Dance With Destiny,2,John Sargent,Dylan Gibbons,$2.1,7.6
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,5,5,Irish Pete,Irish Pete,Irish Pete,12,Robert & Luke Price Jean,Van Overmeire,$18,9.3
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,6,6,Isosceles,Isosceles,Isosceles,8,Tom Charlton,Tom Sherry,$23,8.7
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,7,7,Think I Will,Think I Will,Think I Will,6,Gai Waterhouse & Adrian Bott,Rachel King,$2.9,2.5
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,8,8,Aerostern Bro,Aerostern Bro,Aerostern Bro,5,Jarrod Austin,Louise Day,$15,3.3
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,10,10,Landmark Lady,Landmark Lady,Landmark Lady,7,Theresa Bateup,Jessica Taylor,$41,5.2
R3,Kembla Grange,3,1:55 pm The Race Against Suicide Maiden Handicap,2000m,Maiden,Heavy 8,True,11,11,Mr Crowning Moment,Mr Crowning Moment,Mr Crowning Moment,3,Maree Hopkins,Dale Cole (a-3),$71,7.6
