assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,wet_body_type,wet_feet,notes,total_positive,total_negative,net,updated_at
R1-1,R1,12:50 pm Schweppes Handicap,1,Demerzel,5,Gai Waterhouse & Adrian Bott,Rachel King,$9,"{""Clean+"":1}",{},{},,,,1,0,1,2026-06-03T03:31:23.128Z
R1-2,R1,12:50 pm Schweppes Handicap,2,Express,8,Chris Waller,Nash Rawiller,$7.5,,,,,,,0,0,0,
R1-3,R1,12:50 pm Schweppes Handicap,3,Hatsumomo,1,Joseph Pride,Kerrin McEvoy,$18,,,,,,,0,0,0,
R1-4,R1,12:50 pm Schweppes Handicap,4,Infinite Sky,6,Chris Waller,Sam Clipperton,$23,,,,,,,0,0,0,
R1-5,R1,12:50 pm Schweppes Handicap,5,Kinetic Kiss,4,Gai Waterhouse & Adrian Bott,Tim Clark,$4.6,,,,,,,0,0,0,
R1-6,R1,12:50 pm Schweppes Handicap,6,Krasina,7,David Payne,Ashley Morgan,$3.9,,,,,,,0,0,0,
R1-7,R1,12:50 pm Schweppes Handicap,7,Perla Iberica,3,Edward Cummings,Jay Ford,$81,"{""Clean+"":0}","{""BH-"":-2}",{},,,,0,2,-2,2026-06-03T03:31:58.374Z
R1-8,R1,12:50 pm Schweppes Handicap,8,Profit Calling,9,Geoff Allendorf,Andrew Calder,$23,,,,,,,0,0,0,
R1-10,R1,12:50 pm Schweppes Handicap,10,Coral,2,Chris Waller,Tommy Berry,$11,"{""Clean+"":0}","{""BH-"":-1}",{},,,,0,1,-1,2026-06-03T03:31:51.756Z
R1-11,R1,12:50 pm Schweppes Handicap,11,Excelluna,11,Richard & Will Freedman,Jason Collett,$6.5,,,,,,,0,0,0,
R1-12,R1,12:50 pm Schweppes Handicap,12,Helldeeva,10,Peter Snowden,Tom Sherry,$10,,,,,,,0,0,0,
R2-1,R2,1:25 pm Drinkwise Plate,1,Beneath The Rock,1,Kris Lees,Tyler Schiller,$12,"{""Clean+"":1}",{},{},,,,1,0,1,2026-06-03T03:36:05.805Z
R2-2,R2,1:25 pm Drinkwise Plate,2,Claudel,3,Chris Waller,Kerrin McEvoy,$3.2,{},{},"{""FT"":[3,4]}",,,,0,0,0,2026-06-03T03:36:13.507Z
R2-3,R2,1:25 pm Drinkwise Plate,3,Extra Special,2,Nacim Dilmi,Reece Jones,$15,{},"{""BH-"":-1}",{},,,,0,1,-1,2026-06-03T03:36:26.399Z
R2-6,R2,1:25 pm Drinkwise Plate,6,Merini,11,Kris Lees,Jason Collett,$5.5,,,,,,,0,0,0,
R2-8,R2,1:25 pm Drinkwise Plate,8,Our Huntress,5,Michael Freedman,Tommy Berry,$2.05,,,,,,,0,0,0,
R2-9,R2,1:25 pm Drinkwise Plate,9,Presumptuous Gal,8,David Pfieffer,Jay Ford,$34,"{""Clean+"":1}",{},{},,,,1,0,1,2026-06-03T03:36:36.338Z
R2-11,R2,1:25 pm Drinkwise Plate,11,Solar Dance,10,John Sargent,Siena Grima (a-2),$27,,,,,,,0,0,0,
R3-2,R3,2:00 pm Precise Air Plate,2,Hard Liner,13,Joseph Pride,Sam Clipperton,$21,,,,,,,0,0,0,
R3-3,R3,2:00 pm Precise Air Plate,3,King For A Day,14,Matthew Smith,Ashley Morgan,$23,{},{},{},,,good type,0,0,0,2026-06-03T04:05:21.251Z
R3-6,R3,2:00 pm Precise Air Plate,6,Samaka,6,Peter Snowden,Tim Clark,$3.2,,,,,,,0,0,0,
R3-8,R3,2:00 pm Precise Air Plate,8,Unleash Harry,7,Ron Quinton,Louise Day,$10,,,,,,,0,0,0,
R3-9,R3,2:00 pm Precise Air Plate,9,Appin Opal,8,David Pfieffer,Jason Collett,$11,"{""Healthy+"":1}","{""BH-"":-1}",{},,,,1,1,0,2026-06-03T04:05:36.556Z
R3-10,R3,2:00 pm Precise Air Plate,10,Saloon Passage,9,Chris Waller,Siena Grima (a-2),$18,{},"{""BH-"":-1}",{},,,,0,1,-1,2026-06-03T04:05:39.899Z
R3-11,R3,2:00 pm Precise Air Plate,11,Yattazou,3,Chris Waller,Tommy Berry,$9.5,,,,,,,0,0,0,
