meeting,race_no,finisher_position,position_code,sp,lane_group
Warwick Farm,R1,1,8,9,Running Line
Warwick Farm,R1,2,35,3.9,3 Wide
Warwick Farm,R1,3,5,6.5,Rail
Warwick Farm,R1,4,2,6,Running Line
Warwick Farm,R2,1,1,7,Rail
Warwick Farm,R2,2,2,3.2,Running Line
Warwick Farm,R2,3,4,2.5,Running Line
Warwick Farm,R2,4,6,5,Running Line
Warwick Farm,R3,1,1,4.8,Rail
Warwick Farm,R3,2,2,3.2,Running Line
Warwick Farm,R3,3,4,4.6,Running Line
Warwick Farm,R3,4,10,23,Running Line
Warwick Farm,R4,1,6,2.6,Running Line
Warwick Farm,R4,2,4,2.5,Running Line
Warwick Farm,R4,3,8,5.5,Running Line
Warwick Farm,R4,4,7,19,Rail
Warwick Farm,R5,1,2,7,Running Line
Warwick Farm,R5,2,5,9.5,Rail
Warwick Farm,R5,3,3,4.8,Rail
Warwick Farm,R5,4,7,12,Rail
Warwick Farm,R6,1,9,5,Rail
Warwick Farm,R6,2,4,5,Running Line
Warwick Farm,R6,3,1,4.8,Rail
Warwick Farm,R6,4,7,12,Rail
Warwick Farm,R7,1,7,5.5,Rail
Warwick Farm,R7,2,10,23,Running Line
Warwick Farm,R7,3,11,12,Rail
Warwick Farm,R7,4,3,9.5,Rail
