assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,wet_body_type,wet_feet,notes,total_positive,total_negative,net,updated_at
R1-1,R1,12:00 pm Hrc Motel Maiden Plate,1,Master Of War,5,Matthew Smith,Ashley Morgan,$15,,,,,,,0,0,0,
R1-2,R1,12:00 pm Hrc Motel Maiden Plate,2,Donatello,6,Chris Waller,Tommy Berry,$1.55,,,,,,,0,0,0,
R1-3,R1,12:00 pm Hrc Motel Maiden Plate,3,Scoop The Pool,2,Tom Charlton,Andrew Adkins,$3.8,,,,,,,0,0,0,
R1-5,R1,12:00 pm Hrc Motel Maiden Plate,5,Circus Girl,8,Karen Outtrim,Jay Ford,$81,,,,,,,0,0,0,
R1-6,R1,12:00 pm Hrc Motel Maiden Plate,6,Aurora Effect,7,Edward Cummings,Sam Clipperton,$8.5,,,,,,,0,0,0,
R1-7,R1,12:00 pm Hrc Motel Maiden Plate,7,Chaithnia,1,Matthew Smith,Kerrin McEvoy,$16,,,,,,,0,0,0,
R1-8,R1,12:00 pm Hrc Motel Maiden Plate,8,Sharbino,3,Gary Nickson,Mitchell Bell,$13,,,,,,,0,0,0,
R2-2,R2,12:35 pm Family Funday 19 July F&m Maiden Plate,2,Bold Alliance,4,Blake Ryan,Emma Ly (a-3),$20,,,,,,,0,0,0,
R2-3,R2,12:35 pm Family Funday 19 July F&m Maiden Plate,3,Ho Aloha,9,David Pfieffer,Alysha Collett,$9,,,,,,,0,0,0,
R2-4,R2,12:35 pm Family Funday 19 July F&m Maiden Plate,4,Mind Ya Bizz,7,Brad Widdup,Tommy Berry,$3,{},"{""BH-"":-2}",{},,,,0,2,-2,2026-06-04T02:41:43.781Z
R2-6,R2,12:35 pm Family Funday 19 July F&m Maiden Plate,6,Rising Revolution,2,Gerald Ryan & Sterling Alexiou,Tyler Schiller,$3.4,{},"{""BH-"":0}",{},,,,0,0,0,2026-06-04T02:42:02.486Z
R2-7,R2,12:35 pm Family Funday 19 July F&m Maiden Plate,7,Stardust Memories,6,Gai Waterhouse & Adrian Bott,Regan Bayliss,$3.4,{},"{""BH-"":-1}",{},,,,0,1,-1,2026-06-04T02:42:05.534Z
R2-8,R2,12:35 pm Family Funday 19 July F&m Maiden Plate,8,Tszinsi,3,Lee & Cherie Curtis,Jeff Penza,$31,,,,,,,0,0,0,
R2-9,R2,12:35 pm Family Funday 19 July F&m Maiden Plate,9,Scuro Star,8,Peter Snowden,Rachel King,$8,{},"{""BH-"":-2}",{},,,,0,2,-2,2026-06-04T02:41:47.350Z
R3-1,R3,1:10 pm De Bortoli Wines Midway Maiden Handicap,1,Jonson,10,Marc & Mitchell Conners,Deanne Panya,$3.5,{},"{""BH-"":0,""Aggressive-"":-1}",{},,,,0,1,-1,2026-06-04T08:55:56.142Z
R3-2,R3,1:10 pm De Bortoli Wines Midway Maiden Handicap,2,Cellito Sands,8,Peter Green,Grant Buckley,$26,{},{},"{""FT"":[3,4]}",,,,0,0,0,2026-06-04T08:56:05.980Z
R3-3,R3,1:10 pm De Bortoli Wines Midway Maiden Handicap,3,Yeszem,2,Brad Widdup,Tyler Schiller,$3.2,{},"{""BH-"":-1}",{},,,,0,1,-1,2026-06-04T08:56:17.620Z
R3-5,R3,1:10 pm De Bortoli Wines Midway Maiden Handicap,5,Heard Of Him,5,Richard & Will Freedman,Ashley Morgan,$3.6,"{""Clean+"":1}",{},{},,,,1,0,1,2026-06-04T08:56:21.933Z
R3-6,R3,1:10 pm De Bortoli Wines Midway Maiden Handicap,6,Acquaro,6,Fabio Martino,Siena Grima (a-2),$19,{},"{""Heavy/Fat-"":-1}",{},,,,0,1,-1,2026-06-04T08:56:32.113Z
R3-7,R3,1:10 pm De Bortoli Wines Midway Maiden Handicap,7,Heeza Steve,7,Mitchell & Desiree Kearney,Emma Ly (a-3),$101,,,,,,,0,0,0,
R3-8,R3,1:10 pm De Bortoli Wines Midway Maiden Handicap,8,Kuwait,3,Daniel Robinson,Jay Ford,$11,,,,,,,0,0,0,
R3-9,R3,1:10 pm De Bortoli Wines Midway Maiden Handicap,9,Lady Winston,9,Marc & Mitchell Conners,Rachel King,$23,"{""Dapple+"":1}","{""BH-"":-3}",{},,,,1,3,-2,2026-06-04T08:56:43.197Z
R3-10,R3,1:10 pm De Bortoli Wines Midway Maiden Handicap,10,Yes Arnie,1,Theresa Bateup,Brock Ryan,$8.5,,,,,,,0,0,0,
R4-1,R4,1:50 pm Xxxx Gold Class 1 Handicap,1,Abandonment,3,Bjorn Baker,Tommy Berry,$3.9,{},"{""BH-"":-2}",{},,,,0,2,-2,2026-06-04T08:57:26.636Z
R4-2,R4,1:50 pm Xxxx Gold Class 1 Handicap,2,Call Me Mojo,5,David Pfieffer,Kerrin McEvoy,$6,,,,,,,0,0,0,
