meeting,race_no,finisher_position,position_code,sp,lane_group
Hawkesbury,R1,1,4,1.4,Running Line
Hawkesbury,R1,2,1,2.3,Rail
Hawkesbury,R1,3,3,5.5,Rail
Hawkesbury,R1,4,6,10,Running Line
Hawkesbury,R2,1,4,8.5,Running Line
Hawkesbury,R2,2,6,2.4,Running Line
Hawkesbury,R2,3,1,3.5,Rail
Hawkesbury,R2,4,32,15,3 Wide
Hawkesbury,R3,1,2,3.8,Running Line
Hawkesbury,R3,2,4,3.5,Running Line
Hawkesbury,R3,3,7,13,Rail
Hawkesbury,R3,4,5,2.7,Rail
Hawkesbury,R4,1,7,6,Rail
Hawkesbury,R4,2,1,5.5,Rail
Hawkesbury,R4,3,2,4.8,Running Line
Hawkesbury,R4,4,8,4.4,Running Line
Hawkesbury,R5,1,1,7,Rail
Hawkesbury,R5,2,2,4.4,Running Line
Hawkesbury,R5,3,6,3.5,Running Line
Hawkesbury,R5,4,8,12,Running Line
Hawkesbury,R6,1,6,3.4,Running Line
Hawkesbury,R6,2,4,6,Running Line
Hawkesbury,R6,3,2,8,Running Line
Hawkesbury,R6,4,3,2.05,Rail
Hawkesbury,R7,1,3,31,Rail
Hawkesbury,R7,2,6,4.2,Running Line
Hawkesbury,R7,3,32,3.2,3 Wide
Hawkesbury,R7,4,2,11,Running Line
Hawkesbury,R8,1,1,16,Rail
Hawkesbury,R8,2,3,2.9,Rail
Hawkesbury,R8,3,4,8,Running Line
Hawkesbury,R8,4,7,9,Rail
