race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:15 pm E Security Group Plate,12:15 pm,1250m,Canterbury,,Soft 5,True,2,Circus Queen,Circus Queen,Circus Queen,6,Peter Snowden,Tom Sherry,56kg,$12,false
1,12:15 pm E Security Group Plate,12:15 pm,1250m,Canterbury,,Soft 5,True,3,Excelluna,Excelluna,Excelluna,2,Richard & Will Freedman,Chad Schofield,56kg,$4.2,false
1,12:15 pm E Security Group Plate,12:15 pm,1250m,Canterbury,,Soft 5,True,4,Extremely Chic,Extremely Chic,Extremely Chic,8,Chris Waller,Sam Clipperton,56kg,$4.6,false
1,12:15 pm E Security Group Plate,12:15 pm,1250m,Canterbury,,Soft 5,True,5,Idmiston,Idmiston,Idmiston,5,Anthony & Sam Freedman,Rachel King,56kg,$10,false
1,12:15 pm E Security Group Plate,12:15 pm,1250m,Canterbury,,Soft 5,True,6,Miss Scandal,Miss Scandal,Miss Scandal,3,Chris Waller,Tyler Schiller,56kg,$5,false
1,12:15 pm E Security Group Plate,12:15 pm,1250m,Canterbury,,Soft 5,True,7,Ole Olive,Ole Olive,Ole Olive,4,Kris Lees,William Stanley (a-3),56kg,$41,false
1,12:15 pm E Security Group Plate,12:15 pm,1250m,Canterbury,,Soft 5,True,8,Satin Serenade,Satin Serenade,Satin Serenade,1,Chris Waller,Tim Clark,56kg,$2.75,false
1,12:15 pm E Security Group Plate,12:15 pm,1250m,Canterbury,,Soft 5,True,1,Bravira,Bravira,Bravira,7,Chris Waller,Tommy Berry,56kg,SCR,true
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,1,Divine Offering,Divine Offering,Divine Offering,11,Peter Snowden,Tom Sherry,56kg,$9.5,false
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,2,Dominator,Dominator,Dominator,10,Michael Freedman,Tommy Berry,56kg,$7.5,false
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,6,Klocke,Klocke,Klocke,5,Chris Waller,Adam Hyeronimus,56kg,$2.8,false
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,10,Snitzel A'la Rouge,Snitzel A'la Rouge,Snitzel A'la Rouge,7,Chris Waller,Sam Clipperton,56kg,$13,false
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,12,The Machine Gun,The Machine Gun,The Machine Gun,3,Peter Snowden,Tim Clark,56kg,$3.9,false
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,13,Ultimate Warrior,Ultimate Warrior,Ultimate Warrior,2,Anthony & Sam Freedman,Chad Schofield,56kg,$11,false
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,14,Zeitgeist,Zeitgeist,Zeitgeist,15,Chris Waller,Andrew Adkins,56kg,$10,false
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,15,Marwooba,Marwooba,Marwooba,12,"Michael, John & Wayne Hawkes",Tyler Schiller,56kg,$15,false
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,17,Another Lahar,Another Lahar,Another Lahar,6,David Payne,Ashley Morgan,56kg,$41,false
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,3,Exit Clause,Exit Clause,Exit Clause,9,Jason Coyle,Rachel King,56kg,SCR,true
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,4,Genesis Runner,Genesis Runner,Genesis Runner,13,Richard & Will Freedman,Chad Schofield,56kg,SCR,true
2,12:50 pm Drinkwise Plate,12:50 pm,1250m,Canterbury,,Soft 5,True,5,Hailstones,Hailstones,Hailstones,1,Annabel & Rob Archibald,Braith Nock (a-1.5),56kg,SCR,true
