assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,wet_body_type,wet_feet,notes,total_positive,total_negative,net,updated_at
R1-2,R1,12:15 pm E Security Group Plate,2,Circus Queen,6,Peter Snowden,Tom Sherry,$12,"{""Clean+"":1}",{},{},,,,1,0,1,2026-06-09T11:55:32.481Z
R1-3,R1,12:15 pm E Security Group Plate,3,Excelluna,2,Richard & Will Freedman,Chad Schofield,$4.2,,,,,,,0,0,0,
R1-4,R1,12:15 pm E Security Group Plate,4,Extremely Chic,8,Chris Waller,Sam Clipperton,$4.6,,,,,,,0,0,0,
R1-5,R1,12:15 pm E Security Group Plate,5,Idmiston,5,Anthony & Sam Freedman,Rachel King,$10,,,,,,,0,0,0,
R1-6,R1,12:15 pm E Security Group Plate,6,Miss Scandal,3,Chris Waller,Tyler Schiller,$5,,,,,,,0,0,0,
R1-7,R1,12:15 pm E Security Group Plate,7,Ole Olive,4,Kris Lees,William Stanley (a-3),$41,,,,,,,0,0,0,
R1-8,R1,12:15 pm E Security Group Plate,8,Satin Serenade,1,Chris Waller,Tim Clark,$2.75,,,,,,,0,0,0,
R2-1,R2,12:50 pm Drinkwise Plate,1,Divine Offering,11,Peter Snowden,Tom Sherry,$9.5,{},{},{},,,,0,0,0,
R2-2,R2,12:50 pm Drinkwise Plate,2,Dominator,10,Michael Freedman,Tommy Berry,$7.5,,,,,,,0,0,0,
R2-6,R2,12:50 pm Drinkwise Plate,6,Klocke,5,Chris Waller,Adam Hyeronimus,$2.8,,,,,,,0,0,0,
R2-10,R2,12:50 pm Drinkwise Plate,10,Snitzel A'la Rouge,7,Chris Waller,Sam Clipperton,$13,,,,,,,0,0,0,
R2-12,R2,12:50 pm Drinkwise Plate,12,The Machine Gun,3,Peter Snowden,Tim Clark,$3.9,,,,,,,0,0,0,
R2-13,R2,12:50 pm Drinkwise Plate,13,Ultimate Warrior,2,Anthony & Sam Freedman,Chad Schofield,$11,,,,,,,0,0,0,
R2-14,R2,12:50 pm Drinkwise Plate,14,Zeitgeist,15,Chris Waller,Andrew Adkins,$10,,,,,,,0,0,0,
R2-15,R2,12:50 pm Drinkwise Plate,15,Marwooba,12,"Michael, John & Wayne Hawkes",Tyler Schiller,$15,,,,,,,0,0,0,
R2-17,R2,12:50 pm Drinkwise Plate,17,Another Lahar,6,David Payne,Ashley Morgan,$41,,,,,,,0,0,0,
R3-1,R3,1:25 pm Schweppes Handicap,1,Hello Captain,4,Chris Waller,Nash Rawiller,$2.25,,,,,,,0,0,0,
R3-2,R3,1:25 pm Schweppes Handicap,2,Airworthy,11,Gai Waterhouse & Adrian Bott,Zac Wadick (a-2),$8,,,,,,,0,0,0,
R3-3,R3,1:25 pm Schweppes Handicap,3,Three Arrows,1,Tom Charlton,Anna Roper (a-2),$14,,,,,,,0,0,0,
R3-5,R3,1:25 pm Schweppes Handicap,5,Willingham,5,Danielle Seib,Brodie Loy,$26,,,,,,,0,0,0,
R3-6,R3,1:25 pm Schweppes Handicap,6,Zoufield,9,Andrew Bourke,Pierre Boudvillain,$31,,,,,,,0,0,0,
R3-7,R3,1:25 pm Schweppes Handicap,7,Roma Green,3,Bjorn Baker,Kerrin McEvoy,$7,,,,,,,0,0,0,
R3-8,R3,1:25 pm Schweppes Handicap,8,Wootton Way,7,Chris Waller,Tommy Berry,$7.5,,,,,,,0,0,0,
R3-9,R3,1:25 pm Schweppes Handicap,9,Events,6,Ciaron Maher,Chad Schofield,$7.5,,,,,,,0,0,0,
R3-10,R3,1:25 pm Schweppes Handicap,10,Extrio,2,Luke Pepper Jean,Van Overmeire,$15,,,,,,,0,0,0,
R3-12,R3,1:25 pm Schweppes Handicap,12,Demi God,8,Michael Travers,Braith Nock (a-1.5),$81,,,,,,,0,0,0,
R4-1,R4,2:00 pm The Agency Real Estate Handicap,1,Deepwater Artist,2,Matthew Kelley,Coriah Keatings (a-3),$4.8,,,,,,,0,0,0,
R4-2,R4,2:00 pm The Agency Real Estate Handicap,2,Helen's Way,6,Bjorn Baker,Nash Rawiller,$4.2,,,,,,,0,0,0,
R4-3,R4,2:00 pm The Agency Real Estate Handicap,3,Ballpark,4,Chris Waller,Tim Clark,$8,,,,,,,0,0,0,
R4-4,R4,2:00 pm The Agency Real Estate Handicap,4,Rach,8,Chris Waller,Tyler Schiller,$8,,,,,,,0,0,0,
R4-5,R4,2:00 pm The Agency Real Estate Handicap,5,Pawa,1,Edward O'Rourke,Rachel King,$20,,,,,,,0,0,0,
R4-6,R4,2:00 pm The Agency Real Estate Handicap,6,Polo,5,Gary Portelli,Ashley Morgan,$15,,,,,,,0,0,0,
R4-7,R4,2:00 pm The Agency Real Estate Handicap,7,Lipstick,3,Chris Waller,Adam Hyeronimus,$6.5,,,,,,,0,0,0,
R4-9,R4,2:00 pm The Agency Real Estate Handicap,9,Wounder,7,Chris Waller,Tommy Berry,$4.2,,,,,,,0,0,0,
R5-2,R5,2:35 pm All Too Hard @ Vinery Stud Handicap,2,Claim The Crown,8,John Sargent,Siena Grima (a-2),$12,,,,,,,0,0,0,
R5-3,R5,2:35 pm All Too Hard @ Vinery Stud Handicap,3,Sting In The Tail,6,Chris Waller,Tommy Berry,$7,,,,,,,0,0,0,
R5-4,R5,2:35 pm All Too Hard @ Vinery Stud Handicap,4,Allegro Miss,7,Con Karakatsanis,Jay Ford,$4.2,,,,,,,0,0,0,
R5-5,R5,2:35 pm All Too Hard @ Vinery Stud Handicap,5,Format,5,Gai Waterhouse & Adrian Bott,Adam Hyeronimus,$3.9,,,,,,,0,0,0,
R5-6,R5,2:35 pm All Too Hard @ Vinery Stud Handicap,6,Fioprospero,2,Matthew Smith,Ashley Morgan,$7.5,,,,,,,0,0,0,
R5-7,R5,2:35 pm All Too Hard @ Vinery Stud Handicap,7,Jack Duggan,4,Jason Deamer,Chad Schofield,$7.5,,,,,,,0,0,0,
R5-8,R5,2:35 pm All Too Hard @ Vinery Stud Handicap,8,Lots To Love,1,Annabel & Rob Archibald,Braith Nock (a-1.5),$5,,,,,,,0,0,0,
R6-1,R6,3:10 pm Toyota Forklifts Handicap,1,The Creator,11,Mick Price & Michael Kent Jnr,Anna Roper (a-2),$5,,,,,,,0,0,0,
R6-2,R6,3:10 pm Toyota Forklifts Handicap,2,Forbidden Riff,9,Richard & Will Freedman,Siena Grima (a-2),$15,,,,,,,0,0,0,
R6-3,R6,3:10 pm Toyota Forklifts Handicap,3,Audrey's Lane,6,Brad Widdup,Mollie Fitzgerald (a-3),$3.9,,,,,,,0,0,0,
R6-4,R6,3:10 pm Toyota Forklifts Handicap,4,Lennox,2,Annabel & Rob Archibald,Braith Nock (a-1.5),$4.6,,,,,,,0,0,0,
R6-5,R6,3:10 pm Toyota Forklifts Handicap,5,Tenderize,10,Gary Portelli,Alysha Collett,$7.5,,,,,,,0,0,0,
R6-7,R6,3:10 pm Toyota Forklifts Handicap,7,Peace Officer,7,Clarry Conners,Ashley Morgan,$17,,,,,,,0,0,0,
R6-8,R6,3:10 pm Toyota Forklifts Handicap,8,Louie's Legacy,3,"Barbara Joseph, Paul & Matt Jones",Quayde Krogh,$7,,,,,,,0,0,0,
R6-10,R6,3:10 pm Toyota Forklifts Handicap,10,Up To Mischief,8,Jason Deamer,Rachel King,$7.5,,,,,,,0,0,0,
R7-1,R7,3:45 pm Tab Handicap,1,Storm The Ramparts,16,Joseph Pride,Sam Clipperton,$21,,,,,,,0,0,0,
R7-2,R7,3:45 pm Tab Handicap,2,Celui,2,Richard & Will Freedman,Siena Grima (a-2),$17,,,,,,,0,0,0,
R7-3,R7,3:45 pm Tab Handicap,3,Felix Majestic,11,Gary Nickson,Winona Costin,$29,,,,,,,0,0,0,
R7-4,R7,3:45 pm Tab Handicap,4,Chinqui,10,Anthony & Sam Freedman,Adam Hyeronimus,$16,,,,,,,0,0,0,
R7-5,R7,3:45 pm Tab Handicap,5,World Alliance,19,Matthew Smith,Kerrin McEvoy,$7.5,,,,,,,0,0,0,
R7-8,R7,3:45 pm Tab Handicap,8,Flying Trapeze,9,Gary Portelli,Andrew Adkins,$71,,,,,,,0,0,0,
R7-9,R7,3:45 pm Tab Handicap,9,Dollar Magic,3,Sara Ryan,Reece Jones,$7.5,,,,,,,0,0,0,
R7-10,R7,3:45 pm Tab Handicap,10,Mogo Magic,7,Scott Collings,Alysha Collett,$26,,,,,,,0,0,0,
R7-11,R7,3:45 pm Tab Handicap,11,Memoria,5,Kris Lees,Tim Clark,$6.5,,,,,,,0,0,0,
R7-12,R7,3:45 pm Tab Handicap,12,Istolea Merc,6,Bjorn Baker,Ashley Morgan,$6.5,,,,,,,0,0,0,
R7-13,R7,3:45 pm Tab Handicap,13,Winning Proposal,1,John Thompson,Anna Roper (a-2),$26,,,,,,,0,0,0,
R7-14,R7,3:45 pm Tab Handicap,14,Crepe Myrtle,15,Joseph Pride,Tyler Schiller,$6.75,,,,,,,0,0,0,
R7-17,R7,3:45 pm Tab Handicap,17,Pokerjack,14,Tash Burleigh,Amy McLucas,$34,,,,,,,0,0,0,
R7-18,R7,3:45 pm Tab Handicap,18,Ready To Shine,8,Matthew Smith,Rachel King,$6,,,,,,,0,0,0,
R8-1,R8,4:20 pm Ranvet Handicap,1,Mafia,2,Mitchell Beer & George Carpenter,Coriah Keatings (a-3),$4.5,,,,,,,0,0,0,
R8-2,R8,4:20 pm Ranvet Handicap,2,Balkans,5,Richard Litt,Siena Grima (a-2),$13,,,,,,,0,0,0,
R8-3,R8,4:20 pm Ranvet Handicap,3,Love Shuck,4,Todd Smart,Billy Owen,$12,,,,,,,0,0,0,
R8-6,R8,4:20 pm Ranvet Handicap,6,Laurel Hill,1,Rob Potter,Damon Budler,$16,,,,,,,0,0,0,
R8-8,R8,4:20 pm Ranvet Handicap,8,Tuscany,7,Tom Charlton,Tommy Berry,$2.4,,,,,,,0,0,0,
R8-10,R8,4:20 pm Ranvet Handicap,10,Perfect Picture,8,John Thompson,Kerrin McEvoy,$6.5,,,,,,,0,0,0,
R8-11,R8,4:20 pm Ranvet Handicap,11,Alphard,6,Chris Waller,Tyler Schiller,$5.5,,,,,,,0,0,0,
