race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:55 pm Tab Handicap,12:55 pm,1150m,Kensington,Handicap,Soft 5,True,3,Royal Air Force,Royal Air Force,Royal Air Force,1,Chris Waller,Tommy Berry,58kg,$3,false
1,12:55 pm Tab Handicap,12:55 pm,1150m,Kensington,Handicap,Soft 5,True,4,Baltusrol,Baltusrol,Baltusrol,2,Peter Snowden,Tom Sherry,56.5kg,$7,false
1,12:55 pm Tab Handicap,12:55 pm,1150m,Kensington,Handicap,Soft 5,True,5,Short Sea,Short Sea,Short Sea,3,Peter Snowden,Sam Clipperton,56.5kg,$6.5,false
1,12:55 pm Tab Handicap,12:55 pm,1150m,Kensington,Handicap,Soft 5,True,6,Zourrific,Zourrific,Zourrific,6,Peter Snowden,Kerrin McEvoy,56.5kg,$2.25,false
1,12:55 pm Tab Handicap,12:55 pm,1150m,Kensington,Handicap,Soft 5,True,8,Power Hungry,Power Hungry,Power Hungry,4,John Sharah Rebecca,Bronett Prag (a-3),54kg,$12,false
1,12:55 pm Tab Handicap,12:55 pm,1150m,Kensington,Handicap,Soft 5,True,1,Demonstrator,Demonstrator,Demonstrator,7,Richard & Will Freedman,Chad Schofield,59kg,SCR,true
1,12:55 pm Tab Handicap,12:55 pm,1150m,Kensington,Handicap,Soft 5,True,2,Opine,Opine,Opine,8,Joseph Pride,Andrew Adkins,59kg,SCR,true
1,12:55 pm Tab Handicap,12:55 pm,1150m,Kensington,Handicap,Soft 5,True,7,Grunge,Grunge,Grunge,5,Marc Chevalier,Louis Beuzelin,54.5kg,SCR,true
2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1:30 pm,1150m,Kensington,Handicap,Soft 5,True,1,Dejay's Angel,Dejay's Angel,Dejay's Angel,7,Jay Hopkins,William Stanley (a-3),59kg,$51,false
2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1:30 pm,1150m,Kensington,Handicap,Soft 5,True,2,Ready Forcocktails,Ready Forcocktails,Ready Forcocktails,2,"Michael, John & Wayne Hawkes",Tyler Schiller,59kg,$2.25,false
2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1:30 pm,1150m,Kensington,Handicap,Soft 5,True,3,Bangelz,Bangelz,Bangelz,5,Terry Croft,Mollie Fitzgerald (a-3),57.5kg,$51,false
2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1:30 pm,1150m,Kensington,Handicap,Soft 5,True,4,Celestial Charm,Celestial Charm,Celestial Charm,6,Michael Freedman,Tommy Berry,57.5kg,$1.9,false
2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1:30 pm,1150m,Kensington,Handicap,Soft 5,True,5,On Her Merits,On Her Merits,On Her Merits,1,Bruce Cross,Adrian Layt,57kg,$29,false
2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1:30 pm,1150m,Kensington,Handicap,Soft 5,True,6,Artistic Lady,Artistic Lady,Artistic Lady,3,Gary Portelli,Rachel King,55kg,$13,false
2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1:30 pm,1150m,Kensington,Handicap,Soft 5,True,7,Unjust,Unjust,Unjust,8,John Sharah Rebecca,Bronett Prag (a-3),54kg,$19,false
2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1:30 pm,1150m,Kensington,Handicap,Soft 5,True,8,Unnatural Power,Unnatural Power,Unnatural Power,4,John Sharah,Siena Grima (a-2),54kg,$21,false
3,2:05 pm Drinkwise Plate,2:05 pm,1400m,Kensington,,Soft 5,True,1,Agraffe Rocket,Agraffe Rocket,Agraffe Rocket,8,Kris Lees,Adam Hyeronimus,57kg,$7.5,false
3,2:05 pm Drinkwise Plate,2:05 pm,1400m,Kensington,,Soft 5,True,2,Clanwilliam,Clanwilliam,Clanwilliam,7,David Payne,Tom Sherry,57kg,$14,false
3,2:05 pm Drinkwise Plate,2:05 pm,1400m,Kensington,,Soft 5,True,3,Cool Rupert,Cool Rupert,Cool Rupert,6,Matthew Smith,Jay Ford,57kg,$101,false
3,2:05 pm Drinkwise Plate,2:05 pm,1400m,Kensington,,Soft 5,True,4,Farset,Farset,Farset,3,Gai Waterhouse & Adrian Bott,Rachel King,57kg,$5.5,false
3,2:05 pm Drinkwise Plate,2:05 pm,1400m,Kensington,,Soft 5,True,5,Incremental,Incremental,Incremental,4,Annabel & Rob Archibald,Braith Nock (a-1.5),57kg,$27,false
3,2:05 pm Drinkwise Plate,2:05 pm,1400m,Kensington,,Soft 5,True,6,Konsa,Konsa,Konsa,1,Chris Waller,Nash Rawiller (a0.5),57kg,$2.05,false
3,2:05 pm Drinkwise Plate,2:05 pm,1400m,Kensington,,Soft 5,True,7,Red Sentinel,Red Sentinel,Red Sentinel,2,Gerald Ryan & Sterling Alexiou,Kerrin McEvoy,57kg,$16,false
3,2:05 pm Drinkwise Plate,2:05 pm,1400m,Kensington,,Soft 5,True,8,Solid,Solid,Solid,11,"Michael, John & Wayne Hawkes",Tyler Schiller,57kg,$10,false
3,2:05 pm Drinkwise Plate,2:05 pm,1400m,Kensington,,Soft 5,True,9,Artgirl,Artgirl,Artgirl,9,Chris Waller,Chad Schofield,55kg,$10,false
3,2:05 pm Drinkwise Plate,2:05 pm,1400m,Kensington,,Soft 5,True,10,Royal Chic,Royal Chic,Royal Chic,10,Annabel & Rob Archibald,Mollie Fitzgerald (a-3),55kg,SCR,true
3,2:05 pm Drinkwise Plate,2:05 pm,1400m,Kensington,,Soft 5,True,11,Snitzel Miss,Snitzel Miss,Snitzel Miss,5,Chris Waller,Tommy Berry,55kg,SCR,true
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,1,Take The Rap,Take The Rap,Take The Rap,8,Norm Gardner Rebecca,Bronett Prag (a-3),62.5kg,$31,false
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,2,Lull,Lull,Lull,6,Ciaron Maher,Tommy Berry,60.5kg,$5.5,false
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,3,Charlina,Charlina,Charlina,7,Jason Attard,Olivia Chambers (a-3),60kg,$4.6,false
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,4,Silencio Porfavor,Silencio Porfavor,Silencio Porfavor,1,Matthew Smith,Mollie Fitzgerald (a-3),60kg,$11,false
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,6,Hinzel,Hinzel,Hinzel,11,Kerry Parker,Nash Rawiller,59kg,$4.6,false
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,7,Point Score,Point Score,Point Score,3,Amanda Turner,Andrew Calder,59kg,$9.5,false
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,9,Jarrito,Jarrito,Jarrito,4,Bjorn Baker,Rachel King,58kg,$3.25,false
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,11,Tides Turning,Tides Turning,Tides Turning,12,Terry Croft,Shannen Llewellyn (a-3),56.5kg,$51,false
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,12,Singing Star,Singing Star,Singing Star,2,Damien Lane,Anna Roper (a-2),55kg,$41,false
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,5,Bode Akuna,Bode Akuna,Bode Akuna,10,Jason Coyle,Adam Hyeronimus,59kg,SCR,true
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,13,Canamble,Canamble,Canamble,5,,Damien Lane,54kg,SCR,true
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,8,Honey Perfume,Honey Perfume,Honey Perfume,9,Matthew Smith,Siena Grima (a-2),58.5kg,SCR,true
4,2:40 pm Cactus Imaging Handicap,2:40 pm,1000m,Kensington,Handicap,Soft 5,True,10,Written By Lucy,Written By Lucy,Written By Lucy,13,Rob Potter,Damon Budler,58kg,SCR,true
5,3:15 pm Catanach's Jewellers Handiap,3:15 pm,1400m,Kensington,,Soft 5,True,1,Thames,Thames,Thames,4,Gary Portelli,Anna Roper (a-2),62kg,$10,false
5,3:15 pm Catanach's Jewellers Handiap,3:15 pm,1400m,Kensington,,Soft 5,True,3,Cherish Me,Cherish Me,Cherish Me,5,Ciaron Maher,Shannen Llewellyn (a-3),60.5kg,$8,false
5,3:15 pm Catanach's Jewellers Handiap,3:15 pm,1400m,Kensington,,Soft 5,True,4,Deep Pleasure,Deep Pleasure,Deep Pleasure,1,Mick Price & Michael Kent Jnr,Mollie Fitzgerald (a-3),60.5kg,$5,false
5,3:15 pm Catanach's Jewellers Handiap,3:15 pm,1400m,Kensington,,Soft 5,True,6,Concordia Wind,Concordia Wind,Concordia Wind,2,Chris Waller,Nash Rawiller,59.5kg,$5,false
5,3:15 pm Catanach's Jewellers Handiap,3:15 pm,1400m,Kensington,,Soft 5,True,7,Sapphire Rose,Sapphire Rose,Sapphire Rose,8,Bjorn Baker,Ashley Morgan,58.5kg,$8,false
5,3:15 pm Catanach's Jewellers Handiap,3:15 pm,1400m,Kensington,,Soft 5,True,8,Virgil's Gift,Virgil's Gift,Virgil's Gift,3,Gai Waterhouse & Adrian Bott,Rachel King,58.5kg,$4.6,false
5,3:15 pm Catanach's Jewellers Handiap,3:15 pm,1400m,Kensington,,Soft 5,True,9,Sister Daae,Sister Daae,Sister Daae,6,Chris Waller,Tommy Berry,57.5kg,$5,false
5,3:15 pm Catanach's Jewellers Handiap,3:15 pm,1400m,Kensington,,Soft 5,True,10,Peschiera,Peschiera,Peschiera,9,"Michael, John & Wayne Hawkes",Tyler Schiller,55.5kg,$23,false
5,3:15 pm Catanach's Jewellers Handiap,3:15 pm,1400m,Kensington,,Soft 5,True,2,Surf's Up,Surf's Up,Surf's Up,7,Chris Waller,Siena Grima (a-2),61.5kg,SCR,true
5,3:15 pm Catanach's Jewellers Handiap,3:15 pm,1400m,Kensington,,Soft 5,True,5,Waku Waku,Waku Waku,Waku Waku,10,Annabel & Rob Archibald,Braith Nock (a-1.5),60.5kg,SCR,true
6,3:50 pm Asahi Super Dry Handicap,3:50 pm,2400m,Kensington,Handicap,Soft 5,True,1,Casual Connection,Casual Connection,Casual Connection,3,John Sargent,Siena Grima (a-2),62kg,$9.5,false
6,3:50 pm Asahi Super Dry Handicap,3:50 pm,2400m,Kensington,Handicap,Soft 5,True,2,I Am The Empire,I Am The Empire,I Am The Empire,11,Annabel & Rob Archibald,Braith Nock (a-1.5),61kg,$29,false
6,3:50 pm Asahi Super Dry Handicap,3:50 pm,2400m,Kensington,Handicap,Soft 5,True,3,Pinhole,Pinhole,Pinhole,2,Chris Waller,Nash Rawiller,60.5kg,$4.6,false
6,3:50 pm Asahi Super Dry Handicap,3:50 pm,2400m,Kensington,Handicap,Soft 5,True,4,Centenario,Centenario,Centenario,1,Gai Waterhouse & Adrian Bott,Regan Bayliss,58.5kg,$8.5,false
6,3:50 pm Asahi Super Dry Handicap,3:50 pm,2400m,Kensington,Handicap,Soft 5,True,5,Cormac,Cormac,Cormac,7,Annabel & Rob Archibald,Mollie Fitzgerald (a-3),58kg,$8,false
6,3:50 pm Asahi Super Dry Handicap,3:50 pm,2400m,Kensington,Handicap,Soft 5,True,6,Bestower,Bestower,Bestower,9,Kris Lees,Tyler Schiller,57.5kg,$8,false
6,3:50 pm Asahi Super Dry Handicap,3:50 pm,2400m,Kensington,Handicap,Soft 5,True,7,Black Babylon,Black Babylon,Black Babylon,4,Annabel & Rob Archibald,Tom Sherry,57.5kg,$6.5,false
6,3:50 pm Asahi Super Dry Handicap,3:50 pm,2400m,Kensington,Handicap,Soft 5,True,8,So Suave,So Suave,So Suave,6,Chris Waller,Tommy Berry,57.5kg,$6,false
6,3:50 pm Asahi Super Dry Handicap,3:50 pm,2400m,Kensington,Handicap,Soft 5,True,10,De Louviere,De Louviere,De Louviere,10,Matthew Smith,Kerrin McEvoy,54kg,$10,false
