race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Kensington,1,12:55 pm Tab Handicap,1150m,Handicap,Soft 5,True,3,3,Royal Air Force,Royal Air Force,Royal Air Force,1,Chris Waller,Tommy Berry,$3,6.8
R1,Kensington,1,12:55 pm Tab Handicap,1150m,Handicap,Soft 5,True,4,4,Baltusrol,Baltusrol,Baltusrol,2,Peter Snowden,Tom Sherry,$7,NA
R1,Kensington,1,12:55 pm Tab Handicap,1150m,Handicap,Soft 5,True,5,5,Short Sea,Short Sea,Short Sea,3,Peter Snowden,Sam Clipperton,$6.5,NA
R1,Kensington,1,12:55 pm Tab Handicap,1150m,Handicap,Soft 5,True,6,6,Zourrific,Zourrific,Zourrific,6,Peter Snowden,Kerrin McEvoy,$2.25,NA
R1,Kensington,1,12:55 pm Tab Handicap,1150m,Handicap,Soft 5,True,8,8,Power Hungry,Power Hungry,Power Hungry,4,John Sharah Rebecca,Bronett Prag (a-3),$12,2.6
R2,Kensington,2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1150m,Handicap,Soft 5,True,1,1,Dejay's Angel,Dejay's Angel,Dejay's Angel,7,Jay Hopkins,William Stanley (a-3),$51,NA
R2,Kensington,2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1150m,Handicap,Soft 5,True,2,2,Ready Forcocktails,Ready Forcocktails,Ready Forcocktails,2,"Michael, John & Wayne Hawkes",Tyler Schiller,$2.25,3.3
R2,Kensington,2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1150m,Handicap,Soft 5,True,3,3,Bangelz,Bangelz,Bangelz,5,Terry Croft,Mollie Fitzgerald (a-3),$51,10
R2,Kensington,2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1150m,Handicap,Soft 5,True,4,4,Celestial Charm,Celestial Charm,Celestial Charm,6,Michael Freedman,Tommy Berry,$1.9,2
R2,Kensington,2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1150m,Handicap,Soft 5,True,5,5,On Her Merits,On Her Merits,On Her Merits,1,Bruce Cross,Adrian Layt,$29,3
R2,Kensington,2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1150m,Handicap,Soft 5,True,6,6,Artistic Lady,Artistic Lady,Artistic Lady,3,Gary Portelli,Rachel King,$13,5.4
R2,Kensington,2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1150m,Handicap,Soft 5,True,7,7,Unjust,Unjust,Unjust,8,John Sharah Rebecca,Bronett Prag (a-3),$19,7.4
R2,Kensington,2,1:30 pm Find Your Aurum Belle @ The Chase Handicap,1150m,Handicap,Soft 5,True,8,8,Unnatural Power,Unnatural Power,Unnatural Power,4,John Sharah,Siena Grima (a-2),$21,6.3
R3,Kensington,3,2:05 pm Drinkwise Plate,1400m,Maiden,Soft 5,True,1,1,Agraffe Rocket,Agraffe Rocket,Agraffe Rocket,8,Kris Lees,Adam Hyeronimus,$7.5,7.5
R3,Kensington,3,2:05 pm Drinkwise Plate,1400m,Maiden,Soft 5,True,2,2,Clanwilliam,Clanwilliam,Clanwilliam,7,David Payne,Tom Sherry,$14,4.4
