race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:45 pm Dahlsens Midway Maiden Plate,12:45 pm,1100m,Gosford,Maiden,Soft 5,True,1,Arato,Arato,Arato,7,Edward Cummings,Rachel King,59kg,$11,false
1,12:45 pm Dahlsens Midway Maiden Plate,12:45 pm,1100m,Gosford,Maiden,Soft 5,True,2,Encryptix,Encryptix,Encryptix,5,Gregory McFarlane,Tommy Berry,59kg,$3.1,false
1,12:45 pm Dahlsens Midway Maiden Plate,12:45 pm,1100m,Gosford,Maiden,Soft 5,True,4,Orange Tsunami,Orange Tsunami,Orange Tsunami,2,Richard & Will Freedman,Lee Magorrian,59kg,$3.9,false
1,12:45 pm Dahlsens Midway Maiden Plate,12:45 pm,1100m,Gosford,Maiden,Soft 5,True,5,Slam Dunk,Slam Dunk,Slam Dunk,1,Kylie Gavenlock,Mollie Fitzgerald,59kg,$21,false
1,12:45 pm Dahlsens Midway Maiden Plate,12:45 pm,1100m,Gosford,Maiden,Soft 5,True,6,Tellurium,Tellurium,Tellurium,8,Richard Litt,Tom Sherry,59kg,$4.8,false
1,12:45 pm Dahlsens Midway Maiden Plate,12:45 pm,1100m,Gosford,Maiden,Soft 5,True,7,Kasumi,Kasumi,Kasumi,3,Dale Wagstaff,Donovan Dillon,57kg,$201,false
1,12:45 pm Dahlsens Midway Maiden Plate,12:45 pm,1100m,Gosford,Maiden,Soft 5,True,8,Love You Anyway,Love You Anyway,Love You Anyway,9,Barry Lawrence Shannen,Llewellyn A3 (a-2),57kg,$9,false
1,12:45 pm Dahlsens Midway Maiden Plate,12:45 pm,1100m,Gosford,Maiden,Soft 5,True,9,Hellflight,Hellflight,Hellflight,4,Richard & Will Freedman,Chad Schofield,55kg,$4.8,false
1,12:45 pm Dahlsens Midway Maiden Plate,12:45 pm,1100m,Gosford,Maiden,Soft 5,True,3,Grunge,Grunge,Grunge,6,,Marc Chevalier,59kg,SCR,true
2,1:20 pm Thymely Food Co. Super Maiden Handicap,1:20 pm,1600m,Gosford,Maiden,Soft 5,True,1,Flying Party,Flying Party,Flying Party,6,Ciaron Maher Shannen,Llewellyn A3 (a-2),60kg,$2.7,false
2,1:20 pm Thymely Food Co. Super Maiden Handicap,1:20 pm,1600m,Gosford,Maiden,Soft 5,True,2,Jonson,Jonson,Jonson,3,Marc & Mitchell Conners,Deanne Panya,59kg,$2.7,false
2,1:20 pm Thymely Food Co. Super Maiden Handicap,1:20 pm,1600m,Gosford,Maiden,Soft 5,True,3,Kharif,Kharif,Kharif,2,Ciaron Maher,Keagan Latham,56.5kg,$4.6,false
2,1:20 pm Thymely Food Co. Super Maiden Handicap,1:20 pm,1600m,Gosford,Maiden,Soft 5,True,4,Ruskana,Ruskana,Ruskana,5,Gai Waterhouse & Adrian Bott,Rachel King,56.5kg,$5.5,false
2,1:20 pm Thymely Food Co. Super Maiden Handicap,1:20 pm,1600m,Gosford,Maiden,Soft 5,True,8,Scoish Maloish,Scoish Maloish,Scoish Maloish,8,Marc & Mitchell Conners,Jessica Taylor,55kg,$15,false
2,1:20 pm Thymely Food Co. Super Maiden Handicap,1:20 pm,1600m,Gosford,Maiden,Soft 5,True,5,Atomic Bomber,Atomic Bomber,Atomic Bomber,4,,Carlos Antonio,55kg,SCR,true
2,1:20 pm Thymely Food Co. Super Maiden Handicap,1:20 pm,1600m,Gosford,Maiden,Soft 5,True,6,Billy Bowlegg,Billy Bowlegg,Billy Bowlegg,1,Paul Niceforo,Jeff Penza,55kg,SCR,true
2,1:20 pm Thymely Food Co. Super Maiden Handicap,1:20 pm,1600m,Gosford,Maiden,Soft 5,True,7,Rock'n On Uptown,Rock'n On Uptown,Rock'n On Uptown,7,Carlos Antonio,Leeshelle Small (a-3),55kg,SCR,true
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,1,Magic Blaze,Magic Blaze,Magic Blaze,6,Jim & Greg Lee,Reece Jones,59kg,$4.2,false
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,4,Nuns Chorus,Nuns Chorus,Nuns Chorus,4,Richard Litt,Jay Ford,56.5kg,$31,false
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,5,Rainbow Charlie,Rainbow Charlie,Rainbow Charlie,1,Brad Widdup,Tommy Berry,56.5kg,$5,false
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,6,Street Jewel,Street Jewel,Street Jewel,13,Brad Widdup,Regan Bayliss,56.5kg,$8,false
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,7,Iambubb,Iambubb,Iambubb,2,Mitchell & Desiree Kearney,Jeff Penza,56kg,$8.5,false
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,8,Pazyryk,Pazyryk,Pazyryk,5,Michael Freedman,Rachel King,56kg,$2.75,false
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,11,Hatsumomo,Hatsumomo,Hatsumomo,9,Joseph Pride,Chad Schofield,55kg,$6,false
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,2,Pharland,Pharland,Pharland,3,Gerald Ryan &,Sterling Alexiou,59kg,SCR,true
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,3,Orange Tsunami,Orange Tsunami,Orange Tsunami,10,Richard &,Will Freedman,58.5kg,SCR,true
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,9,Legacy Prevailed,Legacy Prevailed,Legacy Prevailed,11,,Kristen Buchanan,55.5kg,SCR,true
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,10,Lord Elrond,Lord Elrond,Lord Elrond,12,Tom Charlton,Andrew Adkins,55.5kg,SCR,true
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,12,Hellflight,Hellflight,Hellflight,8,Richard &,Will Freedman,55kg,SCR,true
3,1:55 pm Eve Electrical & Communications 2&3yo Maiden Handicap,1:55 pm,1100m,Gosford,Maiden,Soft 5,True,13,Pacific Diamond,Pacific Diamond,Pacific Diamond,7,Richard & Will Freedman,Ashley Morgan,55kg,SCR,true
4,2:35 pm Elite Sand & Soil Maiden Plate,2:35 pm,1200m,Gosford,Maiden,Soft 5,True,3,Firey Truth,Firey Truth,Firey Truth,5,Kris Lees,Ashley Morgan,59kg,$10,false
