race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Gosford,1,12:45 pm Dahlsens Midway Maiden Plate,1100m,Maiden,Soft 5,True,1,1,Arato,Arato,Arato,7,Edward Cummings,Rachel King,$10,3
R1,Gosford,1,12:45 pm Dahlsens Midway Maiden Plate,1100m,Maiden,Soft 5,True,2,2,Encryptix,Encryptix,Encryptix,5,Gregory McFarlane,Tommy Berry,$2.8,2
R1,Gosford,1,12:45 pm Dahlsens Midway Maiden Plate,1100m,Maiden,Soft 5,True,4,4,Orange Tsunami,Orange Tsunami,Orange Tsunami,2,Richard & Will Freedman,Lee Magorrian,$3.6,4.8
R1,Gosford,1,12:45 pm Dahlsens Midway Maiden Plate,1100m,Maiden,Soft 5,True,5,5,Slam Dunk,Slam Dunk,Slam Dunk,1,Kylie Gavenlock,Mollie Fitzgerald,$17,2.4
R1,Gosford,1,12:45 pm Dahlsens Midway Maiden Plate,1100m,Maiden,Soft 5,True,6,6,Tellurium,Tellurium,Tellurium,8,Richard Litt,Tom Sherry,$5,NA
R1,Gosford,1,12:45 pm Dahlsens Midway Maiden Plate,1100m,Maiden,Soft 5,True,7,7,Kasumi,Kasumi,Kasumi,3,Dale Wagstaff,Donovan Dillon,$91,4.5
R1,Gosford,1,12:45 pm Dahlsens Midway Maiden Plate,1100m,Maiden,Soft 5,True,8,8,Love You Anyway,Love You Anyway,Love You Anyway,9,Barry Lawrence,Shannen Llewellyn (a-2),$11,4.1
R1,Gosford,1,12:45 pm Dahlsens Midway Maiden Plate,1100m,Maiden,Soft 5,True,9,9,Hellflight,Hellflight,Hellflight,4,Richard & Will Freedman,Chad Schofield,$6.5,NA
R2,Gosford,2,1:20 pm Thymely Food Co. Super Maiden Handicap,1600m,Maiden,Soft 5,True,1,1,Flying Party,Flying Party,Flying Party,6,Ciaron Maher,Shannen Llewellyn (a-2),$2.7,5.5
R2,Gosford,2,1:20 pm Thymely Food Co. Super Maiden Handicap,1600m,Maiden,Soft 5,True,2,2,Jonson,Jonson,Jonson,3,Marc & Mitchell Conners,Deanne Panya,$2.6,4.4
R2,Gosford,2,1:20 pm Thymely Food Co. Super Maiden Handicap,1600m,Maiden,Soft 5,True,3,3,Kharif,Kharif,Kharif,2,Ciaron Maher,Keagan Latham,$4.2,5.5
R2,Gosford,2,1:20 pm Thymely Food Co. Super Maiden Handicap,1600m,Maiden,Soft 5,True,4,4,Ruskana,Ruskana,Ruskana,5,Gai Waterhouse & Adrian Bott,Rachel King,$7,2.7
R2,Gosford,2,1:20 pm Thymely Food Co. Super Maiden Handicap,1600m,Maiden,Soft 5,True,5,5,Atomic Bomber,Atomic Bomber,Atomic Bomber,4,,Carlos Antonio,$81,8.7
R2,Gosford,2,1:20 pm Thymely Food Co. Super Maiden Handicap,1600m,Maiden,Soft 5,True,7,7,Rock'n On Uptown,Rock'n On Uptown,Rock'n On Uptown,7,Carlos Antonio,Leeshelle Small (a-3),$31,9.3
