race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Nowra,1,12:35 pm South Coast Retreat Class 3 Handicap,1100m,Class 3,Heavy 8,True,2,2,Bode Akuna,Bode Akuna,Bode Akuna,6,Jason Coyle,Jessica Taylor,$4.4,6.9
R1,Nowra,1,12:35 pm South Coast Retreat Class 3 Handicap,1100m,Class 3,Heavy 8,True,3,3,Overtook,Overtook,Overtook,2,Ciaron Maher,Louise Day,$5.5,3.5
R1,Nowra,1,12:35 pm South Coast Retreat Class 3 Handicap,1100m,Class 3,Heavy 8,True,5,5,Voltage Lass,Voltage Lass,Voltage Lass,1,Danielle Seib,Pierre Boudvillain,$2.4,1.5
R1,Nowra,1,12:35 pm South Coast Retreat Class 3 Handicap,1100m,Class 3,Heavy 8,True,6,6,Bivacco,Bivacco,Bivacco,5,Ciaron Maher,Keagan Latham (a0.5),$5,5
R1,Nowra,1,12:35 pm South Coast Retreat Class 3 Handicap,1100m,Class 3,Heavy 8,True,7,7,Casino Shaw,Casino Shaw,Casino Shaw,7,Shaun Coady,Amy McLucas,$6,2.6
R1,Nowra,1,12:35 pm South Coast Retreat Class 3 Handicap,1100m,Class 3,Heavy 8,True,8,8,Starlight Nation,Starlight Nation,Starlight Nation,8,Amanda Turner,Winona Costin,$34,6.1
R2,Nowra,2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1100m,Maiden,Heavy 8,True,3,3,Vertebra,Vertebra,Vertebra,8,Joe Cleary,Quayde Krogh,$16,5.3
R2,Nowra,2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1100m,Maiden,Heavy 8,True,4,4,Loujen Francaise,Loujen Francaise,Loujen Francaise,1,John Morrison,Emma Ly (a-2),$201,6.8
R2,Nowra,2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1100m,Maiden,Heavy 8,True,5,5,Novel Attraction,Novel Attraction,Novel Attraction,3,Gary Crossley Rebecca,Bronett Prag,$31,7.8
R2,Nowra,2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1100m,Maiden,Heavy 8,True,6,6,Roselily,Roselily,Roselily,2,Scott Collings,Louise Day,$11,2
R2,Nowra,2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1100m,Maiden,Heavy 8,True,7,7,This Ain't Texas,This Ain't Texas,This Ain't Texas,6,Matthew Dale,Keagan Latham,$2.7,3.2
R2,Nowra,2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1100m,Maiden,Heavy 8,True,8,8,Kathleen's Prayer,Kathleen's Prayer,Kathleen's Prayer,4,Norm Gardner,Sairyn Fawke,$10,NA
R2,Nowra,2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1100m,Maiden,Heavy 8,True,9,9,Red Rocquette,Red Rocquette,Red Rocquette,7,Scott Collings,Blaike McDougall (a1),$1.8,NA
R3,Nowra,3,1:50 pm Carpet Court Maiden Plate,1200m,Maiden,Heavy 8,True,2,2,Beyond Reach,Beyond Reach,Beyond Reach,2,Robert & Luke Price,Jay Ford,$17,NA
R3,Nowra,3,1:50 pm Carpet Court Maiden Plate,1200m,Maiden,Heavy 8,True,3,3,Final Spirit,Final Spirit,Final Spirit,3,Theresa Bateup,Jessica Taylor,$6.5,NA
R3,Nowra,3,1:50 pm Carpet Court Maiden Plate,1200m,Maiden,Heavy 8,True,4,4,Gold Earth,Gold Earth,Gold Earth,9,Tommy Wong,Jeff Penza,$4.6,4
R3,Nowra,3,1:50 pm Carpet Court Maiden Plate,1200m,Maiden,Heavy 8,True,6,6,Russian Reign,Russian Reign,Russian Reign,10,Richard Litt Jean,Van Overmeire,$23,4.3
R3,Nowra,3,1:50 pm Carpet Court Maiden Plate,1200m,Maiden,Heavy 8,True,9,9,Grand Carousel,Grand Carousel,Grand Carousel,5,Mitchell Beer & George Carpenter,Adam Farragher,$3.1,10
R3,Nowra,3,1:50 pm Carpet Court Maiden Plate,1200m,Maiden,Heavy 8,True,10,10,Rockthevelio,Rockthevelio,Rockthevelio,1,David Pfieffer,Alysha Collett,$2.4,3.3
R4,Nowra,4,2:25 pm Tige's Tiles Maiden Handicap,1400m,Maiden,Heavy 8,True,1,1,Feazabeel,Feazabeel,Feazabeel,7,Annabel & Rob Archibald,Mollie Fitzgerald,$3,6.8
R4,Nowra,4,2:25 pm Tige's Tiles Maiden Handicap,1400m,Maiden,Heavy 8,True,2,2,Royal And Ready,Royal And Ready,Royal And Ready,5,Matthew Smith,Andrew Calder,$2.9,NA
