race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:35 pm South Coast Retreat Class 3 Handicap,12:35 pm,1100m,Nowra,Class 3,Heavy 8,True,2,Bode Akuna,Bode Akuna,Bode Akuna,6,Jason Coyle,Jessica Taylor,59.5kg,$4.4,false
1,12:35 pm South Coast Retreat Class 3 Handicap,12:35 pm,1100m,Nowra,Class 3,Heavy 8,True,3,Overtook,Overtook,Overtook,2,Ciaron Maher,Louise Day,57kg,$5.5,false
1,12:35 pm South Coast Retreat Class 3 Handicap,12:35 pm,1100m,Nowra,Class 3,Heavy 8,True,5,Voltage Lass,Voltage Lass,Voltage Lass,1,Danielle Seib,Pierre Boudvillain,56.5kg,$2.4,false
1,12:35 pm South Coast Retreat Class 3 Handicap,12:35 pm,1100m,Nowra,Class 3,Heavy 8,True,6,Bivacco,Bivacco,Bivacco,5,Ciaron Maher,Keagan Latham (a0.5),55.5kg,$5,false
1,12:35 pm South Coast Retreat Class 3 Handicap,12:35 pm,1100m,Nowra,Class 3,Heavy 8,True,7,Casino Shaw,Casino Shaw,Casino Shaw,7,Shaun Coady,Amy McLucas,55kg,$6,false
1,12:35 pm South Coast Retreat Class 3 Handicap,12:35 pm,1100m,Nowra,Class 3,Heavy 8,True,8,Starlight Nation,Starlight Nation,Starlight Nation,8,Amanda Turner,Winona Costin,55kg,$34,false
1,12:35 pm South Coast Retreat Class 3 Handicap,12:35 pm,1100m,Nowra,Class 3,Heavy 8,True,1,Margin Call,Margin Call,Margin Call,3,Ciaron Maher,Adam Farragher,61kg,SCR,true
1,12:35 pm South Coast Retreat Class 3 Handicap,12:35 pm,1100m,Nowra,Class 3,Heavy 8,True,4,Maz Kanata,Maz Kanata,Maz Kanata,4,,Jason Coyle,56.5kg,SCR,true
2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1:10 pm,1100m,Nowra,Maiden,Heavy 8,True,3,Vertebra,Vertebra,Vertebra,8,Joe Cleary,Quayde Krogh,59kg,$16,false
2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1:10 pm,1100m,Nowra,Maiden,Heavy 8,True,4,Loujen Francaise,Loujen Francaise,Loujen Francaise,1,John Morrison,Emma Ly (a-2),57kg,$201,false
2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1:10 pm,1100m,Nowra,Maiden,Heavy 8,True,5,Novel Attraction,Novel Attraction,Novel Attraction,3,Gary Crossley Rebecca,Bronett Prag,57kg,$31,false
2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1:10 pm,1100m,Nowra,Maiden,Heavy 8,True,6,Roselily,Roselily,Roselily,2,Scott Collings,Louise Day,57kg,$11,false
2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1:10 pm,1100m,Nowra,Maiden,Heavy 8,True,7,This Ain't Texas,This Ain't Texas,This Ain't Texas,6,Matthew Dale,Keagan Latham,57kg,$2.7,false
2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1:10 pm,1100m,Nowra,Maiden,Heavy 8,True,8,Kathleen's Prayer,Kathleen's Prayer,Kathleen's Prayer,4,Norm Gardner,Sairyn Fawke,55kg,$10,false
2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1:10 pm,1100m,Nowra,Maiden,Heavy 8,True,9,Red Rocquette,Red Rocquette,Red Rocquette,7,Scott Collings,Blaike McDougall (a1),55kg,$1.8,false
2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1:10 pm,1100m,Nowra,Maiden,Heavy 8,True,1,Glenn's Legacy,Glenn's Legacy,Glenn's Legacy,5,Danny Williams,Adrian Layt,59kg,SCR,true
2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,1:10 pm,1100m,Nowra,Maiden,Heavy 8,True,2,Smolenski,Smolenski,Smolenski,9,,Scott Collings,59kg,SCR,true
3,1:50 pm Carpet Court Maiden Plate,1:50 pm,1200m,Nowra,Maiden,Heavy 8,True,2,Beyond Reach,Beyond Reach,Beyond Reach,2,Robert & Luke Price,Jay Ford,59kg,$17,false
