meeting,race_no,finisher_position,position_code,sp,lane_group
Gosford · 2026-06-11,R1,1,8,18,Running Line
Gosford · 2026-06-11,R1,2,34,16,3 Wide
Gosford · 2026-06-11,R1,3,2,2.9,Running Line
Gosford · 2026-06-11,R1,4,4,3.7,Running Line
Gosford · 2026-06-11,R2,1,2,2.8,Running Line
Gosford · 2026-06-11,R2,2,6,31,Running Line
Gosford · 2026-06-11,R2,3,4,7.5,Running Line
Gosford · 2026-06-11,R2,4,3,7,Rail
Gosford · 2026-06-11,R3,1,5,3.1,Rail
Gosford · 2026-06-11,R3,2,4,3.1,Running Line
Gosford · 2026-06-11,R3,3,7,26,Rail
Gosford · 2026-06-11,R3,4,6,4.2,Running Line
Gosford · 2026-06-11,R4,1,6,1.7,Running Line
Gosford · 2026-06-11,R4,2,2,12,Running Line
Gosford · 2026-06-11,R4,3,5,4.8,Rail
Gosford · 2026-06-11,R4,4,8,4.6,Running Line
Gosford · 2026-06-11,R5,1,8,5.5,Running Line
Gosford · 2026-06-11,R5,2,4,5.5,Running Line
Gosford · 2026-06-11,R5,3,6,9,Running Line
Gosford · 2026-06-11,R5,4,9,18,Rail
Gosford · 2026-06-11,R6,1,2,16,Running Line
Gosford · 2026-06-11,R6,2,8,5,Running Line
Gosford · 2026-06-11,R6,3,4,23,Running Line
Gosford · 2026-06-11,R6,4,3,4.6,Rail
Gosford · 2026-06-11,R7,1,1,5,Rail
Gosford · 2026-06-11,R7,2,34,15,3 Wide
Gosford · 2026-06-11,R7,3,4,8.5,Running Line
Gosford · 2026-06-11,R7,4,8,8.5,Running Line
