assessment_key,race_id,race_title,runner_no,horse,barrier,trainer,jockey,odds,positive_json,negative_json,gear_json,wet_body_type,wet_feet,notes,total_positive,total_negative,net,updated_at
R1-2,R1,12:35 pm South Coast Retreat Class 3 Handicap,2,Bode Akuna,6,Jason Coyle,Jessica Taylor,$4.4,{},{},{},,,,0,0,0,
R1-3,R1,12:35 pm South Coast Retreat Class 3 Handicap,3,Overtook,2,Ciaron Maher,Louise Day,$5.5,,,,,,,0,0,0,
R1-5,R1,12:35 pm South Coast Retreat Class 3 Handicap,5,Voltage Lass,1,Danielle Seib,Pierre Boudvillain,$2.4,,,,,,,0,0,0,
R1-6,R1,12:35 pm South Coast Retreat Class 3 Handicap,6,Bivacco,5,Ciaron Maher,Keagan Latham (a0.5),$5,,,,,,,0,0,0,
R1-7,R1,12:35 pm South Coast Retreat Class 3 Handicap,7,Casino Shaw,7,Shaun Coady,Amy McLucas,$6,,,,,,,0,0,0,
R1-8,R1,12:35 pm South Coast Retreat Class 3 Handicap,8,Starlight Nation,8,Amanda Turner,Winona Costin,$34,,,,,,,0,0,0,
R2-3,R2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,3,Vertebra,8,Joe Cleary,Quayde Krogh,$16,,,,,,,0,0,0,
R2-4,R2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,4,Loujen Francaise,1,John Morrison,Emma Ly (a-2),$201,,,,,,,0,0,0,
R2-5,R2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,5,Novel Attraction,3,Gary Crossley Rebecca,Bronett Prag,$31,,,,,,,0,0,0,
R2-6,R2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,6,Roselily,2,Scott Collings,Louise Day,$11,,,,,,,0,0,0,
R2-7,R2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,7,This Ain't Texas,6,Matthew Dale,Keagan Latham,$2.7,,,,,,,0,0,0,
R2-8,R2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,8,Kathleen's Prayer,4,Norm Gardner,Sairyn Fawke,$10,,,,,,,0,0,0,
R2-9,R2,1:10 pm Kel Campbell Fuel Haulage Country Boosted Maiden Plate,9,Red Rocquette,7,Scott Collings,Blaike McDougall (a1),$1.8,,,,,,,0,0,0,
R3-2,R3,1:50 pm Carpet Court Maiden Plate,2,Beyond Reach,2,Robert & Luke Price,Jay Ford,$17,,,,,,,0,0,0,
R3-3,R3,1:50 pm Carpet Court Maiden Plate,3,Final Spirit,3,Theresa Bateup,Jessica Taylor,$6.5,,,,,,,0,0,0,
R3-4,R3,1:50 pm Carpet Court Maiden Plate,4,Gold Earth,9,Tommy Wong,Jeff Penza,$4.6,,,,,,,0,0,0,
R3-6,R3,1:50 pm Carpet Court Maiden Plate,6,Russian Reign,10,Richard Litt Jean,Van Overmeire,$23,,,,,,,0,0,0,
R3-9,R3,1:50 pm Carpet Court Maiden Plate,9,Grand Carousel,5,Mitchell Beer & George Carpenter,Adam Farragher,$3.1,,,,,,,0,0,0,
