meeting,category,group,wins,places,avg_sp,actual_share,expected_share,bias_score,finisher_count,heat_tier,trackside_tag,interpretation
Nowra · 2026-06-15,lane,Rail,5,10,15.09,56.8,60.5,-3.7,15,,,
Nowra · 2026-06-15,lane,Running Line,2,10,13.55,39.2,37,2.2,12,,,
Nowra · 2026-06-15,lane,3 Wide,0,1,7.00,4,2.5,1.5,1,,,
Nowra · 2026-06-15,lane,4 Wide+,0,0,,0,0,0,0,,,
Nowra · 2026-06-15,position,Leader / Front Pair,1,8,7.59,26.6,41,-14.5,9,,,
Nowra · 2026-06-15,position,On Pace,0,0,,0,0,0,0,,,
Nowra · 2026-06-15,position,Midfield,5,4,26.49,39.5,19.8,19.7,9,,,
Nowra · 2026-06-15,position,Backmarker,1,8,9.14,29.9,36.6,-6.7,9,,,
Nowra · 2026-06-15,position,Wide Forward,0,1,7.00,4,2.5,1.5,1,,,
Nowra · 2026-06-15,position,Wide Midfield,0,0,,0,0,0,0,,,
Nowra · 2026-06-15,position,Wide Back,0,0,,0,0,0,0,,,
Nowra · 2026-06-15,composite,Rail Front,,,,16.3,34.3,-18,6,strongNegative,,
Nowra · 2026-06-15,composite,Rail Midfield,,,,21.3,10.2,11.1,4,positive,,
Nowra · 2026-06-15,composite,Rail Back,,,,19.3,16,3.2,5,neutral,,
Nowra · 2026-06-15,composite,Running Line Front,,,,10.3,6.8,3.5,3,neutral,,
Nowra · 2026-06-15,composite,Running Line Midfield,,,,18.3,9.6,8.6,5,positive,,
Nowra · 2026-06-15,composite,Running Line Back,,,,10.6,20.5,-9.9,4,negative,,
Nowra · 2026-06-15,composite,3 Wide Front,,,,4,2.5,1.5,1,insufficient,,
Nowra · 2026-06-15,composite,3 Wide Midfield,,,,0,0,0,0,insufficient,,
Nowra · 2026-06-15,composite,3 Wide Back,,,,0,0,0,0,insufficient,,
Nowra · 2026-06-15,composite,4 Wide+ Front,,,,0,0,0,0,insufficient,,
Nowra · 2026-06-15,composite,4 Wide+ Midfield,,,,0,0,0,0,insufficient,,
Nowra · 2026-06-15,composite,4 Wide+ Back,,,,0,0,0,0,insufficient,,
Nowra · 2026-06-15,conclusion,RAIL MIDFIELD,,,,,,11.1,4,positive,POSITIVE,On the rail in midfield positions are outperforming market expectation.
Nowra · 2026-06-15,conclusion,RUNNING LINE MIDFIELD,,,,,,8.6,5,positive,POSITIVE,Horses settling one-off the fence in midfield positions are outperforming market expectation.
Nowra · 2026-06-15,conclusion,RAIL FRONT,,,,,,-18,6,strongNegative,AVOID,Leaders on the rail are underperforming market expectation.
