meeting,race_no,finisher_position,position_code,sp,lane_group
Nowra · 2026-06-15,R1,1,3,7,Rail
Nowra · 2026-06-15,R1,2,2,7,Running Line
Nowra · 2026-06-15,R1,3,5,4.2,Rail
Nowra · 2026-06-15,R1,4,1,2.3,Rail
Nowra · 2026-06-15,R2,1,4,9,Running Line
Nowra · 2026-06-15,R2,2,5,41,Rail
Nowra · 2026-06-15,R2,3,1,3.7,Rail
Nowra · 2026-06-15,R2,4,6,1.85,Running Line
Nowra · 2026-06-15,R3,1,3,2.8,Rail
Nowra · 2026-06-15,R3,2,6,2.7,Running Line
Nowra · 2026-06-15,R3,3,1,21,Rail
Nowra · 2026-06-15,R3,4,4,17,Running Line
Nowra · 2026-06-15,R4,1,4,3.6,Running Line
Nowra · 2026-06-15,R4,2,32,7,3 Wide
Nowra · 2026-06-15,R4,3,1,4,Rail
Nowra · 2026-06-15,R4,4,3,101,Rail
Nowra · 2026-06-15,R5,1,7,3.7,Rail
Nowra · 2026-06-15,R5,2,10,8.5,Running Line
Nowra · 2026-06-15,R5,3,2,17,Running Line
Nowra · 2026-06-15,R5,4,1,6.5,Rail
Nowra · 2026-06-15,R6,1,1,1.28,Rail
Nowra · 2026-06-15,R6,2,2,5.5,Running Line
Nowra · 2026-06-15,R6,3,9,9,Rail
Nowra · 2026-06-15,R6,4,4,71,Running Line
Nowra · 2026-06-15,R7,1,3,15,Rail
Nowra · 2026-06-15,R7,2,5,3.8,Rail
Nowra · 2026-06-15,R7,3,4,12,Running Line
Nowra · 2026-06-15,R7,4,6,7.5,Running Line
