race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1:15 pm,1200m,Bathurst,Maiden,Heavy 9,True,2,De Joker,De Joker,De Joker,5,Angus Stewart,Chad Lever,59kg,$6,false
1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1:15 pm,1200m,Bathurst,Maiden,Heavy 9,True,3,Argyle Springs,Argyle Springs,Argyle Springs,6,Alison Smith,Grant Buckley,57kg,$6.75,false
1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1:15 pm,1200m,Bathurst,Maiden,Heavy 9,True,4,Don't Say,Don't Say,Don't Say,1,Rodney Northam,Reece Jones,57kg,$2.2,false
1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1:15 pm,1200m,Bathurst,Maiden,Heavy 9,True,5,Odaka,Odaka,Odaka,4,Bob Howe,Jake Pracey-holmes,57kg,$5,false
1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1:15 pm,1200m,Bathurst,Maiden,Heavy 9,True,6,Pallene,Pallene,Pallene,2,Gayna Williams,Adam Farragher,57kg,$41,false
1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1:15 pm,1200m,Bathurst,Maiden,Heavy 9,True,7,Smokin' Genie,Smokin' Genie,Smokin' Genie,3,Melissa Harrison,Clayton Gallagher,57kg,$7,false
1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1:15 pm,1200m,Bathurst,Maiden,Heavy 9,True,1,Black Dynasty,Black Dynasty,Black Dynasty,6,,Michael Mulholland,59kg,SCR,true
1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1:15 pm,1200m,Bathurst,Maiden,Heavy 9,True,8,Spunky Reward,Spunky Reward,Spunky Reward,8,,Melissa Harrison,57kg,SCR,true
2,1:55 pm Captain Thunderbolt Maiden Plate,1:55 pm,1400m,Bathurst,Maiden,Heavy 9,True,1,Forwarding,Forwarding,Forwarding,4,Garry Lunn,Jacob Stiff (a-2),59kg,$6,false
2,1:55 pm Captain Thunderbolt Maiden Plate,1:55 pm,1400m,Bathurst,Maiden,Heavy 9,True,2,Italus,Italus,Italus,9,Angus Stewart,Reece Jones,59kg,$7.5,false
2,1:55 pm Captain Thunderbolt Maiden Plate,1:55 pm,1400m,Bathurst,Maiden,Heavy 9,True,3,Wizard's Star,Wizard's Star,Wizard's Star,1,Edward Cummings,Lee Magorrian,59kg,$4.4,false
2,1:55 pm Captain Thunderbolt Maiden Plate,1:55 pm,1400m,Bathurst,Maiden,Heavy 9,True,4,Zaddicted,Zaddicted,Zaddicted,5,Claire Lever,Amy McLucas,59kg,$71,false
2,1:55 pm Captain Thunderbolt Maiden Plate,1:55 pm,1400m,Bathurst,Maiden,Heavy 9,True,5,Follow That Dream,Follow That Dream,Follow That Dream,2,Jarrod Austin,Jake Pracey-holmes,57kg,$34,false
2,1:55 pm Captain Thunderbolt Maiden Plate,1:55 pm,1400m,Bathurst,Maiden,Heavy 9,True,8,Michonne's Katana,Michonne's Katana,Michonne's Katana,3,Gerald Ryan & Sterling Alexiou,Grant Buckley,57kg,$2.2,false
2,1:55 pm Captain Thunderbolt Maiden Plate,1:55 pm,1400m,Bathurst,Maiden,Heavy 9,True,9,Miss Peony,Miss Peony,Miss Peony,8,Sharon Jeffries,Mikayla Weir,57kg,$7,false
2,1:55 pm Captain Thunderbolt Maiden Plate,1:55 pm,1400m,Bathurst,Maiden,Heavy 9,True,6,Go Baby,Go Baby,Go Baby,6,Kylie Kennedy,Clayton Gallagher,57kg,SCR,true
2,1:55 pm Captain Thunderbolt Maiden Plate,1:55 pm,1400m,Bathurst,Maiden,Heavy 9,True,7,I Am Overs,I Am Overs,I Am Overs,7,Annabel & Rob Archibald Heavelon Van,Der Hoven,57kg,SCR,true
3,2:35 pm Central West Smoke Alarms Benchmark 58 Handicap,2:35 pm,2000m,Bathurst,BM58,Heavy 9,True,2,Casterly Rock,Casterly Rock,Casterly Rock,5,Todd Smith,Liam Blanch,60kg,$12,false
3,2:35 pm Central West Smoke Alarms Benchmark 58 Handicap,2:35 pm,2000m,Bathurst,BM58,Heavy 9,True,3,Lucky Star,Lucky Star,Lucky Star,1,Claire Lever,Amy McLucas,59.5kg,$7,false
