race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Bathurst,1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1200m,Maiden,Heavy 9,True,2,2,De Joker,De Joker,De Joker,5,Angus Stewart,Chad Lever,$6,4
R1,Bathurst,1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1200m,Maiden,Heavy 9,True,3,3,Argyle Springs,Argyle Springs,Argyle Springs,6,Alison Smith,Grant Buckley,$6.75,8.3
R1,Bathurst,1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1200m,Maiden,Heavy 9,True,4,4,Don't Say,Don't Say,Don't Say,1,Rodney Northam,Reece Jones,$2.2,4.8
R1,Bathurst,1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1200m,Maiden,Heavy 9,True,5,5,Odaka,Odaka,Odaka,4,Bob Howe,Jake Pracey-holmes,$5,4.6
R1,Bathurst,1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1200m,Maiden,Heavy 9,True,6,6,Pallene,Pallene,Pallene,2,Gayna Williams,Adam Farragher,$41,5.2
R1,Bathurst,1,"1:15 pm Bathurst Ag, Horse & Pet Country Boosted Maiden Plate",1200m,Maiden,Heavy 9,True,7,7,Smokin' Genie,Smokin' Genie,Smokin' Genie,3,Melissa Harrison,Clayton Gallagher,$7,5.5
R2,Bathurst,2,1:55 pm Captain Thunderbolt Maiden Plate,1400m,Maiden,Heavy 9,True,1,1,Forwarding,Forwarding,Forwarding,4,Garry Lunn,Jacob Stiff (a-2),$6,8
R2,Bathurst,2,1:55 pm Captain Thunderbolt Maiden Plate,1400m,Maiden,Heavy 9,True,2,2,Italus,Italus,Italus,9,Angus Stewart,Reece Jones,$7.5,3
R2,Bathurst,2,1:55 pm Captain Thunderbolt Maiden Plate,1400m,Maiden,Heavy 9,True,3,3,Wizard's Star,Wizard's Star,Wizard's Star,1,Edward Cummings,Lee Magorrian,$4.4,8.2
R2,Bathurst,2,1:55 pm Captain Thunderbolt Maiden Plate,1400m,Maiden,Heavy 9,True,4,4,Zaddicted,Zaddicted,Zaddicted,5,Claire Lever,Amy McLucas,$71,5.8
R2,Bathurst,2,1:55 pm Captain Thunderbolt Maiden Plate,1400m,Maiden,Heavy 9,True,5,5,Follow That Dream,Follow That Dream,Follow That Dream,2,Jarrod Austin,Jake Pracey-holmes,$34,10
R2,Bathurst,2,1:55 pm Captain Thunderbolt Maiden Plate,1400m,Maiden,Heavy 9,True,8,8,Michonne's Katana,Michonne's Katana,Michonne's Katana,3,Gerald Ryan & Sterling Alexiou,Grant Buckley,$2.2,8.2
R2,Bathurst,2,1:55 pm Captain Thunderbolt Maiden Plate,1400m,Maiden,Heavy 9,True,9,9,Miss Peony,Miss Peony,Miss Peony,8,Sharon Jeffries,Mikayla Weir,$7,4.2
R3,Bathurst,3,2:35 pm Central West Smoke Alarms Benchmark 58 Handicap,2000m,BM58,Heavy 9,True,2,2,Casterly Rock,Casterly Rock,Casterly Rock,5,Todd Smith,Liam Blanch,$12,5.9
