meeting,race_no,finisher_position,position_code,sp,lane_group
canterbury · 2026-06-17,R1,1,3,6.5,Rail
canterbury · 2026-06-17,R1,2,5,71,Rail
canterbury · 2026-06-17,R1,3,1,3.5,Rail
canterbury · 2026-06-17,R1,4,4,3.5,Running Line
canterbury · 2026-06-17,R2,1,1,3.2,Rail
canterbury · 2026-06-17,R2,2,5,4,Rail
canterbury · 2026-06-17,R2,3,3,3.9,Rail
canterbury · 2026-06-17,R2,4,4,9.5,Running Line
canterbury · 2026-06-17,R3,1,3,2.5,Rail
canterbury · 2026-06-17,R3,2,7,11,Rail
canterbury · 2026-06-17,R3,3,5,7,Rail
canterbury · 2026-06-17,R3,4,2,4.8,Running Line
canterbury · 2026-06-17,R4,1,1,12.5,Rail
canterbury · 2026-06-17,R4,2,5,2.1,Rail
canterbury · 2026-06-17,R4,3,6,26,Running Line
canterbury · 2026-06-17,R4,4,4,4.8,Running Line
canterbury · 2026-06-17,R5,1,3,2.8,Rail
canterbury · 2026-06-17,R5,2,1,51,Rail
canterbury · 2026-06-17,R5,3,5,7,Rail
canterbury · 2026-06-17,R5,4,2,7,Running Line
canterbury · 2026-06-17,R6,1,1,5.5,Rail
canterbury · 2026-06-17,R6,2,3,14,Rail
canterbury · 2026-06-17,R6,3,5,5,Rail
canterbury · 2026-06-17,R6,4,9,4,Rail
canterbury · 2026-06-17,R7,1,6,8.5,Running Line
canterbury · 2026-06-17,R7,2,9,3,Rail
canterbury · 2026-06-17,R7,3,2,12,Running Line
canterbury · 2026-06-17,R7,4,1,9,Rail
