meeting,race_no,finisher_position,position_code,sp,lane_group
Gosford · 2026-06-18,R1,1,1,5,Rail
Gosford · 2026-06-18,R1,2,2,3,Running Line
Gosford · 2026-06-18,R1,3,8,9.5,Running Line
Gosford · 2026-06-18,R1,4,6,6.5,Running Line
Gosford · 2026-06-18,R2,1,8,3.3,Running Line
Gosford · 2026-06-18,R2,2,4,7,Running Line
Gosford · 2026-06-18,R2,3,4,6.5,Running Line
Gosford · 2026-06-18,R2,4,2,19,Running Line
Gosford · 2026-06-18,R3,1,2,1.7,Running Line
Gosford · 2026-06-18,R3,2,1,2.8,Rail
Gosford · 2026-06-18,R3,3,4,13,Running Line
Gosford · 2026-06-18,R3,4,5,10,Rail
Gosford · 2026-06-18,R4,1,9,3.6,Rail
Gosford · 2026-06-18,R4,2,8,3.3,Running Line
Gosford · 2026-06-18,R4,3,3,2.8,Rail
Gosford · 2026-06-18,R4,4,6,34,Running Line
Gosford · 2026-06-18,R5,1,8,3.8,Running Line
Gosford · 2026-06-18,R5,2,7,15,Rail
Gosford · 2026-06-18,R5,3,1,8,Rail
Gosford · 2026-06-18,R5,4,10,17,Running Line
Gosford · 2026-06-18,R6,1,1,3,Rail
Gosford · 2026-06-18,R6,2,2,3,Running Line
Gosford · 2026-06-18,R6,3,3,3.6,Rail
Gosford · 2026-06-18,R6,4,8,31,Running Line
Gosford · 2026-06-18,R7,1,4,3,Running Line
Gosford · 2026-06-18,R7,2,2,6.5,Running Line
Gosford · 2026-06-18,R7,3,8,6,Running Line
Gosford · 2026-06-18,R7,4,1,5,Rail
Gosford · 2026-06-18,R8,1,6,3.5,Running Line
Gosford · 2026-06-18,R8,2,2,11,Running Line
Gosford · 2026-06-18,R8,3,7,26,Rail
Gosford · 2026-06-18,R8,4,9,26,Rail
