meeting,category,group,wins,places,avg_sp,actual_share,expected_share,bias_score,finisher_count,heat_tier,trackside_tag,interpretation
Hawkesbury · 2026-06-23,lane,Rail,3,11,10.63,42.4,42.5,-0.1,14,,,
Hawkesbury · 2026-06-23,lane,Running Line,5,11,14.62,52,54.8,-2.7,16,,,
Hawkesbury · 2026-06-23,lane,3 Wide,0,2,16.00,5.5,2.7,2.8,2,,,
Hawkesbury · 2026-06-23,lane,4 Wide+,0,0,,0,0,0,0,,,
Hawkesbury · 2026-06-23,position,Leader / Front Pair,1,8,8.07,26.2,29.8,-3.6,9,,,
Hawkesbury · 2026-06-23,position,On Pace,0,1,7.00,1.2,2.5,-1.3,1,,,
Hawkesbury · 2026-06-23,position,Midfield,4,8,16.91,41.3,48.9,-7.6,12,,,
Hawkesbury · 2026-06-23,position,Backmarker,3,5,12.53,25.9,16.2,9.7,8,,,
Hawkesbury · 2026-06-23,position,Wide Forward,0,0,,0,0,0,0,,,
Hawkesbury · 2026-06-23,position,Wide Midfield,0,2,16.00,5.5,2.7,2.8,2,,,
Hawkesbury · 2026-06-23,position,Wide Back,0,0,,0,0,0,0,,,
Hawkesbury · 2026-06-23,composite,Rail Front,,,,10.2,8.8,1.4,4,neutral,,
Hawkesbury · 2026-06-23,composite,Rail Midfield,,,,14.5,22.9,-8.4,5,negative,,
Hawkesbury · 2026-06-23,composite,Rail Back,,,,17.7,10.9,6.9,5,neutral,,
Hawkesbury · 2026-06-23,composite,Running Line Front,,,,17.2,23.5,-6.3,6,neutral,,
Hawkesbury · 2026-06-23,composite,Running Line Midfield,,,,26.7,26,0.8,7,neutral,,
Hawkesbury · 2026-06-23,composite,Running Line Back,,,,8.1,5.3,2.8,3,neutral,,
Hawkesbury · 2026-06-23,composite,3 Wide Front,,,,0,0,0,0,insufficient,,
Hawkesbury · 2026-06-23,composite,3 Wide Midfield,,,,5.5,2.7,2.8,2,insufficient,,
Hawkesbury · 2026-06-23,composite,3 Wide Back,,,,0,0,0,0,insufficient,,
Hawkesbury · 2026-06-23,composite,4 Wide+ Front,,,,0,0,0,0,insufficient,,
Hawkesbury · 2026-06-23,composite,4 Wide+ Midfield,,,,0,0,0,0,insufficient,,
Hawkesbury · 2026-06-23,composite,4 Wide+ Back,,,,0,0,0,0,insufficient,,
Hawkesbury · 2026-06-23,conclusion,RAIL BACK,,,,,,6.9,5,neutral,NEUTRAL,On the rail from backmarker positions are outperforming market expectation.
Hawkesbury · 2026-06-23,conclusion,RUNNING LINE BACK,,,,,,2.8,3,neutral,NEUTRAL,Horses on the running line from backmarker positions are performing slightly above market expectation.
Hawkesbury · 2026-06-23,conclusion,RAIL MIDFIELD,,,,,,-8.4,5,negative,AVOID,On the rail in midfield positions are underperforming market expectation.
