meeting,race_no,finisher_position,position_code,sp,lane_group
Hawkesbury · 2026-06-23,R1,1,4,1.7,Running Line
Hawkesbury · 2026-06-23,R1,2,2,7,Running Line
Hawkesbury · 2026-06-23,R1,3,5,13,Rail
Hawkesbury · 2026-06-23,R1,4,3,4.4,Rail
Hawkesbury · 2026-06-23,R2,1,9,7.5,Rail
Hawkesbury · 2026-06-23,R2,2,4,19,Running Line
Hawkesbury · 2026-06-23,R2,3,7,3.2,Rail
Hawkesbury · 2026-06-23,R2,4,8,21,Running Line
Hawkesbury · 2026-06-23,R3,1,5,23,Rail
Hawkesbury · 2026-06-23,R3,2,3,23,Rail
Hawkesbury · 2026-06-23,R3,3,2,1.7,Running Line
Hawkesbury · 2026-06-23,R3,4,1,6,Rail
Hawkesbury · 2026-06-23,R4,1,3,1.75,Rail
Hawkesbury · 2026-06-23,R4,2,4,21,Running Line
Hawkesbury · 2026-06-23,R4,3,34,23,3 Wide
Hawkesbury · 2026-06-23,R4,4,2,8.5,Running Line
Hawkesbury · 2026-06-23,R5,1,6,101,Running Line
Hawkesbury · 2026-06-23,R5,2,34,9,3 Wide
Hawkesbury · 2026-06-23,R5,3,5,9.5,Rail
Hawkesbury · 2026-06-23,R5,4,8,8,Running Line
Hawkesbury · 2026-06-23,R6,1,6,1.85,Running Line
Hawkesbury · 2026-06-23,R6,2,2,4.6,Running Line
Hawkesbury · 2026-06-23,R6,3,1,21,Rail
Hawkesbury · 2026-06-23,R6,4,4,7,Running Line
Hawkesbury · 2026-06-23,R7,1,12,7.5,Running Line
Hawkesbury · 2026-06-23,R7,2,1,4.8,Rail
Hawkesbury · 2026-06-23,R7,3,9,17,Rail
Hawkesbury · 2026-06-23,R7,4,6,6,Running Line
Hawkesbury · 2026-06-23,R8,1,2,7,Running Line
Hawkesbury · 2026-06-23,R8,2,1,12,Rail
Hawkesbury · 2026-06-23,R8,3,5,2.7,Rail
Hawkesbury · 2026-06-23,R8,4,6,11,Running Line
