meeting,category,group,wins,places,avg_sp,actual_share,expected_share,bias_score,finisher_count,heat_tier,trackside_tag,interpretation
Randwick · 2026-06-20,lane,Rail,4,21,19.31,59.3,55.1,4.2,25,,,
Randwick · 2026-06-20,lane,Running Line,4,8,9.23,30.5,30.6,-0.1,12,,,
Randwick · 2026-06-20,lane,3 Wide,2,1,3.43,10.2,14.3,-4,3,,,
Randwick · 2026-06-20,lane,4 Wide+,0,0,,0,0,0,0,,,
Randwick · 2026-06-20,position,Leader / Front Pair,1,9,12.32,24.4,19,5.5,10,,,
Randwick · 2026-06-20,position,On Pace,2,7,5.28,21.6,36.9,-15.3,9,,,
Randwick · 2026-06-20,position,Midfield,5,10,23.75,40.2,27.1,13.1,15,,,
Randwick · 2026-06-20,position,Backmarker,0,3,22.17,3.5,2.7,0.7,3,,,
Randwick · 2026-06-20,position,Wide Forward,1,0,1.50,4.7,8.3,-3.6,1,,,
Randwick · 2026-06-20,position,Wide Midfield,1,1,4.40,5.6,6,-0.4,2,,,
Randwick · 2026-06-20,position,Wide Back,0,0,,0,0,0,0,,,
Randwick · 2026-06-20,composite,Rail Front,,,,31.4,39.4,-8,14,negative,,
Randwick · 2026-06-20,composite,Rail Midfield,,,,25.3,13.5,11.9,9,positive,,
Randwick · 2026-06-20,composite,Rail Back,,,,2.6,2.3,0.3,2,insufficient,,
Randwick · 2026-06-20,composite,Running Line Front,,,,14.7,16.5,-1.9,5,neutral,,
Randwick · 2026-06-20,composite,Running Line Midfield,,,,14.9,13.6,1.3,6,neutral,,
Randwick · 2026-06-20,composite,Running Line Back,,,,0.9,0.5,0.5,1,insufficient,,
Randwick · 2026-06-20,composite,3 Wide Front,,,,4.7,8.3,-3.6,1,insufficient,,
Randwick · 2026-06-20,composite,3 Wide Midfield,,,,5.6,6,-0.4,2,insufficient,,
Randwick · 2026-06-20,composite,3 Wide Back,,,,0,0,0,0,insufficient,,
Randwick · 2026-06-20,composite,4 Wide+ Front,,,,0,0,0,0,insufficient,,
Randwick · 2026-06-20,composite,4 Wide+ Midfield,,,,0,0,0,0,insufficient,,
Randwick · 2026-06-20,composite,4 Wide+ Back,,,,0,0,0,0,insufficient,,
Randwick · 2026-06-20,conclusion,RAIL MIDFIELD,,,,,,11.9,9,positive,POSITIVE,On the rail in midfield positions are outperforming market expectation.
Randwick · 2026-06-20,conclusion,RUNNING LINE MIDFIELD,,,,,,1.3,6,neutral,NEUTRAL,Horses settling one-off the fence in midfield positions are outperforming market expectation.
Randwick · 2026-06-20,conclusion,RAIL FRONT,,,,,,-8,14,negative,AVOID,Leaders on the rail are underperforming market expectation.
