meeting,race_no,finisher_position,position_code,sp,lane_group
Randwick · 2026-06-20,R1,1,4,3,Running Line
Randwick · 2026-06-20,R1,2,5,4.8,Rail
Randwick · 2026-06-20,R1,3,11,34,Rail
Randwick · 2026-06-20,R1,4,3,1,Rail
Randwick · 2026-06-20,R2,1,5,6.5,Rail
Randwick · 2026-06-20,R2,2,6,2.6,Running Line
Randwick · 2026-06-20,R2,3,1,12,Rail
Randwick · 2026-06-20,R2,4,8,13,Running Line
Randwick · 2026-06-20,R3,1,1,6,Rail
Randwick · 2026-06-20,R3,2,3,5,Rail
Randwick · 2026-06-20,R3,3,5,31,Rail
Randwick · 2026-06-20,R3,4,4,10,Running Line
Randwick · 2026-06-20,R4,1,4,19,Running Line
Randwick · 2026-06-20,R4,2,1,5.5,Rail
Randwick · 2026-06-20,R4,3,3,11,Rail
Randwick · 2026-06-20,R4,4,1,1.75,Rail
Randwick · 2026-06-20,R5,1,7,126,Rail
Randwick · 2026-06-20,R5,2,3,3.5,Rail
Randwick · 2026-06-20,R5,3,1,8,Rail
Randwick · 2026-06-20,R5,4,4,2.25,Running Line
Randwick · 2026-06-20,R6,1,4,3.9,Running Line
Randwick · 2026-06-20,R6,2,3,5.5,Rail
Randwick · 2026-06-20,R6,3,5,41,Rail
Randwick · 2026-06-20,R6,4,8,10,Running Line
Randwick · 2026-06-20,R7,1,32,1.5,3 Wide
Randwick · 2026-06-20,R7,2,2,14,Running Line
Randwick · 2026-06-20,R7,3,1,41,Rail
Randwick · 2026-06-20,R7,4,35,5.5,3 Wide
Randwick · 2026-06-20,R8,1,7,2.8,Rail
Randwick · 2026-06-20,R8,2,1,7,Rail
Randwick · 2026-06-20,R8,3,3,19,Rail
Randwick · 2026-06-20,R8,4,10,26,Running Line
Randwick · 2026-06-20,R9,1,6,2.6,Running Line
Randwick · 2026-06-20,R9,2,1,19,Rail
Randwick · 2026-06-20,R9,3,3,5,Rail
Randwick · 2026-06-20,R9,4,7,71,Rail
Randwick · 2026-06-20,R10,1,36,3.3,3 Wide
Randwick · 2026-06-20,R10,2,1,9,Rail
Randwick · 2026-06-20,R10,3,4,4.4,Running Line
Randwick · 2026-06-20,R10,4,9,6.5,Rail
