race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:50 pm Hyland Race Colours Handicap,12:50 pm,1100m,Warwick Farm,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",1,Pin Up Sheila,Pin Up Sheila,Pin Up Sheila,3,Tom Charlton,Dylan Gibbons,58kg,$2.6,false
1,12:50 pm Hyland Race Colours Handicap,12:50 pm,1100m,Warwick Farm,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",2,Scuro Star,Scuro Star,Scuro Star,7,Peter Snowden,Andrew Adkins,57.5kg,$7,false
1,12:50 pm Hyland Race Colours Handicap,12:50 pm,1100m,Warwick Farm,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",3,Sambuca Sky,Sambuca Sky,Sambuca Sky,2,Nathan Doyle,Ashley Morgan,56.5kg,$5,false
1,12:50 pm Hyland Race Colours Handicap,12:50 pm,1100m,Warwick Farm,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",5,Bonvoy,Bonvoy,Bonvoy,4,Peter Snowden,Tom Sherry,56kg,$4.6,false
1,12:50 pm Hyland Race Colours Handicap,12:50 pm,1100m,Warwick Farm,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",7,Posh Pommery,Posh Pommery,Posh Pommery,5,Chris Waller,Tommy Berry,56kg,$10,false
1,12:50 pm Hyland Race Colours Handicap,12:50 pm,1100m,Warwick Farm,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",9,Tatiana,Tatiana,Tatiana,6,Gary Portelli,Alysha Collett,55.5kg,$9,false
1,12:50 pm Hyland Race Colours Handicap,12:50 pm,1100m,Warwick Farm,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",10,Lady Beauvoir,Lady Beauvoir,Lady Beauvoir,1,Edward Cummings,Adam Farragher,55kg,$201,false
1,12:50 pm Hyland Race Colours Handicap,12:50 pm,1100m,Warwick Farm,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",4,Billecart Blue,Billecart Blue,Billecart Blue,8,Chris Waller,Siena Grima (a-2),56kg,SCR,true
1,12:50 pm Hyland Race Colours Handicap,12:50 pm,1100m,Warwick Farm,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",6,Cafe Reine,Cafe Reine,Cafe Reine,9,Chris Waller,Kerrin McEvoy,56kg,SCR,true
1,12:50 pm Hyland Race Colours Handicap,12:50 pm,1100m,Warwick Farm,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",8,Snitzel's Girl,Snitzel's Girl,Snitzel's Girl,10,Chris Waller,Tyler Schiller,56kg,SCR,true
