race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir
R1,Warwick Farm,1,12:50 pm Hyland Race Colours Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",1,1,Pin Up Sheila,Pin Up Sheila,Pin Up Sheila,3,Tom Charlton,Dylan Gibbons,$2.6,1
R1,Warwick Farm,1,12:50 pm Hyland Race Colours Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",2,2,Scuro Star,Scuro Star,Scuro Star,7,Peter Snowden,Andrew Adkins,$7,4
R1,Warwick Farm,1,12:50 pm Hyland Race Colours Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",3,3,Sambuca Sky,Sambuca Sky,Sambuca Sky,2,Nathan Doyle,Ashley Morgan,$5,1
R1,Warwick Farm,1,12:50 pm Hyland Race Colours Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",5,5,Bonvoy,Bonvoy,Bonvoy,4,Peter Snowden,Tom Sherry,$4.6,NA
R1,Warwick Farm,1,12:50 pm Hyland Race Colours Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",7,7,Posh Pommery,Posh Pommery,Posh Pommery,5,Chris Waller,Tommy Berry,$10,NA
R1,Warwick Farm,1,12:50 pm Hyland Race Colours Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",9,9,Tatiana,Tatiana,Tatiana,6,Gary Portelli,Alysha Collett,$9,8.5
R1,Warwick Farm,1,12:50 pm Hyland Race Colours Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",10,10,Lady Beauvoir,Lady Beauvoir,Lady Beauvoir,1,Edward Cummings,Adam Farragher,$201,10
R2,Warwick Farm,2,1:25 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",2,2,Dubious Express,Dubious Express,Dubious Express,6,Richard & Will Freedman,Keagan Latham,$12,8
R2,Warwick Farm,2,1:25 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",4,4,I'm Relevant,I'm Relevant,I'm Relevant,1,John Thompson,Dylan Gibbons,$20,NA
R2,Warwick Farm,2,1:25 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",6,6,Letters Patent,Letters Patent,Letters Patent,8,Chris Waller,Chad Schofield,$10,NA
R2,Warwick Farm,2,1:25 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",7,7,Omolong,Omolong,Omolong,4,Chris Waller,Tommy Berry,$1.9,NA
R2,Warwick Farm,2,1:25 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",8,8,Rebel Shield,Rebel Shield,Rebel Shield,5,Gary Portelli,Alysha Collett,$41,NA
R2,Warwick Farm,2,1:25 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",9,9,Sanctum,Sanctum,Sanctum,3,Chris Waller,Siena Grima (a-2),$18,NA
R2,Warwick Farm,2,1:25 pm Asahi Super Dry Handicap,1100m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",10,10,Spain,Spain,Spain,2,Gai Waterhouse & Adrian Bott,Tim Clark,$2.9,NA
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",1,1,Crossways,Crossways,Crossways,12,Mick Price & Michael Kent Jnr,Dylan Gibbons,$2.25,NA
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",2,2,Indigo Star,Indigo Star,Indigo Star,6,Chris Waller,Siena Grima (a-2),$41,4.6
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",4,4,Kalim,Kalim,Kalim,10,Jim & Greg Lee,Nash Rawiller,$21,NA
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",5,5,Noble Pride,Noble Pride,Noble Pride,7,Joseph Pride,Adam Hyeronimus,$61,NA
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",6,6,Tellurium,Tellurium,Tellurium,13,Richard Litt,Tom Sherry,$126,8
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",7,7,The Agent,The Agent,The Agent,8,Amanda Turner,Adam Farragher,$61,NA
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",8,8,Appin Opal,Appin Opal,Appin Opal,3,David Pfieffer,Tyler Schiller,$61,3.7
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",9,9,Ballet Encore,Ballet Encore,Ballet Encore,14,Bryce Heys,Mollie Fitzgerald (a-3),$41,2
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",10,10,Farfetched,Farfetched,Farfetched,4,Gai Waterhouse & Adrian Bott,Regan Bayliss,$6.25,2.2
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",13,13,Stylish Edition,Stylish Edition,Stylish Edition,2,Chris Waller,Tommy Berry,$201,NA
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",14,14,Touching Hans,Touching Hans,Touching Hans,1,Matthew Smith,Jay Ford,$61,8
R3,Warwick Farm,3,2:00 pm Drinkwise Plate,1100m,Maiden,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",15,15,Zoufame,Zoufame,Zoufame,5,Bjorn Baker,Kerrin McEvoy,$2.45,8.7
R4,Warwick Farm,4,2:35 pm Exceedance @ Vinery Stud Handicap,1600m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",1,1,Hot Bandit,Hot Bandit,Hot Bandit,7,Luke Pepper,Claire Ramsbotham (a-3),$10,7.3
R4,Warwick Farm,4,2:35 pm Exceedance @ Vinery Stud Handicap,1600m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",2,2,Tazaral,Tazaral,Tazaral,1,Annabel & Rob Archibald,Mollie Fitzgerald (a-3),$31,8.4
R4,Warwick Farm,4,2:35 pm Exceedance @ Vinery Stud Handicap,1600m,Handicap,Soft 5,"+5m 1000m- Winning Post, +3m Remainder",4,4,Trapalanda,Trapalanda,Trapalanda,2,Annabel & Rob Archibald,Braith Nock (a-1.5),$3.1,4.4
