race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,probable_weight,hcp_rating,odds,scratched,emergency,source
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,1,MAFIA,MAFIA,MAFIA,2,Mitchell Beer & George Carpenter,Ms Siena Grima (a2/52kg),62kg,60kg,76,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,2,COLD BREW,COLD BREW,COLD BREW,10,Richard & Will Freedman,William Stanley (a3/54.5kg),61kg,58kg,74,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,3,JUST IN TIME,JUST IN TIME,JUST IN TIME,13,Jason Deamer,Adam Hyeronimus,60kg,,76,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,4,PRESIDES,PRESIDES,PRESIDES,6,Mitchell Beer & George Carpenter,Ms Coriah Keatings (a3/51kg),60kg,57kg,72,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,5,CAPE BYRON,CAPE BYRON,CAPE BYRON,4,Marc & Mitchell Conners,Ms Olivia Chambers (a3/50kg),59kg,56kg,70,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,6,THAMES,THAMES,THAMES,7,Gary Portelli,Braith Nock (a1.5/53kg),58.5kg,57kg,73,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,7,MOTHER GOOSE,MOTHER GOOSE,MOTHER GOOSE,0,Gary Portelli,Andrew Adkins,58kg,,72,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,8,HELLOVA NATURE,HELLOVA NATURE,HELLOVA NATURE,9,Kristen Buchanan,Tyler Schiller (late alt),57.5kg,,67,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,9,KOIOS,KOIOS,KOIOS,0,Nacim Dilmi,,57kg,,66,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,10,COSY CORNER,COSY CORNER,COSY CORNER,1,Paul Perry,Ms Shannen Llewellyn (a3/54kg),56.5kg,54kg,69,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,11,ROUSSILLON,ROUSSILLON,ROUSSILLON,3,Clare Collett,Andrew Gibbons (late alt),56.5kg,57.5kg,65,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,12,NULLARBOR JANE,NULLARBOR JANE,NULLARBOR JANE,0,John Sargent,Ms Anna Roper (a2/53kg),54.5kg,52.5kg,66,,true,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,13,EQUILIBRIST,EQUILIBRIST,EQUILIBRIST,12,Kerry Parker,Jay Ford,54.5kg,,61,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,14,SHE SWINGS,SHE SWINGS,SHE SWINGS,5,David Pfieffer,Ms Alysha Collett,53.5kg,,63,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,15,STARINION,STARINION,STARINION,11,Steven Sampson,Ms Rebecca Bronett Prag (a3/52kg),54kg,51kg,58,,false,true,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,16,FELIS CHAUS,FELIS CHAUS,FELIS CHAUS,8,Richard Litt,Ms Mollie Fitzgerald (a3/52kg),52kg,52kg,53,,false,true,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,1,CONCOCTION,CONCOCTION,CONCOCTION,0,Stirling Osland,Ms Mollie Fitzgerald (a3/52kg),60kg,57kg,72,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,2,NAVY BUOY,NAVY BUOY,NAVY BUOY,16,Paul Snowden,Ben Looker,60kg,,72,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,3,DELRICO,DELRICO,DELRICO,0,Jane Clement,Ms Shannen Llewellyn (a3/54kg),58.5kg,55.5kg,69,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,4,HAMMOON SENSATION,HAMMOON SENSATION,HAMMOON SENSATION,0,Rodney Northam,Reece Jones,58.5kg,,69,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,5,GIAPPONESE,GIAPPONESE,GIAPPONESE,15,Stephen & Jordan Lee,Ms Anna Roper (a2/53kg),58kg,56kg,68,,false,false,risa
