race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,1,1,MAFIA,MAFIA,MAFIA,2,Mitchell Beer & George Carpenter,Ms Siena Grima (a2/52kg),,1.9,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,2,2,COLD BREW,COLD BREW,COLD BREW,10,Richard & Will Freedman,William Stanley (a3/54.5kg),,3,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,3,3,JUST IN TIME,JUST IN TIME,JUST IN TIME,13,Jason Deamer,Adam Hyeronimus,,5.5,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,4,4,PRESIDES,PRESIDES,PRESIDES,6,Mitchell Beer & George Carpenter,Ms Coriah Keatings (a3/51kg),,5.3,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,5,5,CAPE BYRON,CAPE BYRON,CAPE BYRON,4,Marc & Mitchell Conners,Ms Olivia Chambers (a3/50kg),,5,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,6,6,THAMES,THAMES,THAMES,7,Gary Portelli,Braith Nock (a1.5/53kg),,7.9,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,7,7,MOTHER GOOSE,MOTHER GOOSE,MOTHER GOOSE,0,Gary Portelli,Andrew Adkins,,,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,8,8,HELLOVA NATURE,HELLOVA NATURE,HELLOVA NATURE,9,Kristen Buchanan,Tyler Schiller (late alt),,5.4,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,9,9,KOIOS,KOIOS,KOIOS,0,Nacim Dilmi,,,,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,10,10,COSY CORNER,COSY CORNER,COSY CORNER,1,Paul Perry,Ms Shannen Llewellyn (a3/54kg),,6.1,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,11,11,ROUSSILLON,ROUSSILLON,ROUSSILLON,3,Clare Collett,Andrew Gibbons (late alt),,6.5,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,13,13,EQUILIBRIST,EQUILIBRIST,EQUILIBRIST,12,Kerry Parker,Jay Ford,,7.2,risa
R1,Rosehill Gardens,1,11:00AM MIDWAY HANDICAP,1300m,Handicap,Soft 6,+6m Entire,14,14,SHE SWINGS,SHE SWINGS,SHE SWINGS,5,David Pfieffer,Ms Alysha Collett,,7.1,risa
