race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,odds,scratched
1,12:10 pm Cafe Nosh Maiden Handicap,12:10 pm,1000m,Taree,Maiden,Heavy 10,True,2,Bring It On Sal,Bring It On Sal,Bring It On Sal,4,Allan Kehoe,Jeff Kehoe,57kg,$31,false
1,12:10 pm Cafe Nosh Maiden Handicap,12:10 pm,1000m,Taree,Maiden,Heavy 10,True,3,Royal Ribbons,Royal Ribbons,Royal Ribbons,2,Paul Kelly,Kacie Adams,57kg,$5.5,false
1,12:10 pm Cafe Nosh Maiden Handicap,12:10 pm,1000m,Taree,Maiden,Heavy 10,True,4,That Piece,That Piece,That Piece,3,Rodney Bailey,Jessica Taylor,57kg,$4.6,false
1,12:10 pm Cafe Nosh Maiden Handicap,12:10 pm,1000m,Taree,Maiden,Heavy 10,True,5,Sideact,Sideact,Sideact,5,Robert Agnew,Olivia Dalton (a-2),56.5kg,$9.5,false
1,12:10 pm Cafe Nosh Maiden Handicap,12:10 pm,1000m,Taree,Maiden,Heavy 10,True,7,Gunna Reign,Gunna Reign,Gunna Reign,6,Dale Wagstaff,Liberty Smyth (a-2),55kg,$11,false
1,12:10 pm Cafe Nosh Maiden Handicap,12:10 pm,1000m,Taree,Maiden,Heavy 10,True,8,Kasumi,Kasumi,Kasumi,1,Dale Wagstaff,Peter Graham (a0.5),55kg,$9.5,false
1,12:10 pm Cafe Nosh Maiden Handicap,12:10 pm,1000m,Taree,Maiden,Heavy 10,True,9,Leuca,Leuca,Leuca,7,Allan Kehoe,Grant Buckley,55kg,$2.5,false
1,12:10 pm Cafe Nosh Maiden Handicap,12:10 pm,1000m,Taree,Maiden,Heavy 10,True,1,Arakoola,Arakoola,Arakoola,4,,Sally Taylor,59kg,SCR,true
1,12:10 pm Cafe Nosh Maiden Handicap,12:10 pm,1000m,Taree,Maiden,Heavy 10,True,6,Star Of Indigo,Star Of Indigo,Star Of Indigo,1,,Damien Lane,56.5kg,SCR,true
2,12:45 pm De Bortoli Country Boosted Maiden Plate,12:45 pm,1250m,Taree,Maiden,Heavy 10,True,2,Expensive Icon,Expensive Icon,Expensive Icon,8,Paul Kelly,Kacie Adams,59kg,$3.1,false
