race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Taree,1,12:10 pm Cafe Nosh Maiden Handicap,1000m,Maiden,Heavy 10,True,2,2,Bring It On Sal,Bring It On Sal,Bring It On Sal,4,Allan Kehoe,Jeff Kehoe,$31,NA,racenet
R1,Taree,1,12:10 pm Cafe Nosh Maiden Handicap,1000m,Maiden,Heavy 10,True,3,3,Royal Ribbons,Royal Ribbons,Royal Ribbons,2,Paul Kelly,Kacie Adams,$5.5,NA,racenet
R1,Taree,1,12:10 pm Cafe Nosh Maiden Handicap,1000m,Maiden,Heavy 10,True,4,4,That Piece,That Piece,That Piece,3,Rodney Bailey,Jessica Taylor,$4.6,NA,racenet
R1,Taree,1,12:10 pm Cafe Nosh Maiden Handicap,1000m,Maiden,Heavy 10,True,5,5,Sideact,Sideact,Sideact,5,Robert Agnew,Olivia Dalton (a-2),$9.5,NA,racenet
R1,Taree,1,12:10 pm Cafe Nosh Maiden Handicap,1000m,Maiden,Heavy 10,True,7,7,Gunna Reign,Gunna Reign,Gunna Reign,6,Dale Wagstaff,Liberty Smyth (a-2),$11,3.8,racenet
R1,Taree,1,12:10 pm Cafe Nosh Maiden Handicap,1000m,Maiden,Heavy 10,True,8,8,Kasumi,Kasumi,Kasumi,1,Dale Wagstaff,Peter Graham (a0.5),$9.5,4.4,racenet
R1,Taree,1,12:10 pm Cafe Nosh Maiden Handicap,1000m,Maiden,Heavy 10,True,9,9,Leuca,Leuca,Leuca,7,Allan Kehoe,Grant Buckley,$2.5,4.5,racenet
R2,Taree,2,12:45 pm De Bortoli Country Boosted Maiden Plate,1250m,Maiden,Heavy 10,True,2,2,Expensive Icon,Expensive Icon,Expensive Icon,8,Paul Kelly,Kacie Adams,$3.1,5,racenet
R2,Taree,2,12:45 pm De Bortoli Country Boosted Maiden Plate,1250m,Maiden,Heavy 10,True,3,3,Gallant Rush,Gallant Rush,Gallant Rush,7,Peter Cheers,Raymond Spokes,$41,6.6,racenet
R2,Taree,2,12:45 pm De Bortoli Country Boosted Maiden Plate,1250m,Maiden,Heavy 10,True,4,4,Mortarman,Mortarman,Mortarman,10,Alicia Willick-mc Donald,Liberty Smyth (a-2),$67,6.3,racenet
R2,Taree,2,12:45 pm De Bortoli Country Boosted Maiden Plate,1250m,Maiden,Heavy 10,True,5,5,My Nicconi Boy,My Nicconi Boy,My Nicconi Boy,5,Cecilia Reid,Mikayla Weir,$41,5.8,racenet
R2,Taree,2,12:45 pm De Bortoli Country Boosted Maiden Plate,1250m,Maiden,Heavy 10,True,6,6,Nulkaba Star,Nulkaba Star,Nulkaba Star,11,Jeremy Sylvester,Shannen Llewellyn,$2.5,4.3,racenet
R2,Taree,2,12:45 pm De Bortoli Country Boosted Maiden Plate,1250m,Maiden,Heavy 10,True,10,10,Fashion Spree,Fashion Spree,Fashion Spree,1,Terry Evans,Grant Buckley,$4,5.8,racenet
R2,Taree,2,12:45 pm De Bortoli Country Boosted Maiden Plate,1250m,Maiden,Heavy 10,True,12,12,Sparkle Socks,Sparkle Socks,Sparkle Socks,4,Carlos Antonio,Jeff Kehoe,$51,1.7,racenet
R2,Taree,2,12:45 pm De Bortoli Country Boosted Maiden Plate,1250m,Maiden,Heavy 10,True,13,13,Sunny Quarters,Sunny Quarters,Sunny Quarters,2,Matthew Robinson,Teighan Worsnop,$8.5,4,racenet
R3,Taree,3,1:20 pm Tradies Day August 14 Maiden Handicap,1400m,Maiden,Heavy 10,True,1,1,Hold My Drink,Hold My Drink,Hold My Drink,5,Paul Snowden,Ben Looker,$2.9,2.4,racenet
R3,Taree,3,1:20 pm Tradies Day August 14 Maiden Handicap,1400m,Maiden,Heavy 10,True,2,2,Montana Dream,Montana Dream,Montana Dream,4,Allan Kehoe,Jessica Taylor,$126,NA,racenet
R3,Taree,3,1:20 pm Tradies Day August 14 Maiden Handicap,1400m,Maiden,Heavy 10,True,3,3,Firey Truth,Firey Truth,Firey Truth,3,Kris Lees,Aaron Bullock,$5.5,5.9,racenet
R3,Taree,3,1:20 pm Tradies Day August 14 Maiden Handicap,1400m,Maiden,Heavy 10,True,4,4,Battle Scars,Battle Scars,Battle Scars,6,Alicia Willick-mc Donald,Kacie Adams,$81,8,racenet
R3,Taree,3,1:20 pm Tradies Day August 14 Maiden Handicap,1400m,Maiden,Heavy 10,True,5,5,Oh My Oh My,Oh My Oh My,Oh My Oh My,15,Kris Lees,William Stanley,$8,8,racenet
R3,Taree,3,1:20 pm Tradies Day August 14 Maiden Handicap,1400m,Maiden,Heavy 10,True,6,6,Zavino,Zavino,Zavino,10,Peter Cheers,Grady Spokes (a-2),$201,4.7,racenet
R3,Taree,3,1:20 pm Tradies Day August 14 Maiden Handicap,1400m,Maiden,Heavy 10,True,11,11,Czech Her Out,Czech Her Out,Czech Her Out,8,Tracey Bartley,Shannen Llewellyn,$7,5.6,racenet
R3,Taree,3,1:20 pm Tradies Day August 14 Maiden Handicap,1400m,Maiden,Heavy 10,True,13,13,Bollente Bella,Bollente Bella,Bollente Bella,11,Kris Lees,Andrew Gibbons,$3.25,3.3,racenet
R3,Taree,3,1:20 pm Tradies Day August 14 Maiden Handicap,1400m,Maiden,Heavy 10,True,14,14,The Big Ticket,The Big Ticket,The Big Ticket,2,Tom Higgins,Leanne Boyd (a-2),$12,3.5,racenet
R4,Taree,4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1600m,Maiden,Heavy 10,True,3,3,Send A Telegram,Send A Telegram,Send A Telegram,18,John Sprague,Aaron Bullock,$8.5,5.8,racenet
R4,Taree,4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1600m,Maiden,Heavy 10,True,5,5,Walk Like A Man,Walk Like A Man,Walk Like A Man,13,Rebecca Dunn,Matthew Bennett,$19,3,racenet
R4,Taree,4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1600m,Maiden,Heavy 10,True,6,6,Microgravity,Microgravity,Microgravity,14,Jason Deamer,Ben Looker,$2.45,5.9,racenet
R4,Taree,4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1600m,Maiden,Heavy 10,True,8,8,Classic Two,Classic Two,Classic Two,6,Rodney Bailey,Jessica Taylor,$5.25,5.3,racenet
R4,Taree,4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1600m,Maiden,Heavy 10,True,9,9,Clever Illusion,Clever Illusion,Clever Illusion,9,Peter Cheers,Raymond Spokes,$201,7.1,racenet
R4,Taree,4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1600m,Maiden,Heavy 10,True,10,10,Titan Of Fury,Titan Of Fury,Titan Of Fury,12,Paul Perry,Donovan Dillon,$5,7.6,racenet
R4,Taree,4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1600m,Maiden,Heavy 10,True,11,11,Bridego,Bridego,Bridego,3,Joel Wilkes,Shannen Llewellyn,$6.5,4,racenet
R4,Taree,4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1600m,Maiden,Heavy 10,True,12,12,Juviance,Juviance,Juviance,15,Alicia Willick-mc Donald,Stephen Cummins,$201,8.2,racenet
R4,Taree,4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1600m,Maiden,Heavy 10,True,13,13,Nikody's Casper,Nikody's Casper,Nikody's Casper,1,Peter Cheers,Liberty Smyth (a-2),$51,5.6,racenet
R4,Taree,4,1:55 pm Functions @ Mvrc Class 1 & Maiden Plate,1600m,Maiden,Heavy 10,True,14,14,Rock'n On Uptown,Rock'n On Uptown,Rock'n On Uptown,4,Carlos Antonio,Jeff Kehoe,$126,9.2,racenet
