race_id,track,race_no,race_title,distance,grade,going,rail,runner_no,no,horse,horse_name,name,barrier,trainer,jockey,odds,w_ir,source
R1,Kensington,1,12:50 pm Robrick Lodge Plate,1250m,Maiden,Heavy 9,+4m Entire,1,1,Adeleke,Adeleke,Adeleke,1,Kris Lees,Kerrin McEvoy,$7.5,NA,racenet
R1,Kensington,1,12:50 pm Robrick Lodge Plate,1250m,Maiden,Heavy 9,+4m Entire,2,2,Castelbella,Castelbella,Castelbella,5,Gary Portelli,Alysha Collett,$8,4,racenet
R1,Kensington,1,12:50 pm Robrick Lodge Plate,1250m,Maiden,Heavy 9,+4m Entire,3,3,Consulate,Consulate,Consulate,9,Chris Waller,Chad Schofield,$2.3,6.7,racenet
R1,Kensington,1,12:50 pm Robrick Lodge Plate,1250m,Maiden,Heavy 9,+4m Entire,4,4,Hellflight,Hellflight,Hellflight,6,Richard & Will Freedman,Tom Sherry,$11,3,racenet
R1,Kensington,1,12:50 pm Robrick Lodge Plate,1250m,Maiden,Heavy 9,+4m Entire,5,5,Ironblood Empress,Ironblood Empress,Ironblood Empress,3,Brad Widdup,Adam Hyeronimus (a1),$19,NA,racenet
R1,Kensington,1,12:50 pm Robrick Lodge Plate,1250m,Maiden,Heavy 9,+4m Entire,8,8,Snitzel's Girl,Snitzel's Girl,Snitzel's Girl,8,Chris Waller,Tyler Schiller,$7,NA,racenet
R1,Kensington,1,12:50 pm Robrick Lodge Plate,1250m,Maiden,Heavy 9,+4m Entire,9,9,Woodenbridge,Woodenbridge,Woodenbridge,7,Gerald Ryan & Sterling Alexiou,Dylan Gibbons,$4.4,3.7,racenet
R2,Kensington,2,1:25 pm Tab Plate,1150m,Maiden,Heavy 9,+4m Entire,1,1,Creator Of World,Creator Of World,Creator Of World,3,Ross McConville,Anna Roper (a-2),$17,5,racenet
R2,Kensington,2,1:25 pm Tab Plate,1150m,Maiden,Heavy 9,+4m Entire,2,2,Gondorff,Gondorff,Gondorff,11,Joseph Pride,Adam Hyeronimus,$27,10,racenet
R2,Kensington,2,1:25 pm Tab Plate,1150m,Maiden,Heavy 9,+4m Entire,3,3,Pharland,Pharland,Pharland,5,Gerald Ryan & Sterling Alexiou,Kerrin McEvoy,$5.5,2,racenet
R2,Kensington,2,1:25 pm Tab Plate,1150m,Maiden,Heavy 9,+4m Entire,4,4,Pierro Lad,Pierro Lad,Pierro Lad,1,Ciaron Maher,Braith Nock (a-1.5),$5,5.1,racenet
R2,Kensington,2,1:25 pm Tab Plate,1150m,Maiden,Heavy 9,+4m Entire,5,5,Rapid Revenue,Rapid Revenue,Rapid Revenue,4,Bjorn Baker,Tim Clark,$13,NA,racenet
R2,Kensington,2,1:25 pm Tab Plate,1150m,Maiden,Heavy 9,+4m Entire,6,6,Claudel,Claudel,Claudel,12,Chris Waller,Chad Schofield,$4.2,4.7,racenet
R2,Kensington,2,1:25 pm Tab Plate,1150m,Maiden,Heavy 9,+4m Entire,8,8,Glissando,Glissando,Glissando,8,Chris Waller,Siena Grima (a-2),$13,NA,racenet
R2,Kensington,2,1:25 pm Tab Plate,1150m,Maiden,Heavy 9,+4m Entire,9,9,Novel Attraction,Novel Attraction,Novel Attraction,2,Gary Crossley,William Stanley (a-3),$126,6.9,racenet
R2,Kensington,2,1:25 pm Tab Plate,1150m,Maiden,Heavy 9,+4m Entire,10,10,Ready Forcocktails,Ready Forcocktails,Ready Forcocktails,7,"Michael, John & Wayne Hawkes",Tyler Schiller,$3.2,3.2,racenet
R2,Kensington,2,1:25 pm Tab Plate,1150m,Maiden,Heavy 9,+4m Entire,11,11,Sorentina,Sorentina,Sorentina,9,Richard Litt,Tom Sherry,$23,4.4,racenet
R3,Kensington,3,2:00 pm Asahi Super Dry Handicap,1550m,Handicap,Heavy 9,+4m Entire,3,3,Ballpark,Ballpark,Ballpark,4,Chris Waller,Tim Clark,$2.6,2.3,racenet
R3,Kensington,3,2:00 pm Asahi Super Dry Handicap,1550m,Handicap,Heavy 9,+4m Entire,4,4,Barbray,Barbray,Barbray,7,Chris Waller,Tyler Schiller,$5.5,6.2,racenet
R3,Kensington,3,2:00 pm Asahi Super Dry Handicap,1550m,Handicap,Heavy 9,+4m Entire,5,5,Sister Daae,Sister Daae,Sister Daae,11,Chris Waller,Kerrin McEvoy,$4,7,racenet
R3,Kensington,3,2:00 pm Asahi Super Dry Handicap,1550m,Handicap,Heavy 9,+4m Entire,7,7,Cheval De Bois,Cheval De Bois,Cheval De Bois,9,Annabel & Rob Archibald,Braith Nock (a-1.5),$8,6.6,racenet
R3,Kensington,3,2:00 pm Asahi Super Dry Handicap,1550m,Handicap,Heavy 9,+4m Entire,8,8,Remadosi,Remadosi,Remadosi,2,"Barbara Joseph, Paul & Matt Jones",Alysha Collett,$19,6.3,racenet
R3,Kensington,3,2:00 pm Asahi Super Dry Handicap,1550m,Handicap,Heavy 9,+4m Entire,9,9,Shadashi,Shadashi,Shadashi,3,Edward Cummings,Adam Hyeronimus,$35,7.5,racenet
R3,Kensington,3,2:00 pm Asahi Super Dry Handicap,1550m,Handicap,Heavy 9,+4m Entire,11,11,My Shareena,My Shareena,My Shareena,1,Bjorn Baker,Dylan Gibbons,$5.5,7.2,racenet
R4,Kensington,4,2:35 pm Pkf Newcastle Handicap,1550m,Handicap,Heavy 9,+4m Entire,1,1,Pier Pressure,Pier Pressure,Pier Pressure,12,Kris Lees,William Stanley (a-3),$16,3.9,racenet
